Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Rhéal Fortin,Christel Marchand,Patricia Morrissette,Mary-Helen Walton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24064,"Rivière-du-Nord/Rivière-du-Nord"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,38
24064,"Rivière-du-Nord/Rivière-du-Nord"," 505","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 506","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,19
24064,"Rivière-du-Nord/Rivière-du-Nord"," 508","Mobile poll/Bureau itinérant",40,7,4,35,14,100,146
24064,"Rivière-du-Nord/Rivière-du-Nord"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,66
24064,"Rivière-du-Nord/Rivière-du-Nord"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°221D,,,,,,12
24064,"Rivière-du-Nord/Rivière-du-Nord"," 511","Mobile poll/Bureau itinérant",11,2,4,14,3,34,133
24064,"Rivière-du-Nord/Rivière-du-Nord"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°221D,,,,,,27
24064,"Rivière-du-Nord/Rivière-du-Nord"," 513","Mobile poll/Bureau itinérant",12,4,2,18,1,37,46
24064,"Rivière-du-Nord/Rivière-du-Nord"," 514","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°221B,,,,,,38
24064,"Rivière-du-Nord/Rivière-du-Nord"," 516","Mobile poll/Bureau itinérant",24,3,12,33,5,77,188
24064,"Rivière-du-Nord/Rivière-du-Nord"," 517","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,6
24064,"Rivière-du-Nord/Rivière-du-Nord"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,99
24064,"Rivière-du-Nord/Rivière-du-Nord"," 520","Mobile poll/Bureau itinérant",28,1,14,5,8,56,70
24064,"Rivière-du-Nord/Rivière-du-Nord"," 600","Saint-Jérôme",445,27,132,344,7,955,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 601","Saint-Jérôme",497,30,166,505,20,1218,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 602","Saint-Jérôme",441,32,190,517,20,1200,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 603","Saint-Jérôme",451,30,176,423,13,1093,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 604","Saint-Jérôme",571,25,149,462,24,1231,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 605","Saint-Jérôme",454,26,154,379,29,1042,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 606","Saint-Jérôme",559,11,172,506,26,1274,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 607","Saint-Jérôme",480,30,122,366,12,1010,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 608","Saint-Jérôme",459,30,136,339,19,983,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 609","Saint-Jérôme",378,27,100,305,24,834,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 610","Saint-Jérôme",543,36,171,400,27,1177,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 611","Saint-Jérôme",459,36,131,390,16,1032,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 612","Saint-Jérôme",483,36,177,429,21,1146,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 613","Saint-Jérôme",531,34,170,404,18,1157,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 614","Sainte-Sophie",310,17,163,212,7,709,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 615","Sainte-Sophie",605,40,253,316,20,1234,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 616","Sainte-Sophie",235,17,132,153,11,548,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 617","Sainte-Sophie",292,12,141,181,9,635,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 618","Sainte-Anne-des-Plaines",549,35,207,420,23,1234,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 619","Sainte-Anne-des-Plaines",517,31,200,398,42,1188,
24064,"Rivière-du-Nord/Rivière-du-Nord"," 620","Sainte-Anne-des-Plaines",167,18,93,142,9,429,
24064,"Rivière-du-Nord/Rivière-du-Nord",,Group 1/Groupe 1, 101,21,41,108,14,285,77
24064,"Rivière-du-Nord/Rivière-du-Nord",,Group 2/Groupe 2, 1057,61,369,1007,79,2573,
