Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dinah Althorpe,Yawar Anwar,Tony Baldinelli,Andrea Kaiser,Shannon Mitchell,Daniel Shakhmundes,Celia Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 501","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 502","Mobile poll/Bureau itinérant",0,0,75,47,5,0,5,1,133,170
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,37
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 504","Mobile poll/Bureau itinérant",0,2,27,31,5,1,2,1,69,71
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 505","Mobile poll/Bureau itinérant",3,1,27,68,4,1,0,5,109,105
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,,75
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,,30
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 508","Mobile poll/Bureau itinérant",0,0,14,30,1,1,1,1,48,46
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,,32
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 510","Mobile poll/Bureau itinérant",3,0,20,44,9,1,3,2,82,90
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 511","Mobile poll/Bureau itinérant",1,1,23,10,6,3,1,0,45,25
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 512","Mobile poll/Bureau itinérant",2,3,35,16,7,1,1,3,68,45
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,,48
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,,60
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,,35
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 516","Mobile poll/Bureau itinérant",0,0,24,12,4,1,1,3,45,27
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 517","Mobile poll/Bureau itinérant",1,0,35,30,1,0,0,2,69,45
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,,59
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 600","Niagara-on-the-Lake",5,0,414,1217,13,0,8,3,1660,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 601","Niagara-on-the-Lake",4,1,657,924,25,1,10,5,1627,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 602","Niagara-on-the-Lake",3,3,377,748,16,1,5,1,1154,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 603","Niagara-on-the-Lake",5,1,378,285,16,1,5,6,697,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 604","Niagara-on-the-Lake",4,0,459,676,13,0,5,8,1165,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 605","Niagara Falls",8,1,728,901,47,0,6,14,1705,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 606","Niagara Falls",5,3,552,649,18,3,2,6,1238,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 607","Niagara Falls",9,0,531,577,36,0,7,7,1167,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 608","Niagara Falls",17,4,452,455,55,7,18,5,1013,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 609","Niagara Falls",6,0,494,382,45,2,8,9,946,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 610","Niagara Falls",5,0,342,393,20,1,6,1,768,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 611","Niagara Falls",8,2,730,719,67,4,5,10,1545,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 612","Niagara Falls",8,4,605,476,48,0,4,17,1162,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 613","Niagara Falls",11,7,673,632,31,6,11,3,1374,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 614","Niagara Falls",11,3,617,624,53,5,8,7,1328,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 615","Niagara Falls",12,1,403,381,52,1,11,5,866,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 616","Niagara Falls",25,8,687,639,61,9,15,3,1447,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 617","Niagara Falls",7,1,715,678,48,4,8,8,1469,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 618","Fort Erie",1,0,326,174,7,0,6,0,514,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake"," 619","Niagara Falls",2,7,530,431,15,0,3,6,994,
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake",,Group 1/Groupe 1, 7,2,233,399,31,5,12,39,728,325
35070,"Niagara Falls--Niagara-on-the-Lake/Niagara Falls--Niagara-on-the-Lake",,Group 2/Groupe 2, 15,3,1489,1775,134,2,19,83,3520,
