Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Anthony Germain,Jonathan Rowe,Liam Ryan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 232","Winterland",96,100,6,0,202,336
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 500","Mobile poll/Bureau itinérant",17,5,3,5,30,23
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,22
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 502","Mobile poll/Bureau itinérant",11,9,2,5,27,22
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,39
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 504","Mobile poll/Bureau itinérant",27,17,0,5,49,24
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,43
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 506","Mobile poll/Bureau itinérant",23,20,7,1,51,40
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,19
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,22
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 509","Mobile poll/Bureau itinérant",36,18,0,1,55,0
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,68
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 511","Mobile poll/Bureau itinérant",39,19,4,0,62,70
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 512","Mobile poll/Bureau itinérant",24,12,2,0,38,18
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,31
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,14
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 515","Mobile poll/Bureau itinérant",15,7,2,2,26,7
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,29
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 517","Mobile poll/Bureau itinérant",27,13,3,2,45,35
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,44
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 519","Mobile poll/Bureau itinérant",37,11,3,7,58,15
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,74
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 521","Mobile poll/Bureau itinérant",29,16,2,12,59,18
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,32
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,18
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 600","Carmanville",80,129,5,2,216,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 601","New-Wes-Valley",169,93,8,6,276,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 602","Gambo",178,110,16,5,309,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 603","Glovertown",330,254,14,10,608,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 604","Bonavista",214,196,11,9,430,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 605","Trinity Bay North",139,116,5,5,265,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 606","Musgravetown",196,169,8,17,390,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 607","Clarenville",304,221,9,0,534,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 608","Clarenville",457,273,8,8,746,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 609","North West Brook",115,60,7,7,189,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 610","Arnold's Cove",135,131,9,1,276,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 611","Norman's Cove-Long Cove",153,132,15,7,307,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 612","Dildo",251,185,18,5,459,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 613","Cavendish",168,94,13,6,281,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 614","Old Perlican",168,91,8,0,267,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 615","Placentia",261,165,23,9,458,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 616","St. Bride's",68,64,5,6,143,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 617","Terrenceville",16,60,4,0,80,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 618","Boat Harbour West",51,58,3,1,113,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 619","Marystown",304,266,12,16,598,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 620","Burin",238,184,11,3,436,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 621","St. Lawrence",103,124,11,15,253,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules"," 622","Grand Bank",265,201,12,6,484,
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules",,Group 1/Groupe 1, 1201,1121,76,38,2436,63
10007,"Terra Nova--The Peninsulas/Terra Nova--Les Péninsules",,Group 2/Groupe 2, 284,319,26,26,655,
