Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nabila Ben Youssef,Idil Issa,Mélanie Joly,Margie Ramos,Linda Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 106","Montréal",42,14,131,21,2,3,213,393
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 107A","Montréal",53,18,118,17,0,2,208,379
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 107B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,17
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 108","Montréal",26,8,145,32,2,4,217,357
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 109","Montréal",4,4,61,40,0,2,111,221
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 110","Montréal",5,11,111,28,1,2,158,364
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 111","Montréal",11,9,130,28,1,2,181,390
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 112","Montréal",1,7,83,33,1,0,125,334
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 113","Montréal",9,9,53,34,0,0,105,365
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 114","Montréal",6,9,64,39,0,7,125,390
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 115","Montréal",5,7,83,36,0,4,135,360
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 116","Montréal",9,7,82,55,1,0,154,385
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 117","Montréal",13,13,75,24,1,1,127,393
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 118","Montréal",10,5,80,30,1,8,134,340
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 119","Montréal",7,8,81,39,1,8,144,360
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 120","Montréal",4,9,94,29,0,7,143,425
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 121A","Montréal",9,6,58,36,1,1,111,300
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 121B","Mobile poll/Bureau itinérant",23,2,64,4,0,7,100,120
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 122","Montréal",10,9,64,30,2,4,119,418
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 123","Montréal",6,5,63,51,2,5,132,365
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 124","Montréal",28,21,109,27,1,6,192,368
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 125","Montréal",36,11,126,35,2,6,216,428
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 126","Montréal",18,6,82,45,2,6,159,340
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 127","Montréal",23,9,78,51,0,5,166,374
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 128","Montréal",38,6,102,31,0,4,181,342
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 129A","Montréal",13,11,91,41,1,7,164,319
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 129B","Mobile poll/Bureau itinérant",8,0,28,4,0,3,43,82
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 130","Montréal",13,4,112,34,1,0,164,355
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 131","Montréal",7,11,108,43,0,4,173,402
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 132","Montréal",16,4,81,32,0,1,134,313
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 133","Montréal",2,6,85,46,0,1,140,418
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 134","Montréal",9,12,84,38,1,1,145,446
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 135","Montréal",18,5,54,37,0,1,115,356
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 136","Montréal",5,11,119,59,2,5,201,469
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 137","Montréal",9,5,61,29,0,4,108,383
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 138","Montréal",9,9,108,51,2,1,180,347
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 139","Montréal",15,5,76,34,0,0,130,363
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 140","Montréal",3,4,114,40,2,3,166,379
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 141","Montréal",18,21,167,64,3,5,278,513
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 142","Montréal",6,2,88,64,0,2,162,382
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 143","Montréal",8,13,86,79,0,6,192,337
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 144","Montréal",12,6,95,64,0,10,187,408
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 145","Montréal",4,7,69,49,0,2,131,345
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 146","Montréal",11,11,106,42,0,3,173,415
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 147","Montréal",5,11,59,58,0,4,137,378
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 148","Montréal",4,4,76,54,2,2,142,336
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 149","Montréal",0,8,82,59,0,3,152,343
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 150","Montréal",2,13,83,50,0,3,151,401
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 151","Montréal",2,8,86,48,0,3,147,366
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 152","Montréal",50,19,109,19,0,0,197,379
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 153","Montréal",19,15,108,50,0,2,194,415
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 154","Montréal",2,6,72,58,1,2,141,394
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 155","Montréal",57,22,141,25,0,1,246,490
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 156","Montréal",5,6,82,27,1,1,122,364
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 157","Montréal",17,19,120,61,0,4,221,406
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 158","Montréal",32,8,69,12,1,4,126,417
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 159","Montréal",14,17,144,73,3,5,256,471
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 160","Montréal",25,12,159,33,1,3,233,500
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 161","Montréal",35,20,103,36,0,2,196,403
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 162","Montréal",19,0,86,20,1,3,129,354
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 163","Montréal",19,16,111,31,0,4,181,481
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 164","Montréal",2,9,119,23,1,6,160,459
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 165","Montréal",31,12,95,25,1,5,169,432
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 166","Montréal",15,16,77,31,0,3,142,402
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 167","Montréal",18,9,71,29,0,0,127,369
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 168","Montréal",4,12,118,26,1,5,166,479
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 169","Montréal",4,16,118,41,5,8,192,423
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 170","Montréal",5,18,72,18,0,2,115,384
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 171","Montréal",8,13,116,24,1,8,170,327
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 172","Montréal",6,14,49,20,0,2,91,300
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 173","Montréal",13,24,86,34,2,0,159,450
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 174","Montréal",14,9,124,17,1,4,169,467
