Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Katrina Archambault,Shahid Khan,Kakou Richard Kouassi,Eyad Mobayed,Gordon Nash,Tanya Toledano,Sameer Zuberi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 605","Montréal",92,2,28,0,4,182,594,8,910,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 606","Montréal",47,4,27,1,6,190,718,16,1009,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 607","Montréal",77,1,32,1,8,184,836,8,1147,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 608","Dollard-Des Ormeaux",60,2,32,0,5,257,695,6,1057,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 609","Dollard-Des Ormeaux",23,0,7,1,4,455,491,3,984,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 610","Dollard-Des Ormeaux",13,5,15,0,4,444,631,2,1114,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 611","Dollard-Des Ormeaux",11,0,15,0,3,273,622,3,927,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 612","Dollard-Des Ormeaux",13,3,17,0,3,178,636,5,855,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 613","Dollard-Des Ormeaux",34,2,20,1,4,213,681,6,961,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 614","Dollard-Des Ormeaux",14,4,17,1,2,370,576,2,986,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 615","Dollard-Des Ormeaux",21,3,13,0,3,477,455,2,974,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 616","Montréal",46,1,15,1,2,175,508,10,758,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 617","Montréal",63,1,49,2,7,187,807,13,1129,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 618","Montréal",162,1,25,0,5,252,727,6,1178,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 619","Montréal",170,0,29,2,7,272,766,14,1260,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 620","Montréal",145,4,21,2,6,276,743,3,1200,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard",,Group 1/Groupe 1, 34,6,40,0,9,275,574,46,984,399
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard",,Group 2/Groupe 2, 101,7,56,0,12,1289,1744,34,3243,
