Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jonathan Andresen,Jérémie Juneau,Sébastien Lemire,Vincent Palin-Bussières,Steve Tardif,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 202","Notre-Dame-du-Nord",23,3,35,1,29,0,91,223
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 203","Notre-Dame-du-Nord",22,2,35,1,36,0,96,278
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 204","Saint-Eugène-de-Guigues",32,9,128,6,35,4,214,354
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 205","Belleterre",28,3,49,2,19,2,103,224
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 206","Saint-Bruno-de-Guigues",24,2,129,1,30,0,186,319
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 207","Saint-Bruno-de-Guigues",32,1,76,0,23,1,133,225
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 208","Saint-Bruno-de-Guigues",51,3,126,2,28,0,210,349
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 209","Laverlochère",40,2,118,3,18,5,186,313
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 210","Laverlochère",37,3,102,0,27,1,170,244
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 211","Latulipe",21,1,51,2,21,0,96,254
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 212","Fugèreville",28,4,71,1,28,2,134,250
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 213","Lorrainville",24,2,115,2,42,4,189,369
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 214","Lorrainville",40,0,109,1,25,0,175,319
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 215","Lorrainville",31,7,79,2,46,0,165,332
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 216","Duhamel-Ouest",31,2,64,1,23,1,122,313
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 217","Duhamel-Ouest",49,4,104,3,15,5,180,417
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 218","Duhamel-Ouest",30,4,63,0,25,1,123,300
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 219","Ville-Marie",34,2,29,3,22,2,92,240
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 220","Ville-Marie",26,5,74,3,17,2,127,356
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 221","Ville-Marie",21,1,77,3,12,0,114,283
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 222","Ville-Marie",30,1,100,1,29,3,164,362
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 223","Duhamel-Ouest",45,1,117,1,49,2,215,436
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 224","Béarn",44,2,77,1,48,1,173,326
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 225","Béarn",41,1,81,2,24,2,151,260
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 226","Saint-Édouard-de-Fabre",31,2,64,0,41,6,144,246
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 227","Saint-Édouard-de-Fabre",22,0,56,0,33,1,112,263
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 228","Laniel",12,0,21,0,10,0,43,71
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 228-1","Hunter's Point",Void/Supprimé,,,,,,,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 229","Kipawa",33,1,3,1,20,1,59,116
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 229-1","Kebaowek",91,22,3,3,22,0,141,294
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 230","Tee Lake",44,4,28,3,59,2,140,285
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 231","Témiscaming",22,3,20,0,31,1,77,259
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 232","Témiscaming",36,3,4,0,33,1,77,275
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 233","Témiscaming",56,3,37,4,89,1,190,499
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 234","Témiscaming",22,2,13,0,36,0,73,227
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 235","Témiscaming",32,4,14,1,27,0,78,296
