Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Des Bissonnette,Bridget Burns,Michael Manchen,Barry Milaney,Micheal Speirs,Shannon Stubbs,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48027,"Lakeland/Lakeland"," 117","Two Hills",2,0,4,7,4,145,1,163,494
48027,"Lakeland/Lakeland"," 118","Two Hills",5,1,1,12,1,112,0,132,400
48027,"Lakeland/Lakeland"," 119","Frog Lake",Combined with No./Résultats combinés à ceux du n°120,,,,,,,,258
48027,"Lakeland/Lakeland"," 120","Frog Lake",23,2,2,123,1,27,0,178,526
48027,"Lakeland/Lakeland"," 121","Myrnam",4,2,6,14,3,162,1,192,287
48027,"Lakeland/Lakeland"," 122","Heinsburg",4,0,4,8,2,112,1,131,228
48027,"Lakeland/Lakeland"," 123","Warwick",9,0,4,22,0,183,0,218,574
48027,"Lakeland/Lakeland"," 124","Vegreville",9,3,5,30,0,143,0,190,526
48027,"Lakeland/Lakeland"," 125","Vegreville",10,2,1,28,0,140,0,181,477
48027,"Lakeland/Lakeland"," 126A","Vegreville",12,3,1,21,1,122,1,161,565
48027,"Lakeland/Lakeland"," 126B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°534,,,,,,,,4
48027,"Lakeland/Lakeland"," 127","Inland",13,1,0,13,1,152,0,180,431
48027,"Lakeland/Lakeland"," 128","Vegreville",12,2,2,19,1,113,1,150,408
48027,"Lakeland/Lakeland"," 129","Vegreville",7,3,2,12,2,95,0,121,423
48027,"Lakeland/Lakeland"," 130","Vegreville",17,2,5,15,2,97,2,140,475
48027,"Lakeland/Lakeland"," 131","Vegreville",7,1,2,28,0,158,2,198,512
48027,"Lakeland/Lakeland"," 132","Vegreville",11,0,3,21,1,95,1,132,424
48027,"Lakeland/Lakeland"," 133","Vegreville",6,0,1,16,0,90,0,113,411
