Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Adam Chambers,Russ Emo,Ray Little,Melissa Lloyd,Stephen Toivo Makk,Ryan Rocca,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35099,"Simcoe North/Simcoe-Nord"," 139","Orillia",Combined with No./Résultats combinés à ceux du n°140,,,,,,,,477
35099,"Simcoe North/Simcoe-Nord"," 140","Orillia",147,0,13,7,1,188,0,356,492
35099,"Simcoe North/Simcoe-Nord"," 141","Orillia",89,2,7,17,1,60,1,177,470
35099,"Simcoe North/Simcoe-Nord"," 142","Orillia",Combined with No./Résultats combinés à ceux du n°144,,,,,,,,371
35099,"Simcoe North/Simcoe-Nord"," 143","Orillia",83,0,3,9,2,78,2,177,541
35099,"Simcoe North/Simcoe-Nord"," 144","Orillia",104,3,6,15,4,182,1,315,472
35099,"Simcoe North/Simcoe-Nord"," 145","Orillia",94,0,3,13,4,95,7,216,586
35099,"Simcoe North/Simcoe-Nord"," 146","Orillia",57,0,5,10,2,75,0,149,444
35099,"Simcoe North/Simcoe-Nord"," 147","Orillia",85,2,1,13,3,106,0,210,566
35099,"Simcoe North/Simcoe-Nord"," 148","Orillia",94,3,10,18,4,135,4,268,590
35099,"Simcoe North/Simcoe-Nord"," 149","Orillia",103,2,7,7,2,82,0,203,548
35099,"Simcoe North/Simcoe-Nord"," 150","Orillia",130,1,2,17,1,129,1,281,512
35099,"Simcoe North/Simcoe-Nord"," 151","Orillia",154,3,10,9,1,92,2,271,538
35099,"Simcoe North/Simcoe-Nord"," 152","Orillia",74,3,1,5,3,79,0,165,462
35099,"Simcoe North/Simcoe-Nord"," 153","Orillia",72,0,4,10,1,84,0,171,430
35099,"Simcoe North/Simcoe-Nord"," 154","Orillia",149,0,7,8,3,80,0,247,647
35099,"Simcoe North/Simcoe-Nord"," 155","Orillia",132,0,3,7,1,82,3,228,599
35099,"Simcoe North/Simcoe-Nord"," 156","Orillia",135,0,0,8,5,86,2,236,573
35099,"Simcoe North/Simcoe-Nord"," 157","Orillia",109,1,1,3,2,88,0,204,453
35099,"Simcoe North/Simcoe-Nord"," 158","Orillia",63,0,1,7,0,61,0,132,470
35099,"Simcoe North/Simcoe-Nord"," 159","Orillia",Combined with No./Résultats combinés à ceux du n°150,,,,,,,,337
35099,"Simcoe North/Simcoe-Nord"," 160","Orillia",91,1,5,11,2,120,1,231,517
35099,"Simcoe North/Simcoe-Nord"," 161","Orillia",56,0,1,12,5,86,0,160,349
