Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Alexandre Boulerice,Olivier Gignac,Benoît Morham,Laetitia Tchatat,Jean-Sébastien Vallée,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 605","Montréal",416,249,19,49,406,12,1151,
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 606","Montréal",445,248,16,50,328,11,1098,
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 607","Montréal",380,151,19,38,207,10,805,
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 608","Montréal",502,351,21,96,671,13,1654,
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 609","Montréal",290,165,12,50,290,6,813,
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 610","Montréal",433,138,19,49,260,7,906,
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 611","Montréal",396,224,16,32,299,4,971,
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 612","Montréal",484,161,11,42,267,16,981,
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 613","Montréal",673,197,25,52,354,10,1311,
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 614","Montréal",474,149,21,35,282,8,969,
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 615","Montréal",573,170,22,41,423,11,1240,
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 616","Montréal",488,159,23,55,388,17,1130,
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 617","Montréal",430,119,13,69,331,4,966,
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie",,Group 1/Groupe 1, 653,160,53,72,401,56,1395,499
24065,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie",,Group 2/Groupe 2, 500,155,18,66,375,35,1149,
