Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Eric Duncan,Sarah Good,Gordon Kubanek,Mario Leclerc,Karl Ivan MacKinnon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 85","Cornwall",104,72,1,5,1,1,184,402
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 86","Cornwall",89,69,0,4,0,2,164,466
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 87","Cornwall",62,71,5,1,0,2,141,429
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 88","Cornwall",75,44,1,4,0,0,124,520
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 89","Morewood",148,61,2,7,2,0,220,316
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 90","Morewood",87,53,1,3,0,0,144,250
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 91","Morewood",123,41,3,4,2,0,173,300
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 92","Cornwall",89,75,1,4,1,0,170,562
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 93","Cornwall",69,50,2,5,0,0,126,444
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 94","Cornwall Centre",89,48,0,3,0,2,142,375
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 95","Cornwall",126,70,3,6,3,7,215,587
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 96","South Stormont",91,40,0,5,0,1,137,439
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 97","South Stormont",82,53,1,3,2,1,142,417
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 98","Cornwall",65,56,1,7,1,2,132,404
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 99","Cornwall",108,57,2,4,1,1,173,473
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 100","Cornwall",99,53,1,5,0,0,158,447
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 101","Cornwall",86,38,2,1,0,0,127,369
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 102","Cornwall",115,66,1,6,0,1,189,554
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 103","Cornwall",94,57,2,3,0,1,157,434
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 104A","Cornwall",106,57,3,8,0,3,177,421
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 104B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,27
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 105","Cornwall",94,96,0,2,0,0,192,570
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 106","Cornwall",88,92,0,7,3,1,191,589
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 107","Cornwall",109,100,2,10,2,1,224,528
