Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Wade Chang,Richard Farbridge,Jagmeet Singh,James Yan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59002,"Burnaby Central/Burnaby Central"," 100A","Burnaby",46,2,19,48,2,117,431
59002,"Burnaby Central/Burnaby Central"," 100B","Burnaby",38,1,13,34,2,88,377
59002,"Burnaby Central/Burnaby Central"," 101","Burnaby",94,4,35,69,2,204,522
59002,"Burnaby Central/Burnaby Central"," 102","Burnaby",39,8,21,60,2,130,331
59002,"Burnaby Central/Burnaby Central"," 103","Burnaby",60,3,38,74,2,177,448
59002,"Burnaby Central/Burnaby Central"," 104","Burnaby",60,2,27,49,0,138,418
59002,"Burnaby Central/Burnaby Central"," 105","Burnaby",30,1,24,40,1,96,315
59002,"Burnaby Central/Burnaby Central"," 106","Burnaby",43,3,19,52,1,118,440
59002,"Burnaby Central/Burnaby Central"," 107","Burnaby",67,3,24,87,0,181,463
59002,"Burnaby Central/Burnaby Central"," 108","Burnaby",50,0,16,58,1,125,408
59002,"Burnaby Central/Burnaby Central"," 109","Burnaby",45,4,16,67,1,133,412
59002,"Burnaby Central/Burnaby Central"," 110","Burnaby",74,2,28,103,0,207,511
59002,"Burnaby Central/Burnaby Central"," 111","Burnaby",43,1,13,23,0,80,299
59002,"Burnaby Central/Burnaby Central"," 112","Burnaby",41,4,38,52,0,135,333
59002,"Burnaby Central/Burnaby Central"," 113","Burnaby",51,1,22,40,2,116,367
59002,"Burnaby Central/Burnaby Central"," 114","Burnaby",56,2,16,89,0,163,410
59002,"Burnaby Central/Burnaby Central"," 115","Burnaby",58,4,34,87,0,183,173
59002,"Burnaby Central/Burnaby Central"," 116","Burnaby",89,0,35,88,0,212,707
59002,"Burnaby Central/Burnaby Central"," 117","Burnaby",Combined with No./Résultats combinés à ceux du n°115,,,,,,525
59002,"Burnaby Central/Burnaby Central"," 118","Burnaby",73,1,39,68,1,182,512
59002,"Burnaby Central/Burnaby Central"," 119","Burnaby",Combined with No./Résultats combinés à ceux du n°118,,,,,,235
59002,"Burnaby Central/Burnaby Central"," 120","Burnaby",43,0,13,66,1,123,420
59002,"Burnaby Central/Burnaby Central"," 121A","Burnaby",51,2,31,49,0,133,408
59002,"Burnaby Central/Burnaby Central"," 121B","Burnaby",35,3,17,36,0,91,286
59002,"Burnaby Central/Burnaby Central"," 122","Burnaby",61,0,17,72,2,152,454
59002,"Burnaby Central/Burnaby Central"," 123","Burnaby",43,2,36,48,1,130,409
59002,"Burnaby Central/Burnaby Central"," 124A","Burnaby",61,0,15,77,1,154,423
59002,"Burnaby Central/Burnaby Central"," 124B","Burnaby",41,1,10,56,0,108,313
59002,"Burnaby Central/Burnaby Central"," 125A","Burnaby",48,1,18,71,0,138,502
59002,"Burnaby Central/Burnaby Central"," 125B","Burnaby",33,1,10,62,1,107,394
59002,"Burnaby Central/Burnaby Central"," 126","Burnaby",31,1,20,39,0,91,338
59002,"Burnaby Central/Burnaby Central"," 127","Burnaby",63,1,23,53,2,142,436
59002,"Burnaby Central/Burnaby Central"," 128","Burnaby",70,2,18,66,0,156,528
59002,"Burnaby Central/Burnaby Central"," 129","Burnaby",37,3,16,53,1,110,383
59002,"Burnaby Central/Burnaby Central"," 130","Burnaby",43,2,38,43,0,126,370
59002,"Burnaby Central/Burnaby Central"," 131","Burnaby",49,0,19,84,2,154,383
59002,"Burnaby Central/Burnaby Central"," 132","Burnaby",54,0,24,73,0,151,377
59002,"Burnaby Central/Burnaby Central"," 133","Burnaby",61,0,29,108,1,199,502
59002,"Burnaby Central/Burnaby Central"," 134","Burnaby",99,6,41,80,2,228,610
59002,"Burnaby Central/Burnaby Central"," 135","Burnaby",51,0,20,57,1,129,485
59002,"Burnaby Central/Burnaby Central"," 136","Burnaby",53,4,23,46,0,126,485
59002,"Burnaby Central/Burnaby Central"," 137","Burnaby",53,2,26,46,0,127,486
59002,"Burnaby Central/Burnaby Central"," 138","Burnaby",72,1,36,68,0,177,529
59002,"Burnaby Central/Burnaby Central"," 139","Burnaby",Combined with No./Résultats combinés à ceux du n°136,,,,,,64
59002,"Burnaby Central/Burnaby Central"," 140","Burnaby",65,5,25,53,2,150,461
59002,"Burnaby Central/Burnaby Central"," 141","Burnaby",73,1,15,60,0,149,551
59002,"Burnaby Central/Burnaby Central"," 142","Burnaby",66,3,32,45,1,147,466
59002,"Burnaby Central/Burnaby Central"," 143","Burnaby",96,7,25,129,0,257,817
59002,"Burnaby Central/Burnaby Central"," 144","Burnaby",Combined with No./Résultats combinés à ceux du n°51,,,,,,481
59002,"Burnaby Central/Burnaby Central"," 145","Burnaby",57,0,15,45,1,118,344
59002,"Burnaby Central/Burnaby Central"," 146","Burnaby",65,3,35,64,2,169,541
59002,"Burnaby Central/Burnaby Central"," 147","Burnaby",89,5,50,100,4,248,423
59002,"Burnaby Central/Burnaby Central"," 148","Burnaby",Combined with No./Résultats combinés à ceux du n°147,,,,,,290
59002,"Burnaby Central/Burnaby Central"," 149","Burnaby",Combined with No./Résultats combinés à ceux du n°162,,,,,,481
59002,"Burnaby Central/Burnaby Central"," 150","Burnaby",68,1,22,69,0,160,473
59002,"Burnaby Central/Burnaby Central"," 151","Burnaby",29,1,19,73,1,123,400
59002,"Burnaby Central/Burnaby Central"," 152","Burnaby",60,3,21,59,0,143,349
59002,"Burnaby Central/Burnaby Central"," 153","Burnaby",43,2,10,71,0,126,291
59002,"Burnaby Central/Burnaby Central"," 154","Burnaby",58,1,37,58,0,154,570
59002,"Burnaby Central/Burnaby Central"," 155","Burnaby",58,0,22,93,1,174,425
59002,"Burnaby Central/Burnaby Central"," 156","Burnaby",50,1,26,54,0,131,464
59002,"Burnaby Central/Burnaby Central"," 157","Burnaby",36,3,24,45,1,109,352
59002,"Burnaby Central/Burnaby Central"," 158","Burnaby",54,1,12,62,1,130,359
59002,"Burnaby Central/Burnaby Central"," 159","Burnaby",62,0,13,60,0,135,347
59002,"Burnaby Central/Burnaby Central"," 160","Burnaby",34,2,24,54,0,114,460
59002,"Burnaby Central/Burnaby Central"," 161","Burnaby",24,1,30,38,0,93,493
59002,"Burnaby Central/Burnaby Central"," 162","Burnaby",83,3,46,92,2,226,261
59002,"Burnaby Central/Burnaby Central"," 163","Burnaby",31,1,10,59,0,101,445
59002,"Burnaby Central/Burnaby Central"," 164","Burnaby",51,1,28,31,0,111,362
59002,"Burnaby Central/Burnaby Central"," 165","Burnaby",73,0,23,83,2,181,475
