Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Clint Cole,Julie Dietrich,Bridget Girard,Pranay Gunti,Ghuzna Imam,Jamil Jivani,Elenor Marano,Adam Smith,Thomas Zekveld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 196","Clarington",0,1,69,0,1,55,3,1,0,0,130,378
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 197","Clarington",0,0,83,0,0,99,11,0,0,0,193,498
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 198","Clarington",1,3,53,0,0,68,2,1,0,2,130,349
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 199","Clarington",0,2,66,0,0,84,6,1,0,1,160,382
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 200","Clarington",0,3,63,0,0,78,7,0,0,0,151,441
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 201","Clarington",3,0,57,0,0,59,5,1,0,0,125,433
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 202","Clarington",0,1,86,0,2,86,5,0,2,3,185,556
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 203","Clarington",0,0,56,0,0,55,1,0,0,0,112,337
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 204","Clarington",0,2,103,0,1,108,2,0,1,0,217,612
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 205","Clarington",0,2,56,1,1,83,1,0,1,1,146,451
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 206","Clarington",2,3,78,0,0,90,5,0,0,0,178,506
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 207","Clarington",0,1,89,0,0,62,2,0,1,0,155,403
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 208","Clarington",0,1,43,0,0,84,3,0,1,0,132,347
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 209","Clarington",0,1,56,0,0,68,3,0,0,0,128,472
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 210","Clarington",1,4,82,0,0,77,2,0,0,0,166,398
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 211","Clarington",0,1,75,0,0,78,4,0,0,1,159,416
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 212","Clarington",0,1,94,5,0,104,4,1,1,1,211,570
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 213","Clarington",0,0,75,0,0,85,5,1,0,1,167,459
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 214","Clarington",0,0,69,0,0,96,3,0,2,2,172,479
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 215","Clarington",0,4,95,0,0,72,4,0,4,0,179,461
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 216","Clarington",0,1,51,1,0,70,5,1,1,0,130,417
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 217","Clarington",0,1,68,1,0,100,3,1,0,0,174,484
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 500","Mobile poll/Bureau itinérant",1,3,80,0,1,40,7,0,1,8,141,122
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 501","Mobile poll/Bureau itinérant",1,3,97,0,0,59,10,3,1,4,178,182
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,,,,90
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,,,79
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,,,,27
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 505","Mobile poll/Bureau itinérant",1,2,27,1,3,25,12,1,2,3,77,77
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,,,,45
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 507","Mobile poll/Bureau itinérant",0,1,61,0,0,28,2,0,0,6,98,131
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,,,,5
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 509","Mobile poll/Bureau itinérant",0,2,34,2,0,24,5,0,0,4,71,81
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,,,,72
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 600","Oshawa",2,11,786,8,2,756,22,0,0,4,1591,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 601","Oshawa",1,4,525,8,4,541,28,1,2,3,1117,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 602","Oshawa",1,5,718,4,11,656,23,0,0,10,1428,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 603","Oshawa",1,8,563,3,0,614,43,0,2,22,1256,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 604","Oshawa",4,8,900,4,8,747,25,0,2,11,1709,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 605","Oshawa",3,4,813,5,6,769,46,0,0,9,1655,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 606","Clarington",3,4,245,3,0,349,13,0,0,11,628,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 607","Clarington",1,5,373,0,0,520,17,0,6,2,924,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 608","Clarington",3,7,770,19,6,797,28,1,2,20,1653,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 609","Courtice",2,16,700,2,0,723,46,1,1,14,1505,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 610","Clarington",2,10,891,4,2,923,36,2,3,8,1881,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 611","Clarington",3,11,793,2,2,717,30,1,2,6,1567,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 612","Clarington",2,16,855,7,2,863,33,3,0,15,1796,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 613","Courtice",1,6,583,7,5,667,31,1,1,16,1318,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 614","Bowmanville",6,11,766,22,0,805,38,0,3,36,1687,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 615","Clarington",1,8,705,4,0,746,43,2,2,9,1520,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 616","Clarington",1,7,599,1,1,698,51,1,1,7,1367,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 617","Clarington",2,10,705,5,1,636,41,0,7,6,1413,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 618","Clarington",1,13,672,8,1,738,35,2,0,2,1472,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord"," 619","Bowmanville",1,7,629,4,0,533,35,1,0,5,1215,
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord",,Group 1/Groupe 1, 0,4,327,0,1,244,17,1,3,43,640,215
35008,"Bowmanville--Oshawa North/Bowmanville--Oshawa-Nord",,Group 2/Groupe 2, 5,14,1254,7,3,1154,58,1,7,45,2548,
