Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Rosemarie Falk,Larry Ingram,Darrell Patan,William Petryk,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 601","Big Island Lake Cree Territory",9,2,0,2,0,13,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 602","Meadow Lake",470,66,15,1,2,554,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 603","Waterhen 130",18,32,0,4,0,54,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 604","Flying Dust First Nation 105 (Meadow Lake 105)",Combined with No./Résultats combinés à ceux du n°603,,,,,,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 605","Meadow Lake",543,189,2,57,4,795,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 606","Eagles Lake 165C",Combined with No./Résultats combinés à ceux du n°603,,,,,,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 607","Loon Lake",234,22,1,6,2,265,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 608","Makwa Lake 129",20,173,1,14,3,211,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 609","Ministikwan 161",Combined with No./Résultats combinés à ceux du n°607,,,,,,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 610","Seekaskootch 119",6,34,0,3,0,43,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 611","St. Walburg",595,43,3,17,5,663,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 612","Thunderchild First Nation 115B",146,36,5,8,0,195,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 613","Britannia No. 502",1219,110,10,39,6,1384,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 614","Lloydminster (Part)",1038,141,8,37,5,1229,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 615","Lashburn",535,44,4,21,6,610,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 616","Livelong",339,46,2,17,0,404,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 617","Saulteaux 159A",473,73,3,18,1,568,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 618","Spiritwood",Combined with No./Résultats combinés à ceux du n°617,,,,,,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 619","Chitek Lake ",Combined with No./Résultats combinés à ceux du n°617,,,,,,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 620","Witchekan Lake 117",Combined with No./Résultats combinés à ceux du n°617,,,,,,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 621","Rabbit Lake",353,83,1,17,0,454,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 622","Saulteaux 159",Combined with No./Résultats combinés à ceux du n°621,,,,,,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 623","Moosomin 112B",Combined with No./Résultats combinés à ceux du n°621,,,,,,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 624","North Battleford No. 437",1090,252,8,83,3,1436,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 625","North Battleford",693,271,4,75,1,1044,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 626","Battleford",899,249,4,82,9,1243,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 627","Poundmaker 114-18B",386,57,5,17,1,466,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 628","Gallivan",Combined with No./Résultats combinés à ceux du n°627,,,,,,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 629","Sweet Grass 113",Combined with No./Résultats combinés à ceux du n°627,,,,,,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 630","Poundmaker 114",Combined with No./Résultats combinés à ceux du n°627,,,,,,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 631","Little Pine 116",Combined with No./Résultats combinés à ceux du n°627,,,,,,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 632","Maidstone",420,40,2,15,4,481,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 633","Macklin",789,100,3,38,6,936,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 634","Cando",346,55,0,19,1,421,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 635","Mosquito 109",Combined with No./Résultats combinés à ceux du n°634,,,,,,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 636","Red Pheasant 108",Combined with No./Résultats combinés à ceux du n°634,,,,,,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake"," 637","Cando",Combined with No./Résultats combinés à ceux du n°634,,,,,,
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake",,Group 1/Groupe 1, 390,194,5,70,49,708,264
47001,"Battlefords--Lloydminster--Meadow Lake/Battlefords--Lloydminster--Meadow Lake",,Group 2/Groupe 2, 859,243,8,69,21,1200,
