Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Lisa Marie Barron,Michelle Corfield,Tamara Kronis,Paul Manly,Stephen Welton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 616","Nanaimo",243,427,597,266,7,5,1545,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 617","Nanaimo River",Combined with No./Résultats combinés à ceux du n°616,,,,,,,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 618","Cassidy",216,362,515,152,7,7,1259,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 619","Ladysmith",293,498,553,208,5,1,1558,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 620","Ladysmith",386,852,769,252,6,5,2270,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 621","Chemainus 13--Oyster Bay 12",Combined with No./Résultats combinés à ceux du n°618,,,,,,,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 622","Cedar",215,420,612,184,6,5,1442,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 623","Gabriola Island ",496,647,293,412,6,3,1857,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 624","Lyacksun 3",Combined with No./Résultats combinés à ceux du n°623,,,,,,,
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith",,Group 1/Groupe 1, 122,283,226,123,3,22,779,286
59019,"Nanaimo--Ladysmith/Nanaimo--Ladysmith",,Group 2/Groupe 2, 809,1536,1987,524,13,77,4946,
