Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Brian Adeba,Kelly DeRidder,Margaretha Dyck,Mike Morrice,Ellen Papenburg,Wasai Rahimi,Heather Zaleski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35048,"Kitchener Centre/Kitchener-Centre"," 136","Kitchener",28,47,0,49,1,0,3,0,128,340
35048,"Kitchener Centre/Kitchener-Centre"," 137","Kitchener",31,50,1,31,0,0,4,0,117,325
35048,"Kitchener Centre/Kitchener-Centre"," 138","Kitchener",26,52,0,34,1,2,7,2,124,351
35048,"Kitchener Centre/Kitchener-Centre"," 139","Kitchener",42,54,1,34,3,0,3,4,141,352
35048,"Kitchener Centre/Kitchener-Centre"," 140","Kitchener",43,57,0,20,0,0,0,0,120,337
35048,"Kitchener Centre/Kitchener-Centre"," 141","Kitchener",64,70,2,48,1,2,6,0,193,510
35048,"Kitchener Centre/Kitchener-Centre"," 142","Kitchener",37,73,0,45,0,1,2,0,158,427
35048,"Kitchener Centre/Kitchener-Centre"," 143","Kitchener",39,46,1,30,0,0,1,0,117,413
35048,"Kitchener Centre/Kitchener-Centre"," 144","Kitchener",30,64,0,69,0,0,3,0,166,444
35048,"Kitchener Centre/Kitchener-Centre"," 145","Kitchener",34,56,0,51,0,2,4,4,151,458
35048,"Kitchener Centre/Kitchener-Centre"," 146","Kitchener",43,57,0,46,0,0,4,0,150,331
35048,"Kitchener Centre/Kitchener-Centre"," 147","Kitchener",24,57,0,42,0,0,1,0,124,397
35048,"Kitchener Centre/Kitchener-Centre"," 148","Kitchener",64,60,0,49,0,1,7,2,183,456
35048,"Kitchener Centre/Kitchener-Centre"," 149","Kitchener",40,64,0,41,1,2,7,0,155,408
35048,"Kitchener Centre/Kitchener-Centre"," 150","Kitchener",37,54,0,44,0,1,6,0,142,434
35048,"Kitchener Centre/Kitchener-Centre"," 151","Kitchener",66,51,0,54,0,0,1,0,172,438
35048,"Kitchener Centre/Kitchener-Centre"," 152","Kitchener",47,67,0,61,0,3,1,0,179,499
35048,"Kitchener Centre/Kitchener-Centre"," 153","Kitchener",41,73,1,31,3,2,5,0,156,431
35048,"Kitchener Centre/Kitchener-Centre"," 154","Kitchener",78,106,0,76,1,2,16,1,280,786
35048,"Kitchener Centre/Kitchener-Centre"," 155","Kitchener",44,52,2,35,0,0,6,2,141,405
35048,"Kitchener Centre/Kitchener-Centre"," 156","Kitchener",47,98,0,50,1,2,7,3,208,595
35048,"Kitchener Centre/Kitchener-Centre"," 157","Kitchener",37,53,0,25,0,0,3,2,120,325
35048,"Kitchener Centre/Kitchener-Centre"," 158","Kitchener",31,27,1,24,0,0,2,1,86,271
35048,"Kitchener Centre/Kitchener-Centre"," 159","Kitchener",32,47,0,52,0,0,2,2,135,317
35048,"Kitchener Centre/Kitchener-Centre"," 160","Kitchener",56,51,1,71,0,2,4,1,186,450
35048,"Kitchener Centre/Kitchener-Centre"," 161","Kitchener",52,81,0,70,0,1,1,0,205,483
35048,"Kitchener Centre/Kitchener-Centre"," 162","Kitchener",34,52,1,46,0,0,1,1,135,379
35048,"Kitchener Centre/Kitchener-Centre"," 163","Kitchener",27,28,1,46,0,1,11,2,116,332
35048,"Kitchener Centre/Kitchener-Centre"," 164","Kitchener",40,31,0,77,0,1,0,0,149,338
35048,"Kitchener Centre/Kitchener-Centre"," 165","Kitchener",23,28,1,44,0,1,1,0,98,343
35048,"Kitchener Centre/Kitchener-Centre"," 166","Kitchener",41,55,0,77,0,0,1,0,174,449
35048,"Kitchener Centre/Kitchener-Centre"," 167","Kitchener",35,45,0,57,0,3,5,0,145,394
35048,"Kitchener Centre/Kitchener-Centre"," 168","Kitchener",39,45,0,22,1,1,6,1,115,437
35048,"Kitchener Centre/Kitchener-Centre"," 169","Kitchener",29,41,0,31,1,0,3,4,109,330
35048,"Kitchener Centre/Kitchener-Centre"," 170","Kitchener",31,57,0,21,1,1,3,4,118,400
35048,"Kitchener Centre/Kitchener-Centre"," 171","Kitchener",55,72,1,50,1,0,8,2,189,486
35048,"Kitchener Centre/Kitchener-Centre"," 172","Kitchener",37,74,0,43,0,0,3,1,158,551
35048,"Kitchener Centre/Kitchener-Centre"," 173A","Kitchener",36,47,0,35,0,1,2,1,122,313
