Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Andrew Bascombe,Syl Carle,Sean Carscadden,Michael Chong,Liam Stiles,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 171","Guelph",Combined with No./Résultats combinés à ceux du n°172,,,,,,,94
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 172","Guelph",4,4,127,100,10,1,246,435
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 173","Guelph",0,2,73,74,3,2,154,494
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 174","Guelph",6,1,91,75,3,1,177,381
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 175","Guelph",5,2,75,86,3,0,171,476
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 176","Guelph",4,4,66,62,3,0,139,384
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 177","Guelph",4,1,89,36,2,0,132,362
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 178","Guelph",3,1,116,82,8,0,210,451
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 179","Guelph",4,3,134,103,7,0,251,542
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 180","Guelph",4,1,137,94,16,4,256,397
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 181","Guelph",Combined with No./Résultats combinés à ceux du n°180,,,,,,,243
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 182","Guelph",1,0,92,61,10,0,164,463
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 183","Guelph",0,0,120,82,1,0,203,513
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 184","Guelph",5,2,156,74,8,0,245,482
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 185","Guelph",3,1,130,59,4,0,197,402
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 186","Guelph",2,0,130,88,9,0,229,507
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 187","Guelph",5,0,135,111,11,2,264,581
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 188","Guelph",4,1,112,99,10,0,226,556
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 189","Puslinch",1,0,64,119,6,0,190,574
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 190","Puslinch",3,1,70,112,5,1,192,521
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 191","Puslinch",0,2,56,71,6,0,135,373
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 192","Puslinch",2,0,79,66,1,2,150,383
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 193","Puslinch",3,4,86,119,5,3,220,522
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 194","Puslinch",3,5,93,111,2,2,216,592
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 195","Puslinch",8,4,54,111,10,0,187,449
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 196","Puslinch",3,1,61,78,3,1,147,378
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 197","Puslinch",2,1,80,66,4,0,153,389
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 198","Puslinch",3,3,45,89,2,0,142,419
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 199","Puslinch",3,4,70,168,6,0,251,555
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 200","Puslinch",Combined with No./Résultats combinés à ceux du n°201,,,,,,,276
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 201","Puslinch",0,2,81,162,4,0,249,321
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 202","Puslinch",2,2,68,74,1,0,147,357
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 400","Guelph",4,0,91,78,4,1,178,231
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 401","Guelph",Combined with No./Résultats combinés à ceux du n°400,,,,,,,225
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 402","Guelph",Combined with No./Résultats combinés à ceux du n°400,,,,,,,88
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,65
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 501","Mobile poll/Bureau itinérant",2,2,17,26,1,4,52,72
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°72B,,,,,,,2
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 503","Mobile poll/Bureau itinérant",3,0,49,54,0,5,111,118
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 504","Mobile poll/Bureau itinérant",0,0,13,7,2,1,23,78
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 505","Mobile poll/Bureau itinérant",9,2,52,23,6,5,97,87
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,78
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 507","Guelph",Combined with No./Résultats combinés à ceux du n°180,,,,,,,5
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°72B,,,,,,,19
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,20
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 600","Centre Wellington",22,4,908,854,12,6,1806,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 601","Centre Wellington",45,11,1410,949,37,12,2464,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 602","Centre Wellington",8,5,246,387,9,9,664,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 603","Centre Wellington",49,16,801,705,38,10,1619,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 604","Centre Wellington",45,10,923,829,20,11,1838,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 605","Centre Wellington",34,11,627,705,23,4,1404,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 606","Erin",24,11,383,575,15,3,1011,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 607","Erin",24,6,515,687,20,4,1256,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 608","Erin",20,6,329,489,13,1,858,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 609","Halton Hills",13,7,343,472,7,2,844,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 610","Halton Hills",23,8,511,783,20,2,1347,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 611","Halton Hills",37,8,465,712,27,7,1256,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 612","Guelph/Eramosa",17,8,922,904,27,1,1879,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 613","Guelph/Eramosa",16,5,567,656,27,6,1277,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 614","Guelph/Eramosa",11,4,459,482,22,4,982,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 615","Guelph",27,15,1222,513,45,8,1830,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 616","Guelph",21,5,778,532,30,3,1369,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 617","Guelph",18,12,763,537,33,4,1367,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 618","Guelph",30,5,1092,690,37,5,1859,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 619","Puslinch",31,10,719,838,38,3,1639,
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 620","Puslinch",16,11,458,548,13,1,1047,
