Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ava Duffy,Michael Holbrook,Shelby Kramp-Neuman,Tracey Sweeney Schenk,Zaid Yusufani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 184","Greater Napanee",1,0,87,33,0,1,122,412
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 185","Greater Napanee",1,1,35,42,0,1,80,254
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 186","Greater Napanee",3,2,42,26,0,0,73,266
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 187","Greater Napanee",3,1,89,46,0,0,139,430
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 188","Stirling-Rawdon",8,2,84,54,0,0,148,436
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 189","Stirling-Rawdon",9,4,124,79,1,0,217,552
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 190","Stirling-Rawdon",6,0,83,54,0,0,143,427
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 191","Quinte West",1,1,73,53,0,0,128,327
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 192","Quinte West",4,2,96,54,2,0,158,353
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 193","Quinte West",5,4,83,53,1,1,147,389
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 194","Amherst Island",2,5,70,221,3,0,301,395
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 195","Tyendinaga Mohawk Territory",7,3,46,49,1,0,106,499
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 196","Tyendinaga Mohawk Territory",4,1,50,45,0,1,101,359
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 197","Tyendinaga Mohawk Territory",10,2,60,73,0,0,145,502
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 198","Tyendinaga Mohawk Territory",8,4,46,66,0,1,125,468
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 199","Tyendinaga Mohawk Territory",7,0,71,67,0,0,145,452
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 200","Belleville",5,2,83,76,1,2,169,500
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 201","Belleville",8,0,120,54,0,0,182,515
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 202","Belleville",2,1,130,91,0,0,224,739
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 203","Belleville",1,1,92,72,2,0,168,565
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 204","Belleville",2,0,124,68,1,0,195,576
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 205","Belleville",5,0,106,86,0,0,197,695
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 206","Belleville",3,3,100,69,2,0,177,573
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 207","Belleville",11,2,86,72,0,2,173,556
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 208","Quinte West",1,2,114,62,0,0,179,477
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 209","Quinte West",6,6,123,80,1,0,216,471
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 210","Quinte West",3,1,75,51,0,0,130,428
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 211","Quinte West",0,2,83,74,1,0,160,454
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 212","Quinte West",8,2,101,46,1,0,158,453
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 213","Quinte West",5,1,51,37,1,0,95,301
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 214","Quinte West",7,1,90,53,1,0,152,454
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 215","Quinte West",9,3,117,69,2,0,200,461
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 216","Quinte West",5,2,101,33,0,0,141,467
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 217","Greater Napanee",7,9,109,97,1,1,224,425
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 218","Greater Napanee",10,5,101,106,1,0,223,441
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 219","Greater Napanee",2,4,79,131,0,0,216,413
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 220","Greater Napanee",2,0,68,45,1,2,118,272
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 400","Loyalist",7,1,17,21,0,3,49,101
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 500","Mobile poll/Bureau itinérant",8,3,25,19,1,5,61,113
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,31
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 502","Mobile poll/Bureau itinérant",2,1,20,18,0,0,41,45
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,9
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 504","Mobile poll/Bureau itinérant",4,3,58,29,1,6,101,72
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,63
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,36
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,17
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 508","Mobile poll/Bureau itinérant",7,2,17,26,1,3,56,46
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 509","Mobile poll/Bureau itinérant",5,1,46,46,0,6,104,78
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,50
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 511","Mobile poll/Bureau itinérant",6,1,16,12,2,3,40,22
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,7
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,34
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,13
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 600","Bancroft",28,11,523,315,6,5,888,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 601","Bancroft",20,7,452,252,1,6,738,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 602","Bancroft",23,7,453,346,5,2,836,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 603","Bancroft",13,5,335,205,0,4,562,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 604","Addington Highlands",10,5,389,194,6,4,608,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 605","Queensborough",9,6,222,81,1,0,319,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 606","Madoc",38,14,682,320,4,3,1061,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 607","Centre Hastings",26,6,404,224,0,4,664,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 608","Tweed",35,9,483,363,2,0,892,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 609","Actinolite",30,14,620,469,7,8,1148,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 610","Tamworth",32,7,426,364,1,1,831,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 611","Stone Mills",26,6,402,428,1,3,866,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 612","Stone Mills",6,4,201,220,3,0,434,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 613","Odessa",44,11,585,562,6,2,1210,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 614","Loyalist",58,19,619,1005,6,6,1713,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 615","Amherstview",65,9,541,908,6,8,1537,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 616","Amherstview",8,4,166,298,1,1,478,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 617","Greater Napanee",44,13,547,602,3,7,1216,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 618","Greater Napanee",18,8,418,285,2,9,740,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 619","Read",18,4,295,210,5,2,534,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 620","Stirling",24,12,634,484,5,3,1162,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 621","Quinte West",35,13,1071,777,6,3,1905,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 622","Belleville",50,10,1038,1047,8,4,2157,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 623","Belleville",20,4,525,414,1,7,971,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 624","Shannonville",12,2,170,140,2,0,326,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 625","Tyendinaga Mohawk Territory",8,2,108,107,0,3,228,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 626","Shannonville",18,0,158,168,0,0,344,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 627","Greater Napanee",29,13,618,632,1,4,1297,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 628","Greater Napanee",22,5,411,449,5,8,900,
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga",,Group 1/Groupe 1, 31,25,441,520,7,72,1096,242
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga",,Group 2/Groupe 2, 84,32,1836,1478,7,49,3486,
