Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Armand Cormier,Wayne Long,David MacFarquhar,Austin Venedam,Melissa Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 134","Saint John",5,55,1,1,49,0,111,438
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 135","Saint John",14,60,3,1,47,1,126,471
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 136","Saint John",2,67,6,0,38,1,114,490
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 500","Mobile poll/Bureau itinérant",7,45,1,0,28,2,83,55
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,70
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,57
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,10
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,12
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 505","Mobile poll/Bureau itinérant",5,28,5,2,20,0,60,79
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,81
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 507","Mobile poll/Bureau itinérant",3,13,1,0,17,0,34,26
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 508","Mobile poll/Bureau itinérant",Electors voted by special ballot in SVR Group 2/Les électeurs ont voté par bulletin spécial dans le groupe 2 RÉS,,,,,,,1
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,83
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 510","Mobile poll/Bureau itinérant",3,41,2,0,21,1,68,57
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,28
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,24
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,14
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 514","Saint John",Combined with No./Résultats combinés à ceux du n°90A,,,,,,,13
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 515","Mobile poll/Bureau itinérant",0,40,1,1,14,0,56,162
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 516","Mobile poll/Bureau itinérant",5,32,2,0,21,1,61,65
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 517","Saint John",Combined with No./Résultats combinés à ceux du n°93,,,,,,,12
