Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Julie Bergeron,Madeleine Chenette,Marie-Noëlle Closson-Duquette,Michel Lacroix,Chantal Lavoie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 605","Blainville",155,553,278,16,5,25,1032,
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 606","Blainville",217,584,444,28,6,19,1298,
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 607","Blainville",158,730,494,27,3,13,1425,
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 608","Blainville",168,626,513,43,8,31,1389,
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 609","Blainville",98,434,308,15,4,9,868,
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 610","Blainville",134,527,337,15,2,9,1024,
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 611","Blainville",184,420,368,18,4,9,1003,
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 612","Sainte-Thérèse",96,566,302,12,10,5,991,
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 613","Blainville",180,707,222,8,9,3,1129,
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 614","Blainville",128,582,260,16,1,2,989,
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 615","Sainte-Thérèse",171,643,467,32,9,12,1334,
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 616","Sainte-Thérèse",114,448,491,31,15,22,1121,
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 617","Sainte-Thérèse",154,504,413,26,10,48,1155,
24074,"Thérèse-De Blainville/Thérèse-De Blainville",,Group 1/Groupe 1, 68,229,119,28,4,24,472,114
24074,"Thérèse-De Blainville/Thérèse-De Blainville",,Group 2/Groupe 2, 238,985,475,41,11,101,1851,
