Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jocelyn Johnson,Glen Motz,Tom Rooke,Andy Shadrack,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 602","Medicine Hat",93,960,327,9,4,1393,
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 603","Medicine Hat",70,761,316,12,9,1168,
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 604","Medicine Hat",56,609,257,7,7,936,
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 605","Cypress County",66,516,287,6,1,876,
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 606","Medicine Hat",64,1128,392,13,0,1597,
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 607","Medicine Hat",67,1048,268,16,3,1402,
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 608","Medicine Hat",73,1097,325,3,8,1506,
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 609","Medicine Hat",42,805,246,10,8,1111,
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 610","Cypress County",24,771,70,2,3,870,
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 611","Cypress County",38,1255,235,6,6,1540,
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 612","Bow Island",12,398,40,3,4,457,
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 613","Forty Mile County No. 8",15,380,39,3,2,439,
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 614","Raymond--Stirling",9,316,38,1,1,365,
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 615","Milk River",32,914,122,6,3,1077,
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 616","Raymond--Stirling",16,762,115,4,3,900,
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 617","Cardston",13,829,62,4,6,914,
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner",,Group 1/Groupe 1, 43,353,113,8,25,542,179
48030,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner",,Group 2/Groupe 2, 81,2009,440,14,46,2590,
