Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Scott Aitchison,Heather Hay,Isabel Pereira,Geordie Sabbagh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 601","Port Loring",302,15,5,129,1,452,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 602","South River",369,28,8,279,3,687,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 603","Strong--Sundridge--Joly",458,34,12,283,3,790,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 604","Kearney--Perry",551,37,18,328,2,936,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 605","Burk's Falls",504,24,28,313,4,873,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 606","Parry Sound",255,10,1,231,3,500,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 607","Britt",93,6,5,69,0,173,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 608","French River 13",Combined with No./Résultats combinés à ceux du n°607,,,,,,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 609","Magnetewan 1",Combined with No./Résultats combinés à ceux du n°607,,,,,,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 610","Shawanaga 17",Combined with No./Résultats combinés à ceux du n°607,,,,,,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 611","Parry Sound",572,15,8,558,5,1158,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 612","Parry Island First Nation",Combined with No./Résultats combinés à ceux du n°613,,,,,,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 613","McDougall",510,50,18,632,6,1216,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 614","Parry Sound",318,13,5,266,2,604,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 615","Huntsville",517,34,4,443,2,1000,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 616","Huntsville",457,18,12,559,1,1047,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 617","Huntsville",436,16,4,544,0,1000,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 618","Huntsville",134,6,4,168,1,313,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 619","Huntsville",611,32,6,496,0,1145,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 620","Huntsville",201,15,6,200,2,424,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 621","Bracebridge",588,47,20,819,11,1485,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 622","Bracebridge",592,42,12,753,4,1403,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 623","Bracebridge",490,41,13,854,0,1398,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 624","Muskoka Lakes",539,30,7,559,0,1135,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 625","Port Carling",428,9,10,357,2,806,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 626","Moose Point 79",Combined with No./Résultats combinés à ceux du n°628,,,,,,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 627","Wahta Mohawk Territory",Combined with No./Résultats combinés à ceux du n°628,,,,,,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 628","Baxter",386,15,6,323,1,731,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 629","Muskoka Lakes",512,29,16,502,4,1063,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 630","Gravenhurst",491,37,6,654,3,1191,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 631","Gravenhurst",540,34,7,482,7,1070,
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka",,Group 1/Groupe 1, 411,18,7,607,38,1081,259
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka",,Group 2/Groupe 2, 1971,100,47,2340,36,4494,
