Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Michael Barrett,Lorna Jean Edmonds,Paul Lancione,Randi Ramdeen,Hailey Simpson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 154","Elizabethtown-Kitley",44,71,6,0,2,0,123,435
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 155","Elizabethtown-Kitley",55,79,3,2,2,0,141,443
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 156","Elizabethtown-Kitley",56,45,4,1,2,1,109,314
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 157","Rideau Lakes",166,90,5,2,4,4,271,517
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 158","Rideau Lakes",129,105,13,4,3,4,258,460
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 159","Rideau Lakes",138,120,1,1,1,2,263,468
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 160","Elizabethtown-Kitley",124,92,12,2,1,0,231,409
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 161","Elizabethtown-Kitley",107,75,11,5,5,5,208,402
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 162","Elizabethtown-Kitley",80,61,5,2,3,3,154,282
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 163","Rideau Lakes",98,127,5,4,1,0,235,460
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 164","Rideau Lakes",132,152,6,1,0,1,292,489
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 165","Athens",98,37,2,0,5,0,142,421
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 166","Athens",98,38,14,2,0,0,152,405
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 167","Athens",100,54,9,2,0,1,166,442
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 168","Rideau Lakes",49,36,4,1,0,1,91,284
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 169","Rideau Lakes",74,75,3,3,0,0,155,404
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 170","Rideau Lakes",65,44,5,5,3,0,122,347
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 171","Leeds and the Thousand Islands",101,56,4,2,4,0,167,457
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 172","Leeds and the Thousand Islands",90,66,4,2,0,1,163,405
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 173","Leeds and the Thousand Islands",85,76,7,1,4,0,173,459
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 174","Rideau Lakes",127,59,7,4,4,0,201,456
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 175","Rideau Lakes",70,89,8,2,2,1,172,354
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 176","Front of Yonge",82,39,9,1,0,0,131,285
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 177","Front of Yonge",114,72,9,0,1,5,201,356
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 178","Front of Yonge",105,64,13,3,1,0,186,394
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 179","Front of Yonge",128,67,8,4,2,1,210,454
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 180","Front of Yonge",93,53,8,3,4,2,163,440
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 181","Front of Yonge",93,71,4,3,3,2,176,460
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 182","Leeds and the Thousand Islands",122,92,3,9,1,0,227,398
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 183","Leeds and the Thousand Islands",102,99,4,2,0,1,208,390
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 184","Leeds and the Thousand Islands",69,79,1,2,3,1,155,341
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 185","Leeds and the Thousand Islands",100,103,4,1,0,0,208,459
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 186","Leeds and the Thousand Islands",77,41,7,1,3,0,129,405
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 187","Leeds and the Thousand Islands",50,60,5,2,1,0,118,265
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 188","Leeds and the Thousand Islands",79,51,5,4,3,1,143,293
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 189","Leeds and the Thousand Islands",149,56,8,7,2,1,223,437
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 190","Leeds and the Thousand Islands",135,90,15,3,3,1,247,434
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 191","Leeds and the Thousand Islands",92,51,8,4,4,1,160,407
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 192","Leeds and the Thousand Islands",90,65,10,1,1,2,169,389
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 193","Leeds and the Thousand Islands",92,72,8,1,0,1,174,368
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 194","Leeds and the Thousand Islands",97,72,4,3,2,0,178,435
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 195","Leeds and the Thousand Islands",100,77,5,0,2,1,185,391
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 196","Leeds and the Thousand Islands",94,59,9,1,1,0,164,338
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 197","Leeds and the Thousand Islands",103,81,6,2,1,0,193,382
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 198","Leeds and the Thousand Islands",74,90,6,3,4,0,177,435
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 199","Leeds and the Thousand Islands",69,66,5,2,3,1,146,419
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 200","Gananoque",83,67,8,2,1,0,161,547
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 201","Gananoque",86,84,9,0,3,2,184,576
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 202","Gananoque",76,72,7,3,3,2,163,531
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 203","Gananoque",64,85,3,1,1,0,154,514
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 204","Gananoque",38,78,9,3,0,1,129,419
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 205","Gananoque",56,58,9,1,1,0,125,482
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 206","Gananoque",53,97,2,3,1,1,157,491
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 207","Gananoque",91,128,13,2,1,1,236,521
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 208","Gananoque",79,101,10,1,0,0,191,577
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 500","Mobile poll/Bureau itinérant",58,62,4,7,1,5,137,127
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 501","Mobile poll/Bureau itinérant",41,25,5,2,0,1,74,104
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,46
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 503","Mobile poll/Bureau itinérant",26,19,4,2,1,2,54,59
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 504","Mobile poll/Bureau itinérant",34,20,4,0,0,0,58,65
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,54
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,49
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,71
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 508","Mobile poll/Bureau itinérant",27,17,4,1,1,3,53,115
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,49
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,39
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 511","Mobile poll/Bureau itinérant",42,34,3,1,0,8,88,103
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 512","Mobile poll/Bureau itinérant",34,66,2,3,2,1,108,122
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 513","Mobile poll/Bureau itinérant",43,54,2,1,1,0,101,104
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,34
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 515","Mobile poll/Bureau itinérant",43,67,7,4,1,1,123,150
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,148
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 600","North Grenville",578,565,25,11,6,5,1190,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 601","North Grenville",762,956,35,11,6,6,1776,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 602","North Grenville",449,516,14,8,6,2,995,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 603","North Grenville",518,397,24,14,11,3,967,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 604","Edwardsburgh/Cardinal",739,448,43,17,5,1,1253,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 605","Edwardsburgh/Cardinal",584,417,20,15,6,0,1042,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 606","Augusta",597,629,39,10,9,4,1288,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 607","Maitland",447,268,12,9,6,3,745,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 608","Brockville",493,699,41,7,7,8,1255,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 609","Brockville",408,470,55,11,7,4,955,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 610","Brockville",574,1000,63,8,10,7,1662,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 611","Brockville",428,593,22,10,2,2,1057,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 612","Elizabethtown-Kitley--Spring Valley",360,416,30,7,7,1,821,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 613","Elizabethtown-Kitley--Frankville",421,242,20,6,4,2,695,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 614","Merrickville",460,534,24,10,4,5,1037,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 615","Rideau Lakes--Lombardy",641,492,35,5,5,4,1182,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 616","Rideau Lakes",546,467,31,10,7,1,1062,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 617","Westport--Rideau Lakes",348,474,29,6,12,10,879,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 618","Leeds and the Thousand Islands--Lyndhurst",455,470,22,14,3,0,964,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 619","Athens--Front of Yonge",555,423,42,14,8,3,1045,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 620","Front of Yonge--Leeds and the Thousand Islands",472,527,24,7,13,1,1044,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 621","Leeds and the Thousand Islands",394,418,28,9,14,3,866,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 622","Leeds and the Thousand Islands",632,1152,66,19,6,10,1885,
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes",,Group 1/Groupe 1, 296,457,23,9,8,44,837,257
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes",,Group 2/Groupe 2, 1929,2536,116,43,15,33,4672,
