Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Peyman Askari,Lauren Greenlaw,Gordon Jeffrey,Jäger Rosenberg,Keith Roy,Patrick Weiler,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 147","West Vancouver",0,6,0,4,60,92,0,162,483
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 148","West Vancouver",3,4,0,3,98,105,2,215,499
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 149","West Vancouver",1,4,0,1,72,81,0,159,500
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 150","West Vancouver",0,2,0,0,60,80,0,142,437
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 151","West Vancouver",2,1,0,0,72,81,1,157,441
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 152","West Vancouver",0,0,0,1,59,36,0,96,561
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 153","West Vancouver",0,1,0,1,43,32,0,77,448
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 154","West Vancouver",0,3,0,0,59,39,0,101,462
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 155","West Vancouver",0,2,0,1,86,33,0,122,426
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 156","West Vancouver",0,0,0,0,60,32,0,92,389
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 157","West Vancouver",1,1,0,2,50,35,0,89,480
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 158","West Vancouver",1,1,0,2,45,50,0,99,464
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 159","West Vancouver",1,2,0,0,68,36,0,107,414
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 160","West Vancouver",0,0,0,1,53,38,0,92,347
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 161","West Vancouver",1,2,0,1,57,37,1,99,398
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 162","West Vancouver",0,1,0,2,65,42,0,110,394
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 163","West Vancouver",0,3,0,1,50,56,0,110,420
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 164","West Vancouver",0,0,0,0,43,42,0,85,397
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 165","West Vancouver",2,1,0,0,46,52,0,101,424
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 166","West Vancouver",0,1,1,1,53,53,0,109,462
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 167","West Vancouver",0,0,0,1,78,77,0,156,462
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 168","West Vancouver",2,2,0,0,72,73,0,149,485
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 169","West Vancouver",0,3,0,2,48,64,0,117,435
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 170","West Vancouver",1,2,0,1,59,55,0,118,447
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 171","West Vancouver",1,0,0,0,67,49,0,117,422
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 172","West Vancouver",0,2,0,2,86,52,0,142,411
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 173","West Vancouver",1,1,0,3,69,57,0,131,395
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 174","West Vancouver",0,0,0,1,76,69,1,147,411
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 175","West Vancouver",0,2,0,1,92,58,0,153,415
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 176","West Vancouver",1,0,0,0,60,47,0,108,391
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 177","West Vancouver",1,1,1,0,69,59,0,131,491
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 178","West Vancouver",0,4,0,4,56,67,2,133,490
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 179","West Vancouver",0,2,0,4,55,41,2,104,425
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 180","West Vancouver",0,3,0,2,47,40,2,94,433
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 181","West Vancouver",1,3,0,0,41,57,0,102,446
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 182","West Vancouver",0,0,0,2,58,62,0,122,488
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 183","West Vancouver",0,4,0,4,52,54,1,115,492
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 184","West Vancouver",0,3,0,2,45,54,1,105,514
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 185","West Vancouver",0,0,0,1,40,62,1,104,469
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 186","West Vancouver",0,1,0,0,64,38,1,104,440
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 187","West Vancouver",1,3,0,3,75,42,0,124,423
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 188","West Vancouver",1,0,0,0,60,31,0,92,408
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 189","West Vancouver",1,6,0,0,65,52,0,124,464
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 190","West Vancouver",0,1,0,2,74,18,0,95,411
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 191","West Vancouver",1,1,0,1,63,39,0,105,451
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 192","West Vancouver",1,2,0,1,16,58,2,80,469
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 193","West Vancouver",1,1,0,1,33,45,1,82,367
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 194","West Vancouver",0,1,0,0,62,47,1,111,449
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 195","Bowen Island",0,22,0,9,42,162,0,235,393
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 196","Bowen Island",1,9,0,4,33,188,2,237,394
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 197","Bowen Island",0,16,0,7,50,183,0,256,430
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 198","Bowen Island",0,10,0,3,31,156,2,202,329
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 199","Metro Vancouver A",1,16,2,7,49,174,0,249,380
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 200","Bowen Island",0,7,1,6,42,163,0,219,341
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 201","Bowen Island",3,13,0,14,72,171,1,274,444
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 202","Bowen Island",1,7,0,3,32,104,1,148,275
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 203","Bowen Island",0,6,0,9,31,198,0,244,383
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,64
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,44
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,35
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 503","Sechelt",Combined with No./Résultats combinés à ceux du n°57,,,,,,,,22
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 504","Sechelt",Combined with No./Résultats combinés à ceux du n°57,,,,,,,,3
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 505","Sechelt",Combined with No./Résultats combinés à ceux du n°57,,,,,,,,65
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 506","Sechelt (Part)",Combined with No./Résultats combinés à ceux du n°58-1,,,,,,,,1
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 507","Mobile poll/Bureau itinérant",0,4,2,17,14,44,2,83,83
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 508","Mobile poll/Bureau itinérant",0,7,0,12,23,57,2,101,80
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 600","Whistler",Combined with No./Résultats combinés à ceux du n°603,,,,,,,,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 601","Nequatque",Combined with No./Résultats combinés à ceux du n°603,,,,,,,,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 602","Mount Currie",Combined with No./Résultats combinés à ceux du n°603,,,,,,,,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 603","Pemberton",5,33,2,25,331,619,2,1017,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 604","Whistler",9,40,2,14,448,1285,3,1801,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 605","Whistler",1,37,3,6,246,835,2,1130,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 606","Squamish--Tuwanek",6,16,2,19,202,525,0,770,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 607","Sechelt (Part)",Combined with No./Résultats combinés à ceux du n°608,,,,,,,,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 608","Irvines Landing",5,18,3,38,396,656,2,1118,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 609","Sechelt (Part)",Combined with No./Résultats combinés à ceux du n°608,,,,,,,,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 610","Sechelt (Part)",Combined with No./Résultats combinés à ceux du n°608,,,,,,,,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 611","Halfmoon Bay",1,20,3,41,321,694,6,1086,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 612","Sechelt",9,36,4,72,482,1143,1,1747,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 613","Sechelt (Part)",Combined with No./Résultats combinés à ceux du n°611,,,,,,,,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 614","Sechelt",4,36,3,67,377,1083,2,1572,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 615","Sechelt (Part)",Combined with No./Résultats combinés à ceux du n°611,,,,,,,,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 616","Gibsons",11,58,0,113,587,1542,4,2315,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 617","Chekwelp 26",Combined with No./Résultats combinés à ceux du n°616,,,,,,,,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 618","Gibsons",4,30,1,52,268,966,2,1323,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 619","Squamish",10,103,1,57,410,1267,7,1855,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 620","Cheakamus 11--Waiwakum 14",Combined with No./Résultats combinés à ceux du n°621,,,,,,,,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 621","Squamish",11,93,2,59,502,1194,4,1865,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 622","Seaichem 16--Kowtain 17",Combined with No./Résultats combinés à ceux du n°625,,,,,,,,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 623","Yekwaupsum 18",Combined with No./Résultats combinés à ceux du n°625,,,,,,,,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 624","Stawamus 24",Combined with No./Résultats combinés à ceux du n°625,,,,,,,,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 625","Squamish",6,60,0,30,465,989,0,1550,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 626","Metro Vancouver A",7,12,0,12,550,1122,2,1705,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 627","West Vancouver",0,6,0,7,353,337,3,706,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 628","West Vancouver",8,4,1,14,705,589,1,1322,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 629","West Vancouver",6,14,1,11,693,1318,12,2055,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 630","West Vancouver",6,12,0,15,919,993,2,1947,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 631","Bowen Island",0,9,0,2,44,209,0,264,
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country",,Group 1/Groupe 1, 7,38,1,31,393,881,61,1412,733
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country",,Group 2/Groupe 2, 19,104,7,86,1339,3117,60,4732,
