Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Gaby Breton,Mario Fréchette,Marie-Philippe Gagnon Gauthier,Glenn O'Farrell,Dominique Vien,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 134","Buckland",23,2,2,37,117,1,182,314
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 135","Lévis",46,5,8,86,122,4,271,516
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 136","Lévis",26,3,8,53,67,2,159,391
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 137","Lévis",33,4,8,38,66,4,153,386
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 138","Lévis",50,4,9,37,74,2,176,411
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 139","Lévis",24,1,6,35,73,2,141,403
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 140","Lévis",36,0,6,61,129,3,235,483
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 141","Lévis",32,0,3,51,55,0,141,387
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 142","Lévis",40,2,2,55,66,2,167,383
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 143","Lévis",45,1,6,79,162,1,294,597
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 144A","Lévis",32,2,7,40,56,0,137,356
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 144B","Lévis",18,3,3,32,51,1,108,328
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 145","Lévis",39,1,0,43,45,1,129,453
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 146","Lévis",15,0,2,50,60,1,128,434
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 147","Lévis",28,1,7,38,70,2,146,438
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 148","Lévis",22,2,4,58,71,2,159,465
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 149","Lévis",28,3,3,31,94,2,161,352
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 150","Lévis",43,1,8,77,153,3,285,510
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 151","Lévis",46,8,14,53,115,6,242,410
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 152","Lévis",47,2,8,51,149,14,271,576
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 153","Lévis",34,4,8,51,102,5,204,473
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 154","Saint-Damien-de-Buckland",24,0,2,38,103,1,168,379
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 155","Saint-Damien-de-Buckland",10,1,5,18,67,0,101,278
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 156","Saint-Damien-de-Buckland",22,3,3,20,87,0,135,355
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 157","Saint-Damien-de-Buckland",22,2,1,18,113,4,160,368
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 158","Saint-Lazare",20,3,4,27,152,1,207,309
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 159","Saint-Lazare",37,0,1,34,135,4,211,298
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 160","Saint-Lazare-de-Bellechasse",29,2,10,38,164,2,245,363
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 161","Lévis",33,0,6,38,43,0,120,359
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 162","Lévis",40,1,9,41,62,3,156,413
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 163","Lévis",45,5,13,81,81,5,230,486
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 164","Lévis",32,1,14,50,48,3,148,331
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 165","Lévis",45,6,5,75,90,3,224,428
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 166","Lévis",46,0,8,51,69,1,175,377
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 167","Lévis",61,3,6,91,90,3,254,526
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 168","Lévis",52,6,5,54,70,5,192,440
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 169","Lévis",21,2,2,21,33,0,79,187
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 170","Saint-Henri",21,2,0,30,107,1,161,301
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 171","Saint-Henri",23,2,1,37,119,2,184,377
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 172","Saint-Henri",42,3,5,24,142,4,220,466
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 173","Saint-Henri",19,1,5,35,146,6,212,487
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 174","Saint-Henri",24,0,2,20,118,1,165,337
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 175","Saint-Henri",6,1,4,24,82,1,118,284
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 176","Saint-Henri",29,1,4,34,103,5,176,362
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 177","Saint-Henri",17,3,2,22,80,2,126,248
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 178","Saint-Henri",28,0,3,31,109,1,172,376
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 179","Saint-Henri",22,2,1,36,127,0,188,420
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 180","Saint-Henri",20,4,2,31,112,3,172,399
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 181","Saint-Henri",29,6,4,41,113,3,196,408
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 182","Honfleur",12,4,1,19,142,4,182,328
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 183","Honfleur",16,2,3,20,145,2,188,288
