Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jim Belanger,Andréane Chénier,Himal Hossain,Justin Dean Newell Leroux,Marc G. Serré,Sharilynne St. Louis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 151","Worthington",69,15,2,0,58,1,0,145,243
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 152","Webbwood",76,16,3,1,71,1,2,170,364
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 153","Webbwood",73,14,2,3,40,6,0,138,332
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 154","Eden",27,2,1,2,29,0,0,61,130
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 155","Estaire",74,15,2,0,52,3,1,147,363
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 156","Whitefish",112,18,2,1,62,1,4,200,344
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 157","Wanup--Estaire",72,11,1,2,53,1,1,141,388
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 158","Whitefish Lake 6",24,21,2,3,81,1,0,132,373
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 159","Monetville",123,10,2,1,66,3,1,206,443
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 160","Noëlville",82,11,3,1,79,1,2,179,467
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 161","Noëlville",76,13,1,1,49,3,1,144,415
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 162","Noëlville",70,7,2,1,56,3,1,140,422
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 163","McKerrow",72,10,0,0,58,1,0,141,234
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 164","McKerrow",72,13,1,2,37,1,0,126,261
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 165","Lake Panache",113,21,5,2,80,2,0,223,408
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 166","Espanola",89,15,2,2,70,0,0,178,465
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 167","Espanola",76,12,1,0,49,1,3,142,462
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 168","Espanola",74,7,1,1,86,0,0,169,474
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 169","Espanola",96,16,1,1,55,1,1,171,480
