Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kelly Block,Cheryl Loadman,Katelyn Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 144","St. Gregor",152,6,0,0,158,212
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 145","Pike Lake",112,18,36,1,167,280
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 146","Pike Lake",153,11,54,0,218,342
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 147","Englefeld",169,5,34,1,209,257
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 148","Blucher No. 343",117,27,10,2,156,341
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 149","Bradwell",156,11,28,1,196,375
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 150","Blucher No. 343",246,21,49,2,318,516
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,26
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,27
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,11
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,34
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 504","St-Laurent-Grandin",Combined with No./Résultats combinés à ceux du n°18,,,,,15
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 505","Mobile poll/Bureau itinérant",45,9,12,0,66,2
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,57
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,19
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 508","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,54
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,16
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 511","Mobile poll/Bureau itinérant",25,6,8,2,41,30
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 512","Mobile poll/Bureau itinérant",38,12,9,3,62,63
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 513","Mobile poll/Bureau itinérant",84,4,9,4,101,130
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 514","Mobile poll/Bureau itinérant",22,1,10,5,38,43
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 515","Mobile poll/Bureau itinérant",41,20,9,0,70,87
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 600","Blaine Lake",391,20,66,4,481,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 601","Muskeg Lake 102B",Combined with No./Résultats combinés à ceux du n°600,,,,,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 602","Lucky Man",Combined with No./Résultats combinés à ceux du n°600,,,,,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 603","Muskeg Lake Cree Nation 102",Combined with No./Résultats combinés à ceux du n°600,,,,,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 604","Beardy's and Okemasis 96 & 97C",Combined with No./Résultats combinés à ceux du n°600,,,,,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 605","Hafford",297,18,52,2,369,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 606","Biggar",136,12,18,1,167,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 607","Delisle",677,47,145,5,874,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 608","Corman Park No. 344",389,44,131,0,564,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 609","Corman Park No. 344",625,37,261,5,928,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 610","Allan--Clavet",483,32,111,0,626,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 611","Aberdeen",551,34,143,2,730,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 612","Corman Park No. 344",1186,86,256,13,1541,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 613","Martensville",1267,97,329,12,1705,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 614","Martensville",1186,88,280,7,1561,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 615","Dalmeny",788,60,176,4,1028,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 616","Warman",1007,48,231,4,1290,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 617","Corman Park No. 344",462,22,44,0,528,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 618","Rosthern",Combined with No./Résultats combinés à ceux du n°619,,,,,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 619","Rosthern",974,61,246,11,1292,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 620","Beardy's 97 and Okemasis 96",Combined with No./Résultats combinés à ceux du n°619,,,,,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 621","Willow Cree",Combined with No./Résultats combinés à ceux du n°619,,,,,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 622","One Arrow 95",Combined with No./Résultats combinés à ceux du n°623,,,,,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 623","Invergordon",221,9,36,0,266,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 624","Wakaw",414,39,86,0,539,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 625","One Arrow 95-1C",Combined with No./Résultats combinés à ceux du n°624,,,,,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 626","Middle Lake",482,19,41,1,543,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 627","Middle Lake",Combined with No./Résultats combinés à ceux du n°626,,,,,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 628","Naicam",387,8,52,1,448,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 629","Middle Lake",Combined with No./Résultats combinés à ceux du n°626,,,,,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 630","Humboldt No. 370",1160,91,220,1,1472,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek",,Group 1/Groupe 1, 392,47,169,39,647,105
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek",,Group 2/Groupe 2, 2078,127,499,48,2752,
