Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ravinder Bhatia,Don Davies,Amy K. Gill,Imtiaz Popat,Fiona Wang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59039,"Vancouver Kingsway/Vancouver Kingsway"," 121","Vancouver",27,24,72,1,1,1,126,385
59039,"Vancouver Kingsway/Vancouver Kingsway"," 122","Vancouver",57,30,55,1,1,1,145,234
59039,"Vancouver Kingsway/Vancouver Kingsway"," 123","Vancouver",Combined with No./Résultats combinés à ceux du n°119,,,,,,,262
59039,"Vancouver Kingsway/Vancouver Kingsway"," 124","Vancouver",19,39,19,0,0,0,77,379
59039,"Vancouver Kingsway/Vancouver Kingsway"," 125","Vancouver",66,46,61,0,2,0,175,517
59039,"Vancouver Kingsway/Vancouver Kingsway"," 126","Vancouver",51,65,61,2,3,0,182,479
59039,"Vancouver Kingsway/Vancouver Kingsway"," 127","Vancouver",41,49,42,0,1,1,134,466
59039,"Vancouver Kingsway/Vancouver Kingsway"," 128","Vancouver",49,78,75,3,1,2,208,487
59039,"Vancouver Kingsway/Vancouver Kingsway"," 129","Vancouver",79,78,83,3,0,1,244,645
59039,"Vancouver Kingsway/Vancouver Kingsway"," 130","Vancouver",53,62,60,3,1,0,179,408
59039,"Vancouver Kingsway/Vancouver Kingsway"," 131","Vancouver",52,67,18,1,1,1,140,364
59039,"Vancouver Kingsway/Vancouver Kingsway"," 132","Vancouver",53,53,76,2,5,1,190,456
59039,"Vancouver Kingsway/Vancouver Kingsway"," 133","Vancouver",47,48,43,1,2,1,142,447
59039,"Vancouver Kingsway/Vancouver Kingsway"," 134","Vancouver",Combined with No./Résultats combinés à ceux du n°135,,,,,,,319
59039,"Vancouver Kingsway/Vancouver Kingsway"," 135","Vancouver",67,82,90,0,2,1,242,383
59039,"Vancouver Kingsway/Vancouver Kingsway"," 136","Vancouver",18,33,36,0,1,0,88,492
59039,"Vancouver Kingsway/Vancouver Kingsway"," 137","Vancouver",54,44,49,3,2,0,152,407
59039,"Vancouver Kingsway/Vancouver Kingsway"," 138","Vancouver",43,35,50,4,2,2,136,402
59039,"Vancouver Kingsway/Vancouver Kingsway"," 139","Vancouver",55,48,92,1,1,1,198,487
59039,"Vancouver Kingsway/Vancouver Kingsway"," 140","Vancouver",35,12,18,0,0,1,66,389
59039,"Vancouver Kingsway/Vancouver Kingsway"," 141","Vancouver",38,33,47,0,3,2,123,377
59039,"Vancouver Kingsway/Vancouver Kingsway"," 142","Vancouver",50,42,58,1,1,1,153,417
59039,"Vancouver Kingsway/Vancouver Kingsway"," 143","Vancouver",61,26,78,0,1,0,166,439
59039,"Vancouver Kingsway/Vancouver Kingsway"," 144","Vancouver",39,45,24,2,1,1,112,326
59039,"Vancouver Kingsway/Vancouver Kingsway"," 145","Vancouver",26,42,26,2,1,0,97,385
59039,"Vancouver Kingsway/Vancouver Kingsway"," 146","Vancouver",49,46,32,0,0,2,129,441
59039,"Vancouver Kingsway/Vancouver Kingsway"," 147","Vancouver",Combined with No./Résultats combinés à ceux du n°122,,,,,,,216
59039,"Vancouver Kingsway/Vancouver Kingsway"," 148","Vancouver",53,28,50,1,2,0,134,452
59039,"Vancouver Kingsway/Vancouver Kingsway"," 149","Vancouver",22,48,41,1,2,0,114,445
59039,"Vancouver Kingsway/Vancouver Kingsway"," 150","Vancouver",50,57,39,0,0,1,147,463
59039,"Vancouver Kingsway/Vancouver Kingsway"," 151","Vancouver",Combined with No./Résultats combinés à ceux du n°152,,,,,,,392
59039,"Vancouver Kingsway/Vancouver Kingsway"," 152","Vancouver",106,93,121,3,3,3,329,462
59039,"Vancouver Kingsway/Vancouver Kingsway"," 153","Vancouver",40,43,44,2,0,1,130,424
59039,"Vancouver Kingsway/Vancouver Kingsway"," 154","Vancouver",28,42,35,2,1,1,109,383
59039,"Vancouver Kingsway/Vancouver Kingsway"," 155","Vancouver",19,41,40,1,2,0,103,462
59039,"Vancouver Kingsway/Vancouver Kingsway"," 156","Vancouver",47,42,22,0,4,0,115,383
59039,"Vancouver Kingsway/Vancouver Kingsway"," 157","Vancouver",35,59,42,0,1,0,137,401
59039,"Vancouver Kingsway/Vancouver Kingsway"," 158","Vancouver",41,45,55,0,1,2,144,436
59039,"Vancouver Kingsway/Vancouver Kingsway"," 159","Vancouver",70,120,115,2,3,5,315,375
59039,"Vancouver Kingsway/Vancouver Kingsway"," 160","Vancouver",34,60,35,2,0,0,131,419
59039,"Vancouver Kingsway/Vancouver Kingsway"," 161","Vancouver",45,74,70,2,3,1,195,551
59039,"Vancouver Kingsway/Vancouver Kingsway"," 162","Vancouver",Combined with No./Résultats combinés à ceux du n°159,,,,,,,343
59039,"Vancouver Kingsway/Vancouver Kingsway"," 163","Vancouver",68,69,77,0,2,2,218,531
59039,"Vancouver Kingsway/Vancouver Kingsway"," 164","Vancouver",53,40,32,2,2,2,131,419
59039,"Vancouver Kingsway/Vancouver Kingsway"," 165","Vancouver",64,66,39,2,1,0,172,470
