Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Maricar Aliasut,Mark Boudreau,Amethyste Hamel-Gregory,Shannon Miedema,Lisa Roberts,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12006,"Halifax/Halifax"," 33","Halifax",0,34,1,103,26,1,165,407
12006,"Halifax/Halifax"," 34","Halifax",4,31,2,106,33,2,178,522
12006,"Halifax/Halifax"," 35","Halifax",0,12,5,82,49,0,148,313
12006,"Halifax/Halifax"," 36","Halifax",0,41,1,97,28,0,167,450
12006,"Halifax/Halifax"," 37","Halifax",1,35,2,114,47,0,199,561
12006,"Halifax/Halifax"," 38","Halifax",1,16,2,74,40,0,133,387
12006,"Halifax/Halifax"," 39","Halifax",0,24,0,105,44,1,174,522
12006,"Halifax/Halifax"," 40","Halifax",1,36,1,113,29,0,180,585
12006,"Halifax/Halifax"," 41","Halifax",2,49,0,95,12,0,158,409
12006,"Halifax/Halifax"," 42","Halifax",3,30,3,104,33,2,175,399
12006,"Halifax/Halifax"," 43","Halifax",0,18,1,85,12,0,116,428
12006,"Halifax/Halifax"," 44","Halifax",2,16,0,75,39,0,132,328
12006,"Halifax/Halifax"," 45","Halifax",2,29,0,80,42,1,154,415
12006,"Halifax/Halifax"," 46","Halifax",0,11,1,75,30,0,117,396
12006,"Halifax/Halifax"," 47","Halifax",0,36,2,50,26,2,116,243
12006,"Halifax/Halifax"," 48","Halifax",0,58,3,111,40,1,213,475
12006,"Halifax/Halifax"," 49","Halifax",2,5,1,67,43,1,119,368
12006,"Halifax/Halifax"," 50","Halifax",1,24,6,98,43,1,173,477
12006,"Halifax/Halifax"," 51","Halifax",2,29,0,92,45,0,168,408
12006,"Halifax/Halifax"," 52","Halifax",1,18,4,89,45,0,157,456
12006,"Halifax/Halifax"," 53","Halifax",2,34,5,126,29,0,196,494
12006,"Halifax/Halifax"," 54","Halifax",2,37,4,141,44,2,230,344
12006,"Halifax/Halifax"," 55","Halifax",1,39,1,159,61,2,263,565
12006,"Halifax/Halifax"," 56","Halifax",1,28,1,113,17,2,162,505
12006,"Halifax/Halifax"," 57","Halifax",0,71,0,159,21,1,252,676
12006,"Halifax/Halifax"," 58","Halifax",0,22,2,100,24,0,148,410
12006,"Halifax/Halifax"," 59","Halifax",0,29,0,81,17,0,127,515
12006,"Halifax/Halifax"," 60","Halifax",1,20,2,87,20,2,132,345
12006,"Halifax/Halifax"," 61","Halifax",0,16,1,98,35,0,150,375
12006,"Halifax/Halifax"," 62","Halifax",0,20,1,103,43,1,168,462
12006,"Halifax/Halifax"," 63","Halifax",1,58,3,145,60,2,269,507
12006,"Halifax/Halifax"," 64","Halifax",2,32,1,95,41,1,172,412
