Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jasleen Bains,Terry Dowdall,Allan Kuhn,Giorgio Mammoliti,Bren Munro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35098,"Simcoe--Grey/Simcoe--Grey"," 148","Essa",10,141,4,1,48,1,205,513
35098,"Simcoe--Grey/Simcoe--Grey"," 149","Essa",4,112,6,1,41,3,167,431
35098,"Simcoe--Grey/Simcoe--Grey"," 150","Essa",4,74,3,0,31,0,112,345
35098,"Simcoe--Grey/Simcoe--Grey"," 151","Essa",4,94,4,0,41,0,143,478
35098,"Simcoe--Grey/Simcoe--Grey"," 152","Essa",5,101,1,1,47,0,155,455
35098,"Simcoe--Grey/Simcoe--Grey"," 153","Essa",Combined with No./Résultats combinés à ceux du n°154,,,,,,,150
35098,"Simcoe--Grey/Simcoe--Grey"," 154","Essa",6,113,2,1,53,0,175,328
35098,"Simcoe--Grey/Simcoe--Grey"," 155","Essa",1,114,1,1,51,0,168,405
35098,"Simcoe--Grey/Simcoe--Grey"," 156","Essa",2,97,0,1,40,1,141,378
35098,"Simcoe--Grey/Simcoe--Grey"," 157","Essa",0,107,3,0,40,0,150,369
35098,"Simcoe--Grey/Simcoe--Grey"," 158","Essa",5,90,3,0,35,0,133,418
35098,"Simcoe--Grey/Simcoe--Grey"," 159","Essa",6,62,4,0,34,1,107,359
35098,"Simcoe--Grey/Simcoe--Grey"," 160","Essa",1,49,5,0,26,1,82,434
35098,"Simcoe--Grey/Simcoe--Grey"," 161","Clearview",6,96,10,0,98,0,210,500
35098,"Simcoe--Grey/Simcoe--Grey"," 162","Clearview",4,61,6,0,59,0,130,356
35098,"Simcoe--Grey/Simcoe--Grey"," 163","Clearview",2,47,4,2,40,0,95,297
35098,"Simcoe--Grey/Simcoe--Grey"," 164","Clearview",0,87,5,0,68,0,160,421
35098,"Simcoe--Grey/Simcoe--Grey"," 165","Clearview",1,51,2,1,43,1,99,273
35098,"Simcoe--Grey/Simcoe--Grey"," 166","Essa",2,106,5,0,41,1,155,452
35098,"Simcoe--Grey/Simcoe--Grey"," 167","Essa",2,95,3,1,27,0,128,347
35098,"Simcoe--Grey/Simcoe--Grey"," 168","Essa",3,135,2,0,33,1,174,489
35098,"Simcoe--Grey/Simcoe--Grey"," 169","Essa",4,92,1,2,23,0,122,332
35098,"Simcoe--Grey/Simcoe--Grey"," 170","Adjala-Tosorontio",4,84,3,1,45,0,137,339
35098,"Simcoe--Grey/Simcoe--Grey"," 171","Adjala-Tosorontio",5,162,2,5,47,0,221,460
35098,"Simcoe--Grey/Simcoe--Grey"," 172","Adjala-Tosorontio",3,113,1,1,34,0,152,375
35098,"Simcoe--Grey/Simcoe--Grey"," 173","Essa",1,89,1,0,26,0,117,355
35098,"Simcoe--Grey/Simcoe--Grey"," 174","Essa",5,90,1,2,37,0,135,336
35098,"Simcoe--Grey/Simcoe--Grey"," 175","Essa",1,75,2,2,21,0,101,311
35098,"Simcoe--Grey/Simcoe--Grey"," 176","Essa",2,105,4,1,44,0,156,397
35098,"Simcoe--Grey/Simcoe--Grey"," 177","Essa",4,78,2,0,27,0,111,319
35098,"Simcoe--Grey/Simcoe--Grey"," 178","Adjala-Tosorontio",4,107,0,2,30,0,143,356
35098,"Simcoe--Grey/Simcoe--Grey"," 179","Adjala-Tosorontio",7,196,3,4,103,0,313,380
35098,"Simcoe--Grey/Simcoe--Grey"," 180","Adjala-Tosorontio",Combined with No./Résultats combinés à ceux du n°179,,,,,,,372
35098,"Simcoe--Grey/Simcoe--Grey"," 181","Adjala-Tosorontio",9,248,0,1,75,3,336,510
35098,"Simcoe--Grey/Simcoe--Grey"," 182","Adjala-Tosorontio",5,237,8,2,95,1,348,429
35098,"Simcoe--Grey/Simcoe--Grey"," 183","Adjala-Tosorontio",10,225,9,5,85,4,338,452
35098,"Simcoe--Grey/Simcoe--Grey"," 184","Adjala-Tosorontio",Combined with No./Résultats combinés à ceux du n°182,,,,,,,389
35098,"Simcoe--Grey/Simcoe--Grey"," 185","Adjala-Tosorontio",Combined with No./Résultats combinés à ceux du n°181,,,,,,,301
35098,"Simcoe--Grey/Simcoe--Grey"," 186","Adjala-Tosorontio",Combined with No./Résultats combinés à ceux du n°183,,,,,,,437
35098,"Simcoe--Grey/Simcoe--Grey"," 187","Adjala-Tosorontio",11,212,5,4,95,4,331,356
35098,"Simcoe--Grey/Simcoe--Grey"," 188","Adjala-Tosorontio",Combined with No./Résultats combinés à ceux du n°187,,,,,,,349
35098,"Simcoe--Grey/Simcoe--Grey"," 189","Adjala-Tosorontio",Combined with No./Résultats combinés à ceux du n°191,,,,,,,338
35098,"Simcoe--Grey/Simcoe--Grey"," 190","Adjala-Tosorontio",Combined with No./Résultats combinés à ceux du n°193,,,,,,,347
35098,"Simcoe--Grey/Simcoe--Grey"," 191","Adjala-Tosorontio",15,266,4,8,107,3,403,474
35098,"Simcoe--Grey/Simcoe--Grey"," 192A","Adjala-Tosorontio",2,125,0,3,101,1,232,580
35098,"Simcoe--Grey/Simcoe--Grey"," 192B","Adjala-Tosorontio",1,136,4,6,97,1,245,556
35098,"Simcoe--Grey/Simcoe--Grey"," 193","Adjala-Tosorontio",4,248,4,3,125,2,386,470
35098,"Simcoe--Grey/Simcoe--Grey"," 194","Adjala-Tosorontio",2,130,3,0,51,0,186,411
35098,"Simcoe--Grey/Simcoe--Grey"," 195","Adjala-Tosorontio",Combined with No./Résultats combinés à ceux du n°198,,,,,,,236
35098,"Simcoe--Grey/Simcoe--Grey"," 196","Adjala-Tosorontio",7,107,3,2,72,1,192,356
35098,"Simcoe--Grey/Simcoe--Grey"," 197","Adjala-Tosorontio",0,138,2,2,58,4,204,390
35098,"Simcoe--Grey/Simcoe--Grey"," 198","Adjala-Tosorontio",5,182,7,4,86,3,287,289
35098,"Simcoe--Grey/Simcoe--Grey"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,63
35098,"Simcoe--Grey/Simcoe--Grey"," 501","Mobile poll/Bureau itinérant",1,23,1,1,40,0,66,60
35098,"Simcoe--Grey/Simcoe--Grey"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,57
35098,"Simcoe--Grey/Simcoe--Grey"," 503","Mobile poll/Bureau itinérant",10,25,3,4,41,3,86,172
35098,"Simcoe--Grey/Simcoe--Grey"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,95
35098,"Simcoe--Grey/Simcoe--Grey"," 505","Mobile poll/Bureau itinérant",1,29,0,2,80,0,112,57
35098,"Simcoe--Grey/Simcoe--Grey"," 506","Mobile poll/Bureau itinérant",6,30,1,1,68,0,106,25
35098,"Simcoe--Grey/Simcoe--Grey"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,68
35098,"Simcoe--Grey/Simcoe--Grey"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,71
35098,"Simcoe--Grey/Simcoe--Grey"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,27
35098,"Simcoe--Grey/Simcoe--Grey"," 510","Mobile poll/Bureau itinérant",4,14,2,1,24,3,48,24
35098,"Simcoe--Grey/Simcoe--Grey"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,38
35098,"Simcoe--Grey/Simcoe--Grey"," 512","Mobile poll/Bureau itinérant",4,21,1,1,23,1,51,43
35098,"Simcoe--Grey/Simcoe--Grey"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°45B,,,,,,,52
35098,"Simcoe--Grey/Simcoe--Grey"," 514","Mobile poll/Bureau itinérant",8,36,1,1,34,3,83,74
35098,"Simcoe--Grey/Simcoe--Grey"," 600","The Blue Mountains",26,565,15,5,1257,7,1875,
35098,"Simcoe--Grey/Simcoe--Grey"," 601","The Blue Mountains",0,134,5,0,188,2,329,
35098,"Simcoe--Grey/Simcoe--Grey"," 602","The Blue Mountains",11,462,13,4,810,2,1302,
35098,"Simcoe--Grey/Simcoe--Grey"," 603","Collingwood",18,510,9,3,1230,11,1781,
35098,"Simcoe--Grey/Simcoe--Grey"," 604","Collingwood",16,312,5,3,696,4,1036,
35098,"Simcoe--Grey/Simcoe--Grey"," 605","Collingwood",39,598,21,6,876,2,1542,
35098,"Simcoe--Grey/Simcoe--Grey"," 606","Collingwood",26,484,12,4,841,3,1370,
35098,"Simcoe--Grey/Simcoe--Grey"," 607","Collingwood",26,472,15,5,821,5,1344,
35098,"Simcoe--Grey/Simcoe--Grey"," 608","Wasaga Beach",26,634,21,14,683,5,1383,
35098,"Simcoe--Grey/Simcoe--Grey"," 609","Wasaga Beach",27,354,8,9,397,0,795,
35098,"Simcoe--Grey/Simcoe--Grey"," 610","Wasaga Beach",24,475,14,2,428,14,957,
35098,"Simcoe--Grey/Simcoe--Grey"," 611","Wasaga Beach",31,536,4,7,499,3,1080,
35098,"Simcoe--Grey/Simcoe--Grey"," 612","Wasaga Beach",25,605,9,6,533,4,1182,
35098,"Simcoe--Grey/Simcoe--Grey"," 613","Wasaga Beach",29,716,7,7,600,6,1365,
35098,"Simcoe--Grey/Simcoe--Grey"," 614","Clearview",52,1119,24,18,581,4,1798,
35098,"Simcoe--Grey/Simcoe--Grey"," 615","Clearview",11,336,6,4,367,1,725,
35098,"Simcoe--Grey/Simcoe--Grey"," 616","Clearview",10,502,9,6,398,7,932,
35098,"Simcoe--Grey/Simcoe--Grey"," 617","Clearview",18,636,14,7,278,5,958,
35098,"Simcoe--Grey/Simcoe--Grey"," 618","Essa",39,831,32,12,399,9,1322,
35098,"Simcoe--Grey/Simcoe--Grey"," 619","Essa",33,980,16,11,520,10,1570,
35098,"Simcoe--Grey/Simcoe--Grey"," 620","Essa",16,268,7,5,155,2,453,
35098,"Simcoe--Grey/Simcoe--Grey"," 621","Essa",10,431,12,5,334,4,796,
35098,"Simcoe--Grey/Simcoe--Grey"," 622","Essa",6,641,9,4,245,1,906,
35098,"Simcoe--Grey/Simcoe--Grey"," 623","Essa",23,492,12,5,259,5,796,
35098,"Simcoe--Grey/Simcoe--Grey"," 624","Adjala-Tosorontio",9,476,6,8,194,2,695,
35098,"Simcoe--Grey/Simcoe--Grey"," 625","Adjala-Tosorontio",13,528,12,5,242,7,807,
35098,"Simcoe--Grey/Simcoe--Grey"," 626","Adjala-Tosorontio",5,285,5,6,220,3,524,
35098,"Simcoe--Grey/Simcoe--Grey"," 627","Adjala-Tosorontio",11,291,3,4,177,0,486,
35098,"Simcoe--Grey/Simcoe--Grey",,Group 1/Groupe 1, 22,751,29,9,667,78,1556,271
35098,"Simcoe--Grey/Simcoe--Grey",,Group 2/Groupe 2, 50,1454,22,20,1589,48,3183,
