Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Luc Desilets,Michel Genois,Joseph Hakizimana,Linda Lapointe,Elia Lopez,David Santamaria Quiceno,Alec Ware,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 92","Saint-Eustache",83,0,2,46,31,1,3,1,167,356
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 93","Saint-Eustache",71,0,3,62,40,0,8,1,185,385
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 94","Saint-Eustache",77,1,3,47,55,0,2,3,188,372
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 95","Saint-Eustache",84,0,3,83,43,0,2,5,220,418
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 96","Saint-Eustache",86,0,9,58,48,0,0,4,205,417
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 97","Saint-Eustache",83,0,3,42,34,2,1,3,168,349
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 98","Saint-Eustache",45,0,5,47,20,0,0,3,120,356
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 99","Saint-Eustache",67,0,4,53,35,2,4,2,167,411
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 100","Saint-Eustache",43,0,0,41,28,3,2,3,120,341
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 101","Saint-Eustache",64,2,11,34,29,0,4,4,148,388
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 102","Saint-Eustache",43,0,2,49,40,1,3,0,138,337
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 103","Saint-Eustache",47,1,4,51,29,0,2,4,138,364
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 104","Saint-Eustache",72,2,3,69,40,4,0,0,190,344
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 105A","Saint-Eustache",57,0,3,86,31,2,1,0,180,361
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 105B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,,29
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 106","Saint-Eustache",85,1,13,80,35,1,3,8,226,400
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 107","Saint-Eustache",69,0,2,70,41,0,3,6,191,366
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 108","Saint-Eustache",58,1,3,153,44,0,3,5,267,461
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 109","Saint-Eustache",79,0,2,63,27,0,5,3,179,409
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 110","Saint-Eustache",61,0,3,72,45,2,0,2,185,397
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 111","Saint-Eustache",68,3,5,74,44,1,4,2,201,475
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 112","Saint-Eustache",71,0,5,92,36,1,2,0,207,436
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 113","Saint-Eustache",55,0,4,68,24,2,2,2,157,371
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 114","Saint-Eustache",49,0,8,77,33,2,6,1,176,400
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 115","Saint-Eustache",69,1,3,77,53,0,1,2,206,440
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 116","Saint-Eustache",72,0,4,105,53,1,4,5,244,516
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 117","Saint-Eustache",55,0,3,69,41,1,4,1,174,447
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 118","Saint-Eustache",62,0,4,59,43,2,0,5,175,383
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 119","Saint-Eustache",57,0,2,50,39,1,1,2,152,350
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 120","Saint-Eustache",77,0,6,53,23,1,2,3,165,405
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 121","Saint-Eustache",62,0,3,53,42,2,2,3,167,418
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 122","Saint-Eustache",54,1,1,43,51,1,2,1,154,406
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 123","Saint-Eustache",66,0,3,54,44,1,3,2,173,408
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 124","Saint-Eustache",45,1,6,49,29,3,3,3,139,359
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 125","Saint-Eustache",76,1,7,70,30,1,2,5,192,424
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 126","Saint-Eustache",55,0,1,50,27,0,2,1,136,361
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 127","Saint-Eustache",51,0,7,65,34,2,1,3,163,353
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 128","Saint-Eustache",45,0,0,52,16,4,2,2,121,424
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 129","Saint-Eustache",44,1,0,46,23,0,2,1,117,356
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 130","Saint-Eustache",60,2,5,60,32,1,2,1,163,369
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 131","Saint-Eustache",90,0,5,73,22,1,3,1,195,351
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 132","Saint-Eustache",77,0,0,86,35,1,2,3,204,385
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 133","Saint-Eustache",72,1,6,62,33,0,0,1,175,341
