Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dave Blackburn,Hugues Boily-Maltais,Lorie Bouchard,Alexis Brunelle-Duceppe,Denis Lemieux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 180","Métabetchouan--Lac-à-la-Croix",66,4,1,82,41,1,195,397
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 181","Roberval",20,3,0,61,37,1,122,346
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 182A","Roberval",39,3,0,55,51,3,151,451
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 182B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,20
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 183","Roberval",36,3,3,54,25,2,123,343
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 184","Roberval",20,2,0,38,22,0,82,321
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 185","Roberval",26,2,1,56,21,0,106,332
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 186","Roberval",51,5,3,70,26,0,155,475
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 187","Roberval",30,4,0,43,31,0,108,340
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 188","Roberval",25,3,0,53,20,3,104,306
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 189","Roberval",18,1,2,56,48,2,127,375
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 190","Saint-André-du-Lac-Saint-Jean",65,3,3,98,53,3,225,403
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 191","Sainte-Hedwidge",56,3,2,93,54,5,213,412
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 192","Sainte-Hedwidge",69,3,2,94,28,3,199,335
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 193","Saint-François-de-Sales",42,4,2,83,25,4,160,297
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 194","Saint-François-de-Sales",23,0,2,61,10,2,98,219
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 195","Lac-Bouchette",56,2,3,82,41,2,186,326
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 196","Lac-Bouchette",63,2,4,80,32,2,183,348
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 197","Lac-Bouchette",43,5,3,82,58,4,195,333
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 400","Alma",16,1,3,60,56,9,145,148
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,19
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,17
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 502","Mobile poll/Bureau itinérant",5,1,1,8,6,1,22,67
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 503","Mobile poll/Bureau itinérant",8,0,6,29,31,4,78,62
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 504","Mobile poll/Bureau itinérant",9,3,1,28,22,2,65,80
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 505","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 506","Mobile poll/Bureau itinérant",7,1,3,30,27,0,68,69
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,8
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,43
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 509","Mobile poll/Bureau itinérant",13,1,5,46,43,6,114,181
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,14
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,12
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 512","Mobile poll/Bureau itinérant",6,0,0,17,35,0,58,45
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,26
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,12
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,17
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,18
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,26
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 518","Mobile poll/Bureau itinérant",21,3,1,29,34,2,90,106
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,19
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 520","Mobile poll/Bureau itinérant",7,2,2,24,17,4,56,22
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,8
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 522","Mobile poll/Bureau itinérant",12,2,1,19,21,1,56,79
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 523","Mobile poll/Bureau itinérant",11,2,2,28,54,5,102,122
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 524","Roberval",Combined with No./Résultats combinés à ceux du n°184,,,,,,,3
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,12
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 526","Mobile poll/Bureau itinérant",5,0,1,13,13,0,32,26
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 527","Mobile poll/Bureau itinérant",9,1,0,16,11,1,38,10
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 528","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,,10
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 529","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 530","Mobile poll/Bureau itinérant",4,3,1,37,26,1,72,79
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 531","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°535,,,,,,,16
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 532","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°530,,,,,,,59
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 533","Alma",Combined with No./Résultats combinés à ceux du n°83A,,,,,,,5
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 534","Alma",Combined with No./Résultats combinés à ceux du n°98,,,,,,,5
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 535","Mobile poll/Bureau itinérant",10,0,3,41,50,4,108,153
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 536","Mobile poll/Bureau itinérant",8,1,3,47,32,12,103,72
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 537","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°536,,,,,,,42
