Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Donald Gagnon,Marie-Andrée Gravel,Beritan Oerde,Tiny Olinga,Terry Roberts,Sherry Romanado,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,61
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 504","Mobile poll/Bureau itinérant",1,6,71,1,22,190,7,298,375
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 505","Longueuil",Combined with No./Résultats combinés à ceux du n°131,,,,,,,,6
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,16
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 600","Longueuil",11,67,362,8,119,551,16,1134,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 601","Longueuil",4,40,270,9,129,610,12,1074,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 602","Longueuil",10,55,288,2,100,404,20,879,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 603","Longueuil",6,41,263,3,132,324,24,793,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 604","Longueuil",4,42,280,11,101,353,13,804,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 605","Longueuil",5,27,172,7,87,251,10,559,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 606","Longueuil",8,45,269,10,118,327,17,794,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 607","Longueuil",10,41,272,8,115,399,20,865,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 608","Longueuil",3,52,308,10,96,420,14,903,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 609","Longueuil",5,40,367,7,95,466,19,999,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 610","Longueuil",8,47,335,4,138,442,20,994,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 611","Longueuil",8,42,242,11,130,378,16,827,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 612","Longueuil",9,33,204,4,91,401,7,749,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 613","Longueuil",4,34,179,1,89,611,2,920,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 614","Longueuil",3,26,142,3,131,723,9,1037,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 615","Longueuil",6,47,356,7,152,608,26,1202,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 616","Longueuil",2,40,175,6,121,578,8,930,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 617","Longueuil",3,60,298,3,202,731,23,1320,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 618","Longueuil",5,50,354,10,196,704,13,1332,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 619","Longueuil",6,30,307,2,157,672,16,1190,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne",,Group 1/Groupe 1, 7,50,100,4,85,384,48,678,187
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne",,Group 2/Groupe 2, 9,47,234,4,126,650,73,1143,
