Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jaxson Boot,Isaiah Hunter,Melissa McGillivray,Greg Poelzer,Corey Tochor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47010,"Saskatoon--University/Saskatoon--University"," 136","Saskatoon",0,1,26,108,54,0,189,440
47010,"Saskatoon--University/Saskatoon--University"," 137","Saskatoon",2,0,13,98,53,0,166,483
47010,"Saskatoon--University/Saskatoon--University"," 138","Saskatoon",4,4,34,99,45,4,190,502
47010,"Saskatoon--University/Saskatoon--University"," 139","Saskatoon",0,0,29,63,31,1,124,396
47010,"Saskatoon--University/Saskatoon--University"," 140","Saskatoon",2,4,22,86,85,0,199,439
47010,"Saskatoon--University/Saskatoon--University"," 141","Saskatoon",1,0,10,57,51,0,119,379
47010,"Saskatoon--University/Saskatoon--University"," 142","Saskatoon",1,4,17,90,71,1,184,430
47010,"Saskatoon--University/Saskatoon--University"," 143","Saskatoon",0,5,17,69,33,1,125,390
47010,"Saskatoon--University/Saskatoon--University"," 144","Saskatoon",0,0,12,56,39,0,107,416
47010,"Saskatoon--University/Saskatoon--University"," 145","Saskatoon",1,2,22,108,64,0,197,478
47010,"Saskatoon--University/Saskatoon--University"," 146","Saskatoon",2,1,20,76,67,4,170,366
47010,"Saskatoon--University/Saskatoon--University"," 147","Saskatoon",2,2,11,57,64,0,136,357
47010,"Saskatoon--University/Saskatoon--University"," 148","Saskatoon",1,1,15,75,80,0,172,381
47010,"Saskatoon--University/Saskatoon--University"," 149","Saskatoon",5,1,19,57,51,2,135,372
47010,"Saskatoon--University/Saskatoon--University"," 400","Saskatoon",Combined with No./Résultats combinés à ceux du n°401,,,,,,,7
47010,"Saskatoon--University/Saskatoon--University"," 401","Saskatoon",3,4,13,88,121,2,231,80
47010,"Saskatoon--University/Saskatoon--University"," 402","Saskatoon",Combined with No./Résultats combinés à ceux du n°401,,,,,,,187
47010,"Saskatoon--University/Saskatoon--University"," 403","Saskatoon",Combined with No./Résultats combinés à ceux du n°401,,,,,,,55
47010,"Saskatoon--University/Saskatoon--University"," 404","Saskatoon",0,0,16,43,62,1,122,150
47010,"Saskatoon--University/Saskatoon--University"," 405","Saskatoon",0,0,17,66,58,1,142,182
47010,"Saskatoon--University/Saskatoon--University"," 406","Saskatoon",3,4,23,35,41,1,107,213
47010,"Saskatoon--University/Saskatoon--University"," 500","Mobile poll/Bureau itinérant",0,2,11,59,62,3,137,102
47010,"Saskatoon--University/Saskatoon--University"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,72
47010,"Saskatoon--University/Saskatoon--University"," 502","Mobile poll/Bureau itinérant",1,1,9,17,16,2,46,74
47010,"Saskatoon--University/Saskatoon--University"," 600","Saskatoon",4,2,104,537,825,4,1476,
47010,"Saskatoon--University/Saskatoon--University"," 601","Saskatoon",7,9,99,585,950,8,1658,
47010,"Saskatoon--University/Saskatoon--University"," 602","Saskatoon",17,4,121,814,967,7,1930,
47010,"Saskatoon--University/Saskatoon--University"," 603","Saskatoon",8,5,99,549,690,5,1356,
47010,"Saskatoon--University/Saskatoon--University"," 604","Saskatoon",5,4,166,608,630,2,1415,
47010,"Saskatoon--University/Saskatoon--University"," 605","Saskatoon",13,7,186,620,798,9,1633,
47010,"Saskatoon--University/Saskatoon--University"," 606","Saskatoon",13,5,93,736,1052,6,1905,
47010,"Saskatoon--University/Saskatoon--University"," 607","Saskatoon",6,3,102,774,1188,25,2098,
47010,"Saskatoon--University/Saskatoon--University"," 608","Saskatoon",11,2,83,721,1102,10,1929,
47010,"Saskatoon--University/Saskatoon--University"," 609","Saskatoon",13,43,61,632,877,13,1639,
47010,"Saskatoon--University/Saskatoon--University"," 610","Saskatoon",10,7,124,567,486,5,1199,
47010,"Saskatoon--University/Saskatoon--University"," 611","Saskatoon",4,5,114,715,348,6,1192,
47010,"Saskatoon--University/Saskatoon--University"," 612","Saskatoon",5,6,163,584,495,1,1254,
47010,"Saskatoon--University/Saskatoon--University",,Group 1/Groupe 1, 4,5,64,328,237,35,673,286
47010,"Saskatoon--University/Saskatoon--University",,Group 2/Groupe 2, 29,15,337,1609,1245,81,3316,
