Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Scot Davidson,Mike Hanrahan,Callum McKinnon,Paul Montague,Nancy Morrison,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°401,,,,,,,72
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°138B,,,,,,,16
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,36
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°400,,,,,,,16
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 512","Mobile poll/Bureau itinérant",18,23,3,3,6,4,57,62
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 513","Mobile poll/Bureau itinérant",27,25,5,2,7,2,68,17
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,9
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 600","East Gwillimbury",595,419,13,9,15,2,1053,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 601","East Gwillimbury",734,590,15,10,28,4,1381,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 602","East Gwillimbury",600,346,4,5,6,8,969,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 603","East Gwillimbury",622,477,8,8,21,3,1139,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 604","New Tecumseth",695,418,9,6,20,7,1155,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 605","New Tecumseth",294,721,5,3,6,4,1033,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 606","Bradford West Gwillimbury",662,472,9,9,22,1,1175,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 607","East Gwillimbury",693,586,14,6,13,6,1318,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 608","New Tecumseth",605,458,9,4,14,6,1096,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 609","Bradford West Gwillimbury",1019,594,12,5,34,33,1697,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 610","Bradford West Gwillimbury",809,369,6,4,10,2,1200,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 611","New Tecumseth",792,551,9,11,43,0,1406,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 612","Bradford West Gwillimbury",683,467,15,7,29,9,1210,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 613","East Gwillimbury",598,435,6,3,15,1,1058,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 614","Bradford West Gwillimbury",599,311,9,6,16,4,945,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 615","Bradford West Gwillimbury",776,390,13,3,21,8,1211,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 616","Bradford West Gwillimbury",643,365,10,5,18,5,1046,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 617","New Tecumseth",553,381,11,13,13,1,972,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 618","Bradford West Gwillimbury",601,296,6,2,11,2,918,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 619","New Tecumseth",432,250,8,3,9,1,703,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 620","New Tecumseth",988,591,21,9,25,5,1639,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 621","East Gwillimbury",763,450,10,6,8,4,1241,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 622","New Tecumseth",957,655,12,7,18,15,1664,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 623","New Tecumseth",454,285,7,10,8,0,764,
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury",,Group 1/Groupe 1, 246,262,4,3,17,40,572,230
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury",,Group 2/Groupe 2, 1475,1244,17,11,28,66,2841,
