Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Raymond Côté,Dalila Elhak,Hugo Langlois,Steeve Lavoie,Andrée Massicotte,Claude Moreau,Julie Vignola,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24008,"Beauport--Limoilou/Beauport--Limoilou"," 527","Québec",Combined with No./Résultats combinés à ceux du n°189,,,,,,,,,32
24008,"Beauport--Limoilou/Beauport--Limoilou"," 528","Québec",Combined with No./Résultats combinés à ceux du n°189,,,,,,,,,28
24008,"Beauport--Limoilou/Beauport--Limoilou"," 529","Québec",Combined with No./Résultats combinés à ceux du n°166,,,,,,,,,6
24008,"Beauport--Limoilou/Beauport--Limoilou"," 530","Mobile poll/Bureau itinérant",2,3,18,46,0,0,36,8,113,152
24008,"Beauport--Limoilou/Beauport--Limoilou"," 531","Québec",Combined with No./Résultats combinés à ceux du n°197,,,,,,,,,8
24008,"Beauport--Limoilou/Beauport--Limoilou"," 532","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,,76
24008,"Beauport--Limoilou/Beauport--Limoilou"," 533","Québec",Combined with No./Résultats combinés à ceux du n°203,,,,,,,,,69
24008,"Beauport--Limoilou/Beauport--Limoilou"," 534","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,,29
24008,"Beauport--Limoilou/Beauport--Limoilou"," 535","Québec",Combined with No./Résultats combinés à ceux du n°203,,,,,,,,,9
24008,"Beauport--Limoilou/Beauport--Limoilou"," 600","Québec",26,12,686,611,6,2,432,16,1791,
24008,"Beauport--Limoilou/Beauport--Limoilou"," 601","Québec",23,12,467,459,8,2,382,17,1370,
24008,"Beauport--Limoilou/Beauport--Limoilou"," 602","Québec",28,14,391,565,5,2,346,16,1367,
24008,"Beauport--Limoilou/Beauport--Limoilou"," 603","Québec",24,3,594,614,8,1,392,13,1649,
24008,"Beauport--Limoilou/Beauport--Limoilou"," 604","Québec",28,11,777,633,14,1,507,18,1989,
24008,"Beauport--Limoilou/Beauport--Limoilou"," 605","Québec",15,7,610,630,6,0,380,20,1668,
24008,"Beauport--Limoilou/Beauport--Limoilou"," 606","Québec",12,7,433,532,10,3,285,7,1289,
24008,"Beauport--Limoilou/Beauport--Limoilou"," 607","Québec",29,16,579,899,7,0,507,22,2059,
24008,"Beauport--Limoilou/Beauport--Limoilou"," 608","Québec",28,15,432,471,8,1,364,21,1340,
24008,"Beauport--Limoilou/Beauport--Limoilou"," 609","Québec",27,11,279,314,1,0,268,7,907,
24008,"Beauport--Limoilou/Beauport--Limoilou"," 610","Québec",20,13,310,315,4,0,283,15,960,
24008,"Beauport--Limoilou/Beauport--Limoilou"," 611","Québec",40,16,212,363,6,1,318,10,966,
24008,"Beauport--Limoilou/Beauport--Limoilou"," 612","Québec",35,15,220,430,6,4,359,9,1078,
24008,"Beauport--Limoilou/Beauport--Limoilou"," 613","Québec",73,35,162,493,2,2,364,14,1145,
24008,"Beauport--Limoilou/Beauport--Limoilou"," 614","Québec",57,30,191,499,4,2,446,4,1233,
24008,"Beauport--Limoilou/Beauport--Limoilou"," 615","Québec",67,15,250,476,4,4,374,18,1208,
24008,"Beauport--Limoilou/Beauport--Limoilou"," 616","Québec",38,15,244,354,4,2,300,18,975,
24008,"Beauport--Limoilou/Beauport--Limoilou"," 617","Québec",48,12,316,473,7,7,349,18,1230,
24008,"Beauport--Limoilou/Beauport--Limoilou",,Group 1/Groupe 1, 34,18,128,257,3,3,165,34,642,144
24008,"Beauport--Limoilou/Beauport--Limoilou",,Group 2/Groupe 2, 31,12,334,597,4,1,341,34,1354,
