Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Parm Bains,Steven Ji,Keefer Pelech,Zach Segal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 155","Richmond",80,2,4,94,0,180,469
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 156","Richmond",91,3,7,120,0,221,566
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 157","Richmond",130,2,5,85,1,223,431
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 158","Richmond",43,0,7,61,0,111,388
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 159","Richmond",59,2,5,61,0,127,287
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 160","Richmond",114,0,8,97,1,220,453
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 161","Richmond",83,0,7,103,1,194,469
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 162","Richmond",109,2,3,70,0,184,423
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 163","Richmond",35,1,4,32,1,73,313
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 164","Richmond",111,0,4,126,0,241,635
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 165","Richmond",83,2,8,55,1,149,386
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 166","Richmond",102,3,7,42,7,161,463
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 167","Richmond",48,2,5,88,2,145,537
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 168","Richmond",129,1,8,87,0,225,680
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 169","Richmond",65,1,5,66,2,139,333
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 170","Richmond",82,2,9,67,0,160,397
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 171","Richmond",82,1,11,87,0,181,420
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 172","Richmond",67,4,6,84,2,163,390
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 173","Richmond",61,4,11,51,0,127,316
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 174","Richmond",35,1,2,79,1,118,389
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 175","Richmond",49,1,11,50,0,111,341
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 176","Richmond",55,2,3,53,2,115,398
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 177","Richmond",44,3,5,39,0,91,378
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 178","Richmond",83,2,11,101,4,201,458
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 179","Richmond",88,2,14,60,0,164,313
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 180","Richmond",102,1,7,81,4,195,310
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 181","Richmond",99,2,14,80,0,195,391
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 182","Richmond",93,2,9,99,0,203,478
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 183","Richmond",75,2,5,84,1,167,463
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 184","Richmond",39,1,10,61,2,113,460
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 185","Richmond",52,1,3,48,1,105,428
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 186","Richmond",50,0,2,35,0,87,448
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 187","Richmond",53,1,12,42,0,108,443
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 188","Richmond",66,2,9,67,0,144,492
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 189","Richmond",76,3,8,43,0,130,577
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 190","Richmond",41,1,5,52,2,101,471
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 191","Richmond",49,1,6,37,0,93,354
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 192","Richmond",48,0,8,65,0,121,440
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,20
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,33
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 502","Mobile poll/Bureau itinérant",60,2,8,21,2,93,101
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 503","Mobile poll/Bureau itinérant",93,3,4,39,1,140,144
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,39
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,40
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 506","Mobile poll/Bureau itinérant",34,9,8,43,1,95,48
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 600","Richmond",Combined with No./Résultats combinés à ceux du n°604,,,,,,
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 601","Richmond",1092,16,54,564,1,1727,
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 602","Richmond",693,13,35,554,0,1295,
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 603","Richmond",1235,20,42,618,1,1916,
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 604","Richmond",845,21,38,749,7,1660,
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 605","Richmond",542,7,30,551,5,1135,
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 606","Richmond",469,7,30,556,5,1067,
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 607","Richmond",643,10,36,587,3,1279,
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 608","Richmond",558,6,37,483,0,1084,
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 609","Richmond",398,4,33,390,1,826,
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 610","Richmond",378,3,30,432,2,845,
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 611","Richmond",588,13,46,667,1,1315,
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 612","Richmond",505,6,57,520,5,1093,
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 613","Richmond",274,3,20,290,2,589,
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 614","Richmond",802,12,92,698,8,1612,
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 615","Richmond",811,15,89,730,4,1649,
59028,"Richmond East--Steveston/Richmond-Est--Steveston",,Group 1/Groupe 1, 1143,17,78,1104,62,2404,512
59028,"Richmond East--Steveston/Richmond-Est--Steveston",,Group 2/Groupe 2, 939,14,64,555,59,1631,
