Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Luc Berthold,Gabriel D'Astous,Yves Gilbert,Réjean Hurteau,Charles Mckaig,Marek Spacek,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 608","Saint-Ferdinand",323,5,2,131,160,3,3,627,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 609","Saint-Jean-de-Brébeuf",191,10,0,78,94,7,4,384,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 610","East Broughton",438,5,0,92,143,15,10,703,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 611","Adstock--Sainte-Clotilde-de-Beauce",318,4,0,47,88,3,5,465,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 612","Thetford Mines",416,10,0,93,175,5,6,705,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 613","Thetford Mines",704,11,0,202,344,14,11,1286,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 614","Thetford Mines",589,16,2,188,269,7,13,1084,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 615","Thetford Mines",554,13,5,154,256,7,15,1004,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 616","Thetford Mines",425,9,0,126,216,7,11,794,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 617","Disraeli",352,16,1,154,175,12,21,731,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 618","Disraeli",271,11,1,129,204,3,5,624,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 619","Lambton",384,10,2,148,204,9,11,768,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 620","Saint-Ludger",207,5,0,57,51,6,5,331,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 621","Lac-Mégantic",294,7,2,132,216,5,11,667,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 622","Lac-Mégantic",528,23,6,227,359,12,21,1176,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 623","Frontenac--Notre-Dame-des-Bois",170,3,5,78,120,3,1,380,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière",,Group 1/Groupe 1, 91,23,0,57,139,2,22,334,91
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière",,Group 2/Groupe 2, 650,23,4,233,451,8,21,1390,
