Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Chris Bittle,Taha Alexander Haj-Ahmad,Karen Orlandi,Christopher Reilly,Bas Sluijmers,Dennis Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35101,"St. Catharines/St. Catharines"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,60
35101,"St. Catharines/St. Catharines"," 510","Mobile poll/Bureau itinérant",54,0,2,2,16,1,1,76,97
35101,"St. Catharines/St. Catharines"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,103
35101,"St. Catharines/St. Catharines"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,55
35101,"St. Catharines/St. Catharines"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,44
35101,"St. Catharines/St. Catharines"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,61
35101,"St. Catharines/St. Catharines"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,60
35101,"St. Catharines/St. Catharines"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,43
35101,"St. Catharines/St. Catharines"," 517","Mobile poll/Bureau itinérant",31,4,8,2,12,3,1,61,75
35101,"St. Catharines/St. Catharines"," 518","Mobile poll/Bureau itinérant",84,2,3,1,101,1,2,194,211
35101,"St. Catharines/St. Catharines"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,,47
35101,"St. Catharines/St. Catharines"," 600","St. Catharines",888,2,59,1,594,6,4,1554,
35101,"St. Catharines/St. Catharines"," 601","St. Catharines",1031,1,49,5,657,10,3,1756,
35101,"St. Catharines/St. Catharines"," 602","St. Catharines",761,3,56,2,418,6,3,1249,
35101,"St. Catharines/St. Catharines"," 603","St. Catharines",1040,0,61,6,603,9,4,1723,
35101,"St. Catharines/St. Catharines"," 604","St. Catharines",1003,1,24,2,565,0,2,1597,
35101,"St. Catharines/St. Catharines"," 605","St. Catharines",660,6,44,1,472,3,3,1189,
35101,"St. Catharines/St. Catharines"," 606","St. Catharines",886,3,116,6,483,6,6,1506,
35101,"St. Catharines/St. Catharines"," 607","St. Catharines",913,1,151,7,562,14,13,1661,
35101,"St. Catharines/St. Catharines"," 608","St. Catharines",667,1,87,6,540,6,5,1312,
35101,"St. Catharines/St. Catharines"," 609","St. Catharines",702,1,48,6,455,4,3,1219,
35101,"St. Catharines/St. Catharines"," 610","St. Catharines",582,3,38,2,412,5,2,1044,
35101,"St. Catharines/St. Catharines"," 611","St. Catharines",726,4,61,6,554,5,7,1363,
35101,"St. Catharines/St. Catharines"," 612","St. Catharines",720,4,67,2,567,13,5,1378,
35101,"St. Catharines/St. Catharines"," 613","St. Catharines",547,2,65,8,395,9,1,1027,
35101,"St. Catharines/St. Catharines"," 614","St. Catharines",670,2,89,6,409,9,10,1195,
35101,"St. Catharines/St. Catharines"," 615","St. Catharines",1241,3,72,7,551,8,9,1891,
35101,"St. Catharines/St. Catharines"," 616","St. Catharines",730,4,82,6,582,2,3,1409,
35101,"St. Catharines/St. Catharines"," 617","St. Catharines",948,1,99,9,556,10,3,1626,
35101,"St. Catharines/St. Catharines",,Group 1/Groupe 1, 420,1,47,4,170,9,46,697,363
35101,"St. Catharines/St. Catharines",,Group 2/Groupe 2, 2639,1,239,9,1846,12,98,4844,
