Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Laurie Baird,Reggie Goldsbury,Kallee Lins,Steven Maffioli,Rob Morrison,James Wiedrick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 122","Cranbrook",2,32,7,2,106,0,0,149,437
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 123","Montrose",1,68,31,2,115,0,0,217,402
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 124","Montrose",0,58,33,1,77,1,0,170,301
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 125","Montrose",2,82,33,2,105,0,0,224,361
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 126","Wycliffe",1,10,10,2,71,0,0,94,324
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 127","Cranbrook",2,28,9,3,88,0,0,130,447
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 128A","Cranbrook",0,14,6,0,42,0,1,63,284
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 128B","Cranbrook",1,19,10,1,59,2,0,92,267
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 129A","Cranbrook",0,10,8,2,60,2,1,83,305
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 129B","Cranbrook",0,17,10,0,63,2,0,92,287
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 130A","Cranbrook",1,13,11,1,33,0,0,59,331
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 130B","Cranbrook",3,32,8,1,34,1,0,79,343
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 131","Cranbrook",1,19,5,2,87,3,0,117,358
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 132","Cranbrook",1,20,20,1,53,0,0,95,424
