Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dan Albas,Harpreet Badohal,Louise Lecouffe,Debbie Robinson,Juliette Sicotte,Gary Suddard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 48A","Tsinstikeptum  9",56,7,1,1,32,0,0,97,421
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 48B","Tsinstikeptum  9",60,10,1,0,36,0,0,107,448
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 49","West Kelowna",93,8,1,2,87,0,1,192,498
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 50","West Kelowna",75,2,2,0,45,0,0,124,367
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 51","West Kelowna",77,3,0,3,45,0,0,128,399
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 52","West Kelowna",129,5,1,0,51,0,1,187,311
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 53","West Kelowna",62,5,0,1,47,0,0,115,369
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 54","West Kelowna",109,5,1,2,54,0,0,171,439
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 55","West Kelowna",126,6,1,1,56,0,1,191,475
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 56","West Kelowna",124,10,2,3,46,0,0,185,387
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 57","West Kelowna",118,7,0,1,54,0,0,180,425
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 58","West Kelowna",118,7,3,0,64,0,0,192,406
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 59","West Kelowna",100,10,5,2,83,2,0,202,452
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 60","West Kelowna",90,7,2,0,59,0,0,158,464
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 61","West Kelowna",98,2,0,0,35,0,0,135,355
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 62","West Kelowna",87,7,2,2,58,1,0,157,462
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 63","Tsinstikeptum 9",66,10,2,2,68,0,0,148,666
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 64","Kelowna",43,5,3,0,52,0,0,103,319
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 65","Kelowna",90,23,5,0,98,0,1,217,528
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 66","Kelowna",63,8,0,0,75,0,0,146,316
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 67","Kelowna",45,0,2,1,88,0,0,136,463
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 68","Kelowna",76,11,4,3,115,0,0,209,516
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 69","Kelowna",57,11,1,1,72,0,1,143,343
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 70","Kelowna",54,5,4,1,64,0,0,128,350
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 71","Kelowna",47,15,2,1,62,0,0,127,355
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 72","Kelowna",45,5,2,0,51,0,1,104,426
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 73","Kelowna",62,2,0,0,76,0,1,141,442
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 74","Kelowna",74,5,3,0,60,0,0,142,463
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 75","Kelowna",67,4,0,3,57,0,0,131,398
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 76","West Kelowna",96,13,3,0,46,1,1,160,394
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 77","West Kelowna",118,10,0,0,68,0,0,196,589
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 78","West Kelowna",115,4,2,0,52,0,0,173,556
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 79","Tsinstikeptum 9",Combined with No./Résultats combinés à ceux du n°85,,,,,,,,208
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 80","West Kelowna",87,3,2,1,66,1,0,160,535
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 81","West Kelowna",115,6,2,3,55,0,0,181,503
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 82","West Kelowna",67,0,0,0,58,0,0,125,370
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 83","Tsinstikeptum 9",53,8,4,1,45,0,1,112,502
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 84","Kelowna",53,7,1,2,61,0,0,124,377
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 85","Tsinstikeptum 9",72,14,7,2,91,0,1,187,271
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 86","Tsinstikeptum 9",61,1,0,1,49,0,0,112,482
