Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Sandra Cobena,Anna Gollen,Jennifer McLachlan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35068,"Newmarket--Aurora/Newmarket--Aurora"," 50","Newmarket",113,3,76,1,193,577
35068,"Newmarket--Aurora/Newmarket--Aurora"," 51","Newmarket",89,2,70,2,163,336
35068,"Newmarket--Aurora/Newmarket--Aurora"," 52","Newmarket",140,3,109,0,252,603
35068,"Newmarket--Aurora/Newmarket--Aurora"," 53","Newmarket",105,7,79,0,191,416
35068,"Newmarket--Aurora/Newmarket--Aurora"," 54A","Newmarket",74,2,51,1,128,334
35068,"Newmarket--Aurora/Newmarket--Aurora"," 54B","Newmarket",82,5,66,1,154,355
35068,"Newmarket--Aurora/Newmarket--Aurora"," 55","Newmarket",67,2,50,2,121,346
35068,"Newmarket--Aurora/Newmarket--Aurora"," 56","Newmarket",134,5,74,10,223,596
35068,"Newmarket--Aurora/Newmarket--Aurora"," 57","Newmarket",100,8,94,0,202,499
35068,"Newmarket--Aurora/Newmarket--Aurora"," 58","Newmarket",117,4,100,0,221,463
35068,"Newmarket--Aurora/Newmarket--Aurora"," 59","Newmarket",71,5,79,0,155,450
35068,"Newmarket--Aurora/Newmarket--Aurora"," 60","Newmarket",88,4,109,0,201,472
35068,"Newmarket--Aurora/Newmarket--Aurora"," 61","Newmarket",108,15,71,1,195,460
35068,"Newmarket--Aurora/Newmarket--Aurora"," 62","Newmarket",97,8,84,0,189,526
35068,"Newmarket--Aurora/Newmarket--Aurora"," 63","Newmarket",47,3,74,0,124,472
35068,"Newmarket--Aurora/Newmarket--Aurora"," 64","Newmarket",79,8,120,1,208,610
35068,"Newmarket--Aurora/Newmarket--Aurora"," 65","Newmarket",75,3,94,0,172,474
35068,"Newmarket--Aurora/Newmarket--Aurora"," 66","Newmarket",85,2,73,1,161,530
35068,"Newmarket--Aurora/Newmarket--Aurora"," 67","Newmarket",116,8,101,2,227,545
35068,"Newmarket--Aurora/Newmarket--Aurora"," 68","Newmarket",125,6,93,4,228,471
35068,"Newmarket--Aurora/Newmarket--Aurora"," 69","Newmarket",73,8,105,1,187,473
35068,"Newmarket--Aurora/Newmarket--Aurora"," 70","Newmarket",156,9,152,2,319,560
35068,"Newmarket--Aurora/Newmarket--Aurora"," 71","Newmarket",90,2,88,2,182,456
35068,"Newmarket--Aurora/Newmarket--Aurora"," 72","Newmarket",69,8,101,0,178,511
35068,"Newmarket--Aurora/Newmarket--Aurora"," 73A","Newmarket",64,5,63,0,132,360
35068,"Newmarket--Aurora/Newmarket--Aurora"," 73B","Newmarket",68,6,62,3,139,359
35068,"Newmarket--Aurora/Newmarket--Aurora"," 74A","Newmarket",114,16,102,3,235,507
35068,"Newmarket--Aurora/Newmarket--Aurora"," 74B","Newmarket",30,6,34,6,76,183
35068,"Newmarket--Aurora/Newmarket--Aurora"," 75","Newmarket",82,10,120,2,214,569
35068,"Newmarket--Aurora/Newmarket--Aurora"," 76","Newmarket",133,4,116,0,253,525
35068,"Newmarket--Aurora/Newmarket--Aurora"," 77","Newmarket",105,2,98,1,206,534
35068,"Newmarket--Aurora/Newmarket--Aurora"," 78","Newmarket",94,1,102,2,199,416
35068,"Newmarket--Aurora/Newmarket--Aurora"," 79","Newmarket",101,4,89,2,196,506
35068,"Newmarket--Aurora/Newmarket--Aurora"," 80","Newmarket",49,2,39,0,90,367
35068,"Newmarket--Aurora/Newmarket--Aurora"," 81","Newmarket",88,0,59,0,147,460
35068,"Newmarket--Aurora/Newmarket--Aurora"," 82","Newmarket",91,2,29,0,122,529
35068,"Newmarket--Aurora/Newmarket--Aurora"," 83","Newmarket",84,1,59,1,145,509
35068,"Newmarket--Aurora/Newmarket--Aurora"," 84","Newmarket",170,4,78,3,255,543
35068,"Newmarket--Aurora/Newmarket--Aurora"," 85","Newmarket",113,3,59,0,175,452
