Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Claude Bertrand,Sophie Chatel,Todd Hoffman,Brian Nolan,Suzanne Proulx,Gilbert W. Whiteduck,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 97","Cantley",6,88,2,54,31,6,3,190,460
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 98","Cantley",4,74,1,65,19,6,1,170,372
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 99","Cantley",1,81,2,35,18,12,2,151,377
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 100","Cantley",0,80,0,45,25,4,0,154,399
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 101","Cantley",2,82,3,37,21,9,0,154,381
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 102","Cantley",6,86,4,56,32,10,5,199,517
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 103","Cantley",6,90,2,75,25,6,0,204,527
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 104","Cantley",1,66,2,33,22,2,1,127,260
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 105","Cantley",0,42,3,33,24,1,0,103,254
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 106","Cantley",1,79,3,44,37,6,0,170,418
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 107","Cantley",2,122,2,41,42,9,0,218,419
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 108","Cantley",3,91,2,56,30,9,1,192,431
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 109","Cantley",6,71,1,51,39,10,2,180,421
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 110","Cantley",9,122,2,47,50,6,1,237,498
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 111","Cantley",4,94,0,42,26,4,2,172,427
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 112","Cantley",5,83,5,47,29,10,1,180,403
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 113","Cantley",4,109,3,46,36,12,0,210,447
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 114","Cantley",4,73,6,44,17,5,1,150,379
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 115","Cantley",2,77,1,57,23,10,3,173,452
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 116","Grand-Calumet",1,57,5,91,24,9,3,190,316
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 117","Grand-Calumet",1,47,1,59,3,4,1,116,239
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 118","Chelsea",6,125,0,60,21,17,3,232,444
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 119","Chelsea",3,100,1,37,11,19,1,172,386
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 120","Chelsea",0,70,1,28,4,13,0,116,323
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 121","Chelsea",1,133,1,44,14,15,2,210,509
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 122","Bryson",2,51,6,76,4,3,0,142,259
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 123","Bryson",3,32,1,97,3,2,1,139,274
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 124","Quyon",2,42,1,49,8,9,1,112,323
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 125","Quyon",1,42,1,84,3,4,1,136,358
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 126","Quyon",2,21,4,36,7,3,2,75,216
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 127","Quyon",5,31,2,57,3,14,2,114,347
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 128","Clarendon",1,34,8,84,2,5,0,134,334
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 129","Clarendon",1,39,2,85,3,5,0,135,425
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 130","Clarendon",1,39,5,79,2,4,1,131,415
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 131","Shawville",0,24,5,57,1,5,0,92,244
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 132","Clarendon",1,21,6,57,1,1,2,89,230
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 133","Clarendon",4,49,5,73,0,8,0,139,413
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 134","Clarendon Front",1,37,0,59,1,5,0,103,273
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 135","Chelsea",6,84,1,24,2,14,1,132,398
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 136","Chelsea",4,98,0,13,6,14,1,136,352
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 137","Chelsea",0,103,0,26,8,15,0,152,444
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 138","Chelsea",3,163,1,63,23,14,0,267,650
