Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Omar Abubakar,Albert Carson,Lindsey Machona,Billy Morin,Colleen Rice,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 15C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,9
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 16","Edmonton",4,0,24,45,0,0,73,273
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 17A","Edmonton",8,0,98,91,0,1,198,566
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 17B","Edmonton",15,1,72,85,0,1,174,383
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 18","Edmonton",9,7,73,66,0,3,158,437
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 19","Edmonton",12,1,44,106,7,1,171,454
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 20","Edmonton",12,4,51,53,2,0,122,319
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 21","Edmonton",12,3,65,121,2,3,206,621
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 22","Edmonton",14,0,56,41,0,5,116,351
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 23","Edmonton",9,1,39,43,0,0,92,364
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 24","Edmonton",12,0,65,61,3,0,141,372
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 25","Edmonton",10,3,66,96,2,0,177,469
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 26","Edmonton",12,3,73,104,3,1,196,483
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 27","Edmonton",15,3,77,81,3,2,181,506
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 28","Edmonton",21,2,79,73,2,0,177,447
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 29","Edmonton",23,2,93,90,1,0,209,503
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 30","Edmonton",10,3,47,80,3,1,144,426
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 31","Edmonton",19,4,48,91,2,0,164,445
