Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Justin Abando,Dean Allison,Ryan Anderson,Dave Bylsma,Jennifer Korstanje,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35072,"Niagara West/Niagara-Ouest"," 603","Grimsby",46,748,8,5,902,1,1710,
35072,"Niagara West/Niagara-Ouest"," 604","Lincoln",40,781,17,10,794,5,1647,
35072,"Niagara West/Niagara-Ouest"," 605","Lincoln",44,831,13,17,794,3,1702,
35072,"Niagara West/Niagara-Ouest"," 606","Lincoln",34,689,10,17,909,2,1661,
35072,"Niagara West/Niagara-Ouest"," 607","Lincoln",19,529,3,3,458,2,1014,
35072,"Niagara West/Niagara-Ouest"," 608","St. Catharines",14,162,0,1,242,0,419,
35072,"Niagara West/Niagara-Ouest"," 609","St. Catharines",71,514,12,6,579,2,1184,
35072,"Niagara West/Niagara-Ouest"," 610","St. Catharines",50,659,5,4,906,4,1628,
35072,"Niagara West/Niagara-Ouest"," 611","Pelham",19,540,10,20,552,6,1147,
35072,"Niagara West/Niagara-Ouest"," 612","West Lincoln",48,1178,12,20,887,4,2149,
35072,"Niagara West/Niagara-Ouest"," 613","West Lincoln",29,402,6,13,237,1,688,
35072,"Niagara West/Niagara-Ouest"," 614","West Lincoln",30,473,5,15,264,0,787,
35072,"Niagara West/Niagara-Ouest"," 615","St. Anns",21,500,8,18,209,2,758,
35072,"Niagara West/Niagara-Ouest"," 616","Pelham",36,933,6,10,1107,1,2093,
35072,"Niagara West/Niagara-Ouest"," 617","Pelham",61,1122,14,6,1690,31,2924,
35072,"Niagara West/Niagara-Ouest"," 618","Wainfleet",35,625,15,9,422,2,1108,
35072,"Niagara West/Niagara-Ouest",,Group 1/Groupe 1, 20,284,11,2,410,64,791,288
35072,"Niagara West/Niagara-Ouest",,Group 2/Groupe 2, 43,970,12,23,1134,55,2237,
