Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Taylor Bachrach,Inderpal Dhillon,Ellis Ross,Rod Taylor,Adeana Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 170","Fraser Lake",49,23,95,4,3,2,176,306
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 170-1","Stellaquo (Stella) 1",Combined with No./Résultats combinés à ceux du n°170,,,,,,,80
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 171","Glenannan",8,7,43,0,1,0,59,178
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 172","Grassy Plains",58,31,204,4,2,3,302,328
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 172-1","Omineca 1",Combined with No./Résultats combinés à ceux du n°172,,,,,,,9
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 173","Kitasoo 1",45,16,9,0,2,2,74,189
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 174","Fort Fraser",48,15,94,4,4,0,165,225
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 175","Fort Fraser",39,18,144,1,2,2,206,462
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 175-1","Nautley (Fort Fraser) 1",Combined with No./Résultats combinés à ceux du n°174,,,,,,,110
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 176","Ocean Falls",4,2,17,1,0,0,24,44
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 177","Bella Bella 1",77,11,5,0,2,0,95,488
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 178","Bella Bella 1",74,9,7,0,0,0,90,378
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 179","Bella Coola 1",149,15,18,5,3,0,190,753
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 179-1","Kimsquit",Combined with No./Résultats combinés à ceux du n°179,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 180","Bella Coola",16,6,12,0,2,0,36,96
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 181","South Bentinck",24,11,30,0,2,0,67,207
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 182","Shearwater",20,16,14,0,5,0,55,79
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 183","Hagensborg",123,28,130,6,10,0,297,295
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 184","Firvale",Combined with No./Résultats combinés à ceux du n°183,,,,,,,273
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,2
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 501","Mobile poll/Bureau itinérant",Electors voted by special ballot in SVR Group 2/Les électeurs ont voté par bulletin spécial dans le groupe 2 RÉS,,,,,,,3
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 502","Prince Rupert",Combined with No./Résultats combinés à ceux du n°41,,,,,,,2
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 503","Mobile poll/Bureau itinérant",16,6,6,2,0,6,36,49
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,12
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 505","Mobile poll/Bureau itinérant",Electors voted by special ballot in SVR Group 2/Les électeurs ont voté par bulletin spécial dans le groupe 2 RÉS,,,,,,,1
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,4
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 507","New Hazelton",Combined with No./Résultats combinés à ceux du n°59,,,,,,,25
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 508","Daajing Giids",Combined with No./Résultats combinés à ceux du n°57,,,,,,,5
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 509","Daajing Giids",Combined with No./Résultats combinés à ceux du n°57,,,,,,,3
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,47
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,19
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 512","Mobile poll/Bureau itinérant",26,11,17,5,2,0,61,42
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 513","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 514","Smithers",Combined with No./Résultats combinés à ceux du n°106,,,,,,,21
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 515","Mobile poll/Bureau itinérant",2,3,5,0,0,0,10,14
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 516","Kitimat",Combined with No./Résultats combinés à ceux du n°129,,,,,,,13
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 517","Mobile poll/Bureau itinérant",9,4,12,1,0,0,26,13
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,12
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 519","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 520","Houston",Combined with No./Résultats combinés à ceux du n°139,,,,,,,21
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 521","Mobile poll/Bureau itinérant",2,0,5,3,0,0,10,13
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,1
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 523","Mobile poll/Bureau itinérant",1,3,1,1,0,0,6,10
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,5
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 600","Atlin",43,54,84,3,0,0,184,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 601","Five Mile Point 3",Combined with No./Résultats combinés à ceux du n°600,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 602","Liard River 3",Combined with No./Résultats combinés à ceux du n°607,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 603","Dease River 1--Good Hope Lake",Combined with No./Résultats combinés à ceux du n°607,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 604","Jade City",Combined with No./Résultats combinés à ceux du n°607,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 605","Tulsequah",Combined with No./Résultats combinés à ceux du n°607,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 606","Dease Lake 9",Combined with No./Résultats combinés à ceux du n°607,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 607","Dease Lake",9,4,31,0,0,0,44,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 608","40 MIle Flats",Combined with No./Résultats combinés à ceux du n°607,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 609","Eddontenajon",Combined with No./Résultats combinés à ceux du n°607,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 610","Tatogga",Combined with No./Résultats combinés à ceux du n°607,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 611","Iskut 6",Combined with No./Résultats combinés à ceux du n°607,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 612","Bob Quinn Lake",Combined with No./Résultats combinés à ceux du n°607,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 613","Guhthe Tah 12",Combined with No./Résultats combinés à ceux du n°607,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 614","Stikine",Combined with No./Résultats combinés à ceux du n°607,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 615","Stewart",24,25,149,1,2,0,201,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 616","Bear Lake",Combined with No./Résultats combinés à ceux du n°618,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 617","Fort St. James",221,121,365,13,6,0,726,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 618","Nak'azdli",Combined with No./Résultats combinés à ceux du n°617,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 619","Binche 2",Combined with No./Résultats combinés à ceux du n°618,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 620","Tachie 1",Combined with No./Résultats combinés à ceux du n°618,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 621","Ye Koo Che 3",Combined with No./Résultats combinés à ceux du n°618,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 622","Dzitline Lee 9",Combined with No./Résultats combinés à ceux du n°618,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 623","Leo Creek",Combined with No./Résultats combinés à ceux du n°618,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 624","North Tacla Lake",Combined with No./Résultats combinés à ceux du n°618,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 625","Bulkley House",Combined with No./Résultats combinés à ceux du n°618,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 626","Babine 6",Combined with No./Résultats combinés à ceux du n°675,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 627","Hazelton",161,35,173,6,1,0,376,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 628","Moricetown 1",Combined with No./Résultats combinés à ceux du n°627,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 629","Hagwilget 1",Combined with No./Résultats combinés à ceux du n°632,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 630","Gitanmaax 1",Combined with No./Résultats combinés à ceux du n°632,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 631","Sik-e-dakh 2",Combined with No./Résultats combinés à ceux du n°632,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 632","Kispiox 1",101,5,20,0,2,0,128,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 633","Gitsegukla 1",No poll held/Pas de scrutin,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 634","Hazelton",71,27,64,2,3,1,168,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 635","Gitanyow 1",Combined with No./Résultats combinés à ceux du n°634,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 636","Gitwangak 1",Combined with No./Résultats combinés à ceux du n°634,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 637","Nisga’a",122,18,10,1,2,0,153,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 638","Lax Kw'alaams 1",Combined with No./Résultats combinés à ceux du n°655,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 639","Port Clements",Combined with No./Résultats combinés à ceux du n°641,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 640","Masset 1",Combined with No./Résultats combinés à ceux du n°641,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 641","Masset",159,33,66,0,9,1,268,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 642","Tlaa Gaa Aawtlaas 28",Combined with No./Résultats combinés à ceux du n°641,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 643","Sewall",Combined with No./Résultats combinés à ceux du n°641,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 644","Yaku",Combined with No./Résultats combinés à ceux du n°641,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 645","Juskatla",Combined with No./Résultats combinés à ceux du n°641,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 646","Tlell",Combined with No./Résultats combinés à ceux du n°649,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 647","Lawnhill",Combined with No./Résultats combinés à ceux du n°648,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 648","Skidegate 1",90,4,10,0,3,0,107,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 649","Daajing Giids",184,32,39,1,4,0,260,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 650","Sandspit",Combined with No./Résultats combinés à ceux du n°648,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 651","Rose Harbour",Combined with No./Résultats combinés à ceux du n°648,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 652","Sewell Inlet",Combined with No./Résultats combinés à ceux du n°648,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 653","Dolphin Island 1",Combined with No./Résultats combinés à ceux du n°655,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 654","Metlakatla",Combined with No./Résultats combinés à ceux du n°655,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 655","Prince Rupert",244,58,187,4,3,1,497,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 656","Prince Rupert",389,73,249,8,6,2,727,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 657","Prince Rupert",346,122,257,7,8,2,742,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 658","Osland",Combined with No./Résultats combinés à ceux du n°655,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 659","Kitimat",196,92,410,3,4,12,717,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 660","Kitimat",243,124,459,11,6,17,860,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 661","Kitamaat 2",Combined with No./Résultats combinés à ceux du n°660,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 662","Terrace",265,123,550,3,11,1,953,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 663","Terrace",471,157,604,7,5,4,1248,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 664","Terrace",357,154,470,6,9,1,997,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 665","Kulspai 6",Combined with No./Résultats combinés à ceux du n°663,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 666","Kitsumkaylum 1",Combined with No./Résultats combinés à ceux du n°664,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 667","Kitselas 1",Combined with No./Résultats combinés à ceux du n°662,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 668","Evelyn",247,57,348,23,9,5,689,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 669","Smithers",408,91,529,19,9,4,1060,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 670","Telkwa",265,74,516,14,4,5,878,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 671","Jean Baptiste 28",Combined with No./Résultats combinés à ceux du n°670,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 672","Houston",147,119,752,16,4,10,1048,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 673","Babine 25",Combined with No./Résultats combinés à ceux du n°672,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 674","Duncan Lake 2",Combined with No./Résultats combinés à ceux du n°672,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 675","Burns Lake",297,126,751,23,6,1,1204,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 676","Palling 1",Combined with No./Résultats combinés à ceux du n°675,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 677","Woyenne 27",Combined with No./Résultats combinés à ceux du n°675,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 678","Burns Lake 18",Combined with No./Résultats combinés à ceux du n°675,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 679","Tatla West 11",Combined with No./Résultats combinés à ceux du n°675,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 680","Cheslatta 1",Combined with No./Résultats combinés à ceux du n°675,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 681","Fraser Lake",142,91,467,11,3,4,718,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 682","Stellaquo (Stella) 1",Combined with No./Résultats combinés à ceux du n°681,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 683","Nautley (Fort Fraser) 1",Combined with No./Résultats combinés à ceux du n°681,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 684","Firvale",Combined with No./Résultats combinés à ceux du n°687,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 685","Hagensborg",Combined with No./Résultats combinés à ceux du n°687,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 686","South Bentinck",Combined with No./Résultats combinés à ceux du n°687,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 687","Bella Coola 1",158,32,115,2,8,1,316,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 688","Kimsquit",Combined with No./Résultats combinés à ceux du n°687,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 689","Ocean Falls",Combined with No./Résultats combinés à ceux du n°696,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 690","Kulkayu (Hartley Bay) 4",Combined with No./Résultats combinés à ceux du n°659,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 691","Kemano",No poll held/Pas de scrutin,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 692","Kildala Arm",Combined with No./Résultats combinés à ceux du n°655,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 693","Weewanie",Combined with No./Résultats combinés à ceux du n°655,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 694","Butedale",Combined with No./Résultats combinés à ceux du n°655,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 695","Kitasoo 1",Combined with No./Résultats combinés à ceux du n°696,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 696","Bella Bella 1",135,9,6,0,5,1,156,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 697","Shearwater",Combined with No./Résultats combinés à ceux du n°696,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley",,Group 1/Groupe 1, 207,112,231,3,11,23,587,111
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley",,Group 2/Groupe 2, 1927,483,2287,42,38,58,4835,
