Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Thomas Barré,Jean Boily,Kalden Dhatsenpa,Dave Hamelin-Schuilenburg,Christopher Massé,Peter Schiefke,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24076,"Vaudreuil/Vaudreuil"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,35
24076,"Vaudreuil/Vaudreuil"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,18
24076,"Vaudreuil/Vaudreuil"," 503","Mobile poll/Bureau itinérant",2,2,1,0,4,22,4,35,42
24076,"Vaudreuil/Vaudreuil"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,44
24076,"Vaudreuil/Vaudreuil"," 505","Mobile poll/Bureau itinérant",6,1,0,0,5,22,2,36,67
24076,"Vaudreuil/Vaudreuil"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,61
24076,"Vaudreuil/Vaudreuil"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,63
24076,"Vaudreuil/Vaudreuil"," 600","Rigaud",Combined with No./Résultats combinés à ceux du n°601,,,,,,,,
24076,"Vaudreuil/Vaudreuil"," 601","Rigaud",231,9,19,18,310,635,12,1234,
24076,"Vaudreuil/Vaudreuil"," 602","Rigaud",154,10,21,10,211,600,9,1015,
24076,"Vaudreuil/Vaudreuil"," 603","Hudson",183,9,25,13,56,988,6,1280,
24076,"Vaudreuil/Vaudreuil"," 604","Vaudreuil-Dorion",156,13,19,15,68,954,2,1227,
24076,"Vaudreuil/Vaudreuil"," 605","Saint-Lazare",266,4,17,2,44,844,4,1181,
24076,"Vaudreuil/Vaudreuil"," 606","Saint-Lazare",272,10,17,11,180,971,5,1466,
