Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Cheryle Baker,Steven Beausoleil,Matthew Chambers,David Hilderley,Arpan Khanna,Melanie Van Brugge,Akshay Varun Raj Vardhan,Jacob Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35083,"Oxford/Oxford"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,,,134
35083,"Oxford/Oxford"," 509","Mobile poll/Bureau itinérant",2,2,6,22,17,1,2,3,0,55,49
35083,"Oxford/Oxford"," 510","Mobile poll/Bureau itinérant",4,1,5,29,18,1,0,3,1,62,75
35083,"Oxford/Oxford"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,,,31
35083,"Oxford/Oxford"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,,,36
35083,"Oxford/Oxford"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,,,41
35083,"Oxford/Oxford"," 514","Cobourg",Combined with No./Résultats combinés à ceux du n°155,,,,,,,,,,6
35083,"Oxford/Oxford"," 515","Cobourg",Combined with No./Résultats combinés à ceux du n°152,,,,,,,,,,0
35083,"Oxford/Oxford"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,,,6
35083,"Oxford/Oxford"," 517","Mobile poll/Bureau itinérant",2,4,3,14,25,1,1,2,1,53,46
35083,"Oxford/Oxford"," 518","Mobile poll/Bureau itinérant",3,0,5,48,28,4,1,0,0,89,103
35083,"Oxford/Oxford"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,,,,29
35083,"Oxford/Oxford"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,,,107
35083,"Oxford/Oxford"," 600","Zorra",13,11,43,441,639,3,6,14,1,1171,
35083,"Oxford/Oxford"," 601","East Zorra-Tavistock",15,8,44,568,831,0,0,13,3,1482,
35083,"Oxford/Oxford"," 602","East Zorra-Tavistock",2,3,14,433,391,1,1,6,1,852,
35083,"Oxford/Oxford"," 603","East Zorra-Tavistock",9,2,27,294,449,1,2,10,1,795,
35083,"Oxford/Oxford"," 604","Blandford-Blenheim",18,8,23,351,592,4,2,13,3,1014,
35083,"Oxford/Oxford"," 605","Drumbo--Princeton",12,5,24,323,529,2,2,2,1,900,
35083,"Oxford/Oxford"," 606","Woodstock",6,4,27,415,521,1,2,8,1,985,
35083,"Oxford/Oxford"," 607","Woodstock",2,5,31,391,521,0,5,2,6,963,
35083,"Oxford/Oxford"," 608","Woodstock",9,3,20,354,287,1,0,6,0,680,
35083,"Oxford/Oxford"," 609","Woodstock",7,4,16,380,354,1,0,5,2,769,
35083,"Oxford/Oxford"," 610","Woodstock",10,6,33,401,423,0,1,2,4,880,
35083,"Oxford/Oxford"," 611","Woodstock",9,7,25,378,405,0,1,8,2,835,
35083,"Oxford/Oxford"," 612","Woodstock",4,6,26,349,293,0,1,8,2,689,
35083,"Oxford/Oxford"," 613","Woodstock",10,7,32,425,317,1,0,9,4,805,
35083,"Oxford/Oxford"," 614","Woodstock",7,3,32,243,303,0,1,2,2,593,
35083,"Oxford/Oxford"," 615","Woodstock",10,2,28,263,304,0,0,5,4,616,
35083,"Oxford/Oxford"," 616","Woodstock",13,5,41,314,459,1,2,4,0,839,
35083,"Oxford/Oxford"," 617","Norwich",11,14,22,273,359,0,0,17,0,696,
35083,"Oxford/Oxford"," 618","Woodstock",0,2,18,339,313,3,1,2,0,678,
35083,"Oxford/Oxford"," 619","Beachville",14,5,18,280,509,2,2,8,1,839,
35083,"Oxford/Oxford"," 620","Ingersoll",11,5,67,701,640,1,2,5,2,1434,
35083,"Oxford/Oxford"," 621","Ingersoll",15,11,99,557,676,5,2,14,7,1386,
35083,"Oxford/Oxford"," 622","Zorra",10,10,30,307,526,2,1,5,4,895,
35083,"Oxford/Oxford"," 623","South-West Oxford",11,14,62,503,521,2,2,16,1,1132,
35083,"Oxford/Oxford"," 624","Norwich",15,6,44,504,851,1,5,57,2,1485,
35083,"Oxford/Oxford"," 625","Mount Elgin",5,6,17,147,283,1,2,15,2,478,
35083,"Oxford/Oxford"," 626","Tillsonburg",2,6,21,328,375,0,4,4,0,740,
35083,"Oxford/Oxford"," 627","Otterville",2,3,17,195,454,2,1,26,1,701,
35083,"Oxford/Oxford"," 628","Tillsonburg",9,9,52,407,489,1,1,9,1,978,
35083,"Oxford/Oxford"," 629","Tillsonburg",7,4,24,337,324,0,0,6,2,704,
35083,"Oxford/Oxford"," 630","Tillsonburg",5,5,12,578,499,1,0,9,4,1113,
35083,"Oxford/Oxford"," 631","Tillsonburg",16,14,38,445,472,1,1,12,14,1013,
35083,"Oxford/Oxford",,Group 1/Groupe 1, 4,3,27,225,137,1,2,3,23,425,237
35083,"Oxford/Oxford",,Group 2/Groupe 2, 20,9,75,1200,1046,5,1,26,38,2420,
