Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,David De Repentigny,Martine Desrochers,Nicolas Guérin,Patrick O'Hara,Nathalie Provost,Hannah Wolker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 175","Sainte-Martine",38,3,1,50,32,5,5,134,357
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 176","Sainte-Martine",32,1,3,63,56,4,3,162,439
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 177","Sainte-Martine",47,5,1,39,63,7,1,163,381
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 178","Sainte-Martine",39,1,1,64,48,5,2,160,357
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 179","Saint-Urbain-Premier",72,9,8,84,72,3,3,251,379
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 180","Saint-Urbain-Premier",44,2,0,96,71,4,1,218,338
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 181","Saint-Urbain-Premier",50,5,0,66,65,0,3,189,349
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 182","Sherrington",33,5,1,68,70,3,2,182,292
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 183","Sherrington",39,1,2,61,47,3,3,156,277
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 184","Sherrington",45,1,0,62,76,3,4,191,315
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 185","Sherrington",30,5,1,63,95,4,4,202,305
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 186","Sherrington",65,7,2,71,70,2,5,222,350
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 187","Sainte-Clotilde-de-Châteauguay",81,3,3,56,60,1,2,206,417
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 188","Sainte-Clotilde-de-Châteauguay",98,12,1,79,82,6,4,282,523
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 189","Sainte-Clotilde-de-Châteauguay",71,1,6,57,51,9,3,198,474
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 190","Sainte-Clotilde-de-Châteauguay",62,2,4,50,27,9,3,157,372
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 191","Très-Saint-Sacrement",43,4,7,51,52,1,5,163,395
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 192","Très-Saint-Sacrement",46,2,3,69,67,6,3,196,444
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 193","Très-Saint-Sacrement",63,4,0,33,96,5,2,203,426
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 194","Très-Saint-Sacrement",42,2,0,26,69,4,1,144,327
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 195","Saint-Bernard-de-Lacolle",35,2,1,52,45,1,1,137,305
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 196","Saint-Bernard-de-Lacolle",72,5,2,37,55,4,2,177,399
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 197","Saint-Bernard-de-Lacolle",48,3,5,40,61,1,0,158,365
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 198","Saint-Bernard-de-Lacolle",25,2,3,33,50,4,0,117,301
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 199","Saint-Chrysostome",30,1,0,54,44,4,2,135,388
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 200","Saint-Chrysostome",72,2,1,65,38,5,1,184,357
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 201","Saint-Chrysostome",42,1,1,31,45,2,2,124,319
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 202","Saint-Chrysostome",32,1,2,34,23,2,5,99,326
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 203","Saint-Chrysostome",51,0,1,47,55,4,3,161,372
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 204","Saint-Chrysostome",37,1,1,24,30,3,3,99,343
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 205","Hemmingford",32,4,2,33,54,1,1,127,336
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 206","Hemmingford",71,1,1,21,46,9,0,149,378
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 207","Hemmingford",72,3,1,43,49,3,5,176,458
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 208","Hemmingford",48,6,0,21,56,1,2,134,435
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 209","Hemmingford",52,4,5,41,97,3,1,203,521
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 210","Hemmingford",58,3,1,32,50,2,0,146,391
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 211","Havelock",61,1,3,45,54,2,1,167,285
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 212","Havelock",61,2,2,39,92,5,2,203,353
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 213","Saint-Antoine-Abbé",46,4,2,106,100,3,0,261,413
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 214","Saint-Antoine-Abbé",76,5,1,99,93,5,4,283,451
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 215","Franklin",52,2,2,44,84,6,0,190,303
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 216","Franklin",50,5,1,66,84,4,4,214,343
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 500","Mobile poll/Bureau itinérant",17,1,1,22,73,1,2,117,134
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 501","Mobile poll/Bureau itinérant",0,2,1,5,8,0,0,16,20
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 502","Mobile poll/Bureau itinérant",2,0,0,17,26,0,0,45,56
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 503","Châteauguay",10,2,1,36,133,0,12,194,182
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 504","Châteauguay",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,55
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,22
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 506","Châteauguay",8,0,0,21,71,1,15,116,144
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 507","Châteauguay",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,31
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 508","Châteauguay",Combined with No./Résultats combinés à ceux du n°46,,,,,,,,2
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 509","Châteauguay",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,49
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 510","Châteauguay",8,3,1,26,82,1,4,125,70
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,,37
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 512","Châteauguay",Combined with No./Résultats combinés à ceux du n°100,,,,,,,,3
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 513","Mobile poll/Bureau itinérant",4,2,2,21,27,2,2,60,118
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 514","Saint-Isidore",Combined with No./Résultats combinés à ceux du n°119,,,,,,,,3
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 515","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 516","Mobile poll/Bureau itinérant",5,1,0,25,28,0,5,64,46
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 517","Saint-Rémi",10,1,1,22,75,0,9,118,153
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 518","Saint-Rémi",Combined with No./Résultats combinés à ceux du n°144,,,,,,,,5
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,,19
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 520","Mobile poll/Bureau itinérant",5,2,0,8,11,1,0,27,62
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 521","Mobile poll/Bureau itinérant",1,0,0,7,10,1,1,20,23
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,,13
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,1
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 524","Sainte-Clotilde-de-Châteauguay",Combined with No./Résultats combinés à ceux du n°189,,,,,,,,5
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,,16
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 526","Mobile poll/Bureau itinérant",5,0,0,1,10,0,4,20,19
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 600","Léry",81,3,3,235,372,10,8,712,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 601","Châteauguay",140,10,6,252,544,16,7,975,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 602","Châteauguay",183,8,4,190,795,27,13,1220,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 603","Châteauguay",148,4,3,181,689,18,5,1048,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 604","Châteauguay",160,7,3,219,660,18,13,1080,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 605","Châteauguay",146,10,8,248,670,21,16,1119,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 606","Châteauguay",124,3,1,160,453,11,9,761,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 607","Châteauguay",159,12,3,285,682,30,13,1184,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 608","Mercier",222,11,2,448,579,10,12,1284,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 609","Châteauguay",160,7,4,192,683,11,13,1070,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 610","Saint-Isidore",63,2,2,138,137,6,12,360,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 611","Mercier",208,14,9,543,614,17,23,1428,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 612","Sainte-Martine",179,14,7,517,557,15,16,1305,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 613","Howick",95,7,2,86,258,6,4,458,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 614","Saint-Chrysostome",126,3,2,161,238,3,9,542,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 615","Sainte-Clotilde-de-Châteauguay",120,8,5,140,196,4,13,486,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 616","Saint-Rémi",136,2,12,342,337,7,10,846,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 617","Saint-Rémi",167,9,4,314,333,14,10,851,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 618","Saint-Michel",156,6,2,263,284,15,5,731,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 619","Saint-Jacques-le-Mineur--Saint-Édouard",115,4,3,252,276,17,7,674,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 620","Napierville",276,6,8,413,660,32,15,1410,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 621","Saint-Bernard-de-Lacolle",106,5,3,149,223,12,6,504,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 622","Hemmingford",183,14,2,147,551,28,6,931,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 623","Ormstown",26,0,0,26,49,2,1,104,
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville",,Group 1/Groupe 1, 65,8,4,70,238,31,26,442,125
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville",,Group 2/Groupe 2, 176,8,9,249,559,18,47,1066,
