Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,John Janssen,Garry Keller,Valerie Kennedy,Louise Poitras,Pauline Rochefort,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 189","Powassan",1,113,5,1,37,0,157,338
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 190","Trout Creek",5,126,13,5,87,1,237,427
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 191","Nipissing",9,76,6,2,27,0,120,228
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 192","Rutherglen",1,158,7,1,77,3,247,539
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 400","North Bay",4,20,6,0,119,1,150,193
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 401","North Bay",2,18,8,1,93,1,123,166
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 402","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,70
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,41
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 501","Mobile poll/Bureau itinérant",2,16,11,0,37,0,66,59
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,24
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°19B,,,,,,,74
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,27
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 505","Mobile poll/Bureau itinérant",3,13,6,0,21,0,43,29
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 506","Mobile poll/Bureau itinérant",7,17,10,4,18,1,57,49
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,10
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 508","Temagami",Combined with No./Résultats combinés à ceux du n°42,,,,,,,17
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 509","Temagami",Combined with No./Résultats combinés à ceux du n°42,,,,,,,8
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,70
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 511","Mattawa",Combined with No./Résultats combinés à ceux du n°65,,,,,,,1
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,64
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 513","Mobile poll/Bureau itinérant",1,13,6,1,102,1,124,82
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 514","Mobile poll/Bureau itinérant",4,18,11,1,43,0,77,205
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,45
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,26
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,72
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,93
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 519","Mobile poll/Bureau itinérant",2,43,13,2,129,5,194,254
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 520","Mobile poll/Bureau itinérant",2,29,12,2,87,3,135,51
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 521","North Bay",Combined with No./Résultats combinés à ceux du n°139,,,,,,,140
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 522","Mobile poll/Bureau itinérant",1,12,3,2,26,0,44,98
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,16
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 524","Mobile poll/Bureau itinérant",1,21,5,0,34,1,62,103
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 525","Mobile poll/Bureau itinérant",2,18,3,4,27,5,59,114
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,24
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 527","Powassan",Combined with No./Résultats combinés à ceux du n°182,,,,,,,25
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 600","Kirkland Lake",Combined with No./Résultats combinés à ceux du n°601,,,,,,,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 601","Englehart",12,468,101,8,260,0,849,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 602","Earlton",4,244,41,0,202,0,491,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 603","Temiskaming Shores",4,504,91,6,662,4,1271,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 604","Timiskaming, Unorganized, West Part",13,349,70,7,427,1,867,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 605","Cobalt--Latchford",4,192,28,2,165,1,392,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 606","Bear Island 1",Combined with No./Résultats combinés à ceux du n°607,,,,,,,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 607","North Bay ",4,151,19,4,121,0,299,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 608","North Bay ",3,208,21,5,156,5,398,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 609","North Bay",10,737,38,5,1146,3,1939,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 610","North Bay ",11,594,83,13,1062,8,1771,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 611","North Bay ",17,396,71,14,512,4,1014,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 612","North Bay",12,475,56,12,991,7,1553,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 613","Nipissing 10",2,63,23,5,167,0,260,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 614","North Bay ",15,433,70,12,636,1,1167,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 615","North Bay ",11,534,68,12,835,6,1466,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 616","North Bay ",9,672,86,13,1151,5,1936,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 617","Nipissing ",9,434,22,2,272,3,742,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 618","Powassan",23,956,47,8,560,4,1598,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 619","Astorville",13,862,56,8,1056,6,2001,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 620","East Ferris--Bonfield",6,366,20,4,337,4,737,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 621","Mattawa",8,554,34,9,388,8,1001,
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming",,Group 1/Groupe 1, 9,270,51,7,376,41,754,259
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming",,Group 2/Groupe 2, 23,1671,205,31,2799,53,4782,
