Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Terry Beech,Michael Charrois,Mauro Francis,Jesse Fulton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 49","North Vancouver",82,7,65,0,0,154,489
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 50","North Vancouver",57,11,32,3,0,103,419
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 51","North Vancouver",81,6,56,0,0,143,447
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 52","North Vancouver",99,9,43,1,0,152,533
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 53","North Vancouver",110,4,62,1,0,177,489
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 54","North Vancouver",87,14,63,0,1,165,525
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 55","North Vancouver",92,11,73,2,1,179,376
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 56","North Vancouver",53,8,33,1,0,95,413
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 57","North Vancouver",102,9,63,1,1,176,461
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 58","North Vancouver",100,4,77,0,1,182,513
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 59","North Vancouver",77,12,54,1,0,144,413
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 60","North Vancouver",70,11,40,1,0,122,426
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 61","North Vancouver",101,11,72,0,0,184,510
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 62","North Vancouver",59,17,35,2,0,113,307
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 63","North Vancouver",102,9,62,0,0,173,590
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 64A","North Vancouver",57,4,59,1,3,124,305
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 64B","North Vancouver",64,5,47,1,0,117,312
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 65","North Vancouver",Combined with No./Résultats combinés à ceux du n°23,,,,,,219
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 66","North Vancouver",158,21,122,2,0,303,589
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 67","North Vancouver",93,8,52,2,0,155,582
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 68A","North Vancouver",109,14,66,1,0,190,486
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 68B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,72
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 69","North Vancouver",119,23,59,3,1,205,541
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 70","North Vancouver",71,11,68,2,1,153,463
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 71","North Vancouver",117,8,43,1,0,169,387
