Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Molly Cornish,Ghislain Daigle,Jacques Gourde,Pierre Julien,Pier-Olivier Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,16
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,11
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 516","Mobile poll/Bureau itinérant",0,15,17,6,2,6,46,49
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,22
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 518","Saint-Agapit",Combined with No./Résultats combinés à ceux du n°204,,,,,,,16
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 519","Saint-Narcisse",Combined with No./Résultats combinés à ceux du n°208,,,,,,,1
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 520","Mobile poll/Bureau itinérant",1,31,34,5,1,3,75,90
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 521","Saint-Gilles",Combined with No./Résultats combinés à ceux du n°212,,,,,,,2
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 522","Saint-Patrice-de-Beaurivage",Combined with No./Résultats combinés à ceux du n°215,,,,,,,5
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 523","Mobile poll/Bureau itinérant",1,8,14,6,1,0,30,12
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 600","Lévis",20,448,316,244,8,11,1047,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 601","Lévis",31,527,598,301,16,13,1486,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 602","Lévis",20,418,587,289,11,20,1345,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 603","Lévis",31,348,771,278,11,11,1450,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 604","Lévis",13,370,488,224,14,10,1119,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 605","Lévis",40,581,537,349,21,14,1542,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 606","Lévis",18,484,335,302,10,18,1167,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 607","Lévis",24,683,510,321,5,9,1552,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 608","Lévis",22,702,671,366,12,14,1787,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 609","Lévis",27,420,483,228,13,6,1177,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 610","Lévis",25,548,648,363,13,12,1609,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 611","Lévis",36,592,762,282,7,15,1694,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 612","Lévis",25,381,680,266,12,13,1377,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 613","Lévis",35,400,803,297,26,31,1592,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 614","Saint-Antoine-de-Tilly--Sainte-Croix",9,168,207,159,3,3,549,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 615","Saint-Apollinaire",36,329,729,196,14,19,1323,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 616","Saint-Apollinaire",4,103,282,67,6,4,466,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 617","Saint-Agapit",18,192,498,133,8,7,856,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 618","Saint-Gilles",7,70,256,70,3,2,408,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 619","Lévis",31,261,630,151,15,20,1108,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 620","Saint-Narcisse",3,80,287,42,6,4,422,
24040,"Lévis--Lotbinière/Lévis--Lotbinière",,Group 1/Groupe 1, 21,226,169,94,6,29,545,89
24040,"Lévis--Lotbinière/Lévis--Lotbinière",,Group 2/Groupe 2, 23,430,371,211,9,40,1084,
