Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Patricia Conlin,Justin Graham,Robert Grossi,Jacob Mantle,Matt Pearce,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35121,"York--Durham/York--Durham"," 95","Georgina",4,3,39,111,1,2,160,623
35121,"York--Durham/York--Durham"," 96","Georgina",3,7,64,98,2,1,175,524
35121,"York--Durham/York--Durham"," 97","Georgina",1,6,70,118,2,2,199,638
35121,"York--Durham/York--Durham"," 98","Georgina",2,8,69,96,2,0,177,530
35121,"York--Durham/York--Durham"," 99","Georgina",3,5,53,117,1,0,179,565
35121,"York--Durham/York--Durham"," 100","Georgina",5,2,68,95,3,1,174,622
35121,"York--Durham/York--Durham"," 101","Georgina",4,7,61,106,1,1,180,556
35121,"York--Durham/York--Durham"," 102","Georgina",1,4,73,93,4,1,176,530
35121,"York--Durham/York--Durham"," 103","Georgina",2,6,71,111,3,2,195,622
35121,"York--Durham/York--Durham"," 104","Georgina",3,4,42,127,3,1,180,542
35121,"York--Durham/York--Durham"," 105","Georgina",5,8,71,150,4,1,239,767
35121,"York--Durham/York--Durham"," 106","Georgina",3,10,63,105,7,1,189,567
35121,"York--Durham/York--Durham"," 107","Georgina",4,3,63,129,4,1,204,585
35121,"York--Durham/York--Durham"," 108","Georgina",4,9,122,166,2,2,305,736
35121,"York--Durham/York--Durham"," 109","Georgina",0,5,79,135,1,1,221,760
35121,"York--Durham/York--Durham"," 110","Georgina",7,11,75,101,2,2,198,562
35121,"York--Durham/York--Durham"," 111","Georgina",4,13,55,130,3,0,205,576
35121,"York--Durham/York--Durham"," 112","Georgina",5,5,97,158,4,2,271,567
35121,"York--Durham/York--Durham"," 113","Georgina",3,6,45,144,6,0,204,594
35121,"York--Durham/York--Durham"," 114","Georgina",3,12,138,130,1,0,284,601
35121,"York--Durham/York--Durham"," 115","Georgina",4,9,147,161,2,0,323,661
35121,"York--Durham/York--Durham"," 116","Georgina",1,8,90,178,6,0,283,623
35121,"York--Durham/York--Durham"," 117","Georgina",5,9,66,93,3,2,178,574
35121,"York--Durham/York--Durham"," 118","Georgina",3,9,74,111,1,1,199,594
35121,"York--Durham/York--Durham"," 119","Scugog",2,6,75,138,5,0,226,313
35121,"York--Durham/York--Durham"," 120","Scugog",5,2,58,126,1,0,192,352
35121,"York--Durham/York--Durham"," 121","Scugog",Combined with No./Résultats combinés à ceux du n°119,,,,,,,337
35121,"York--Durham/York--Durham"," 122","Scugog",Combined with No./Résultats combinés à ceux du n°120,,,,,,,303
35121,"York--Durham/York--Durham"," 123","Scugog",2,4,75,96,3,0,180,452
35121,"York--Durham/York--Durham"," 124A","Scugog",4,10,97,195,4,0,310,240
35121,"York--Durham/York--Durham"," 124B","Scugog",3,21,89,192,2,0,307,216
35121,"York--Durham/York--Durham"," 125A","Scugog",Combined with No./Résultats combinés à ceux du n°124A,,,,,,,216
35121,"York--Durham/York--Durham"," 125B","Scugog",Combined with No./Résultats combinés à ceux du n°124B,,,,,,,231
35121,"York--Durham/York--Durham"," 126A","Scugog",2,9,72,177,4,0,264,123
35121,"York--Durham/York--Durham"," 126B","Scugog",7,7,87,213,7,0,321,135
35121,"York--Durham/York--Durham"," 126C","Scugog",5,8,79,173,5,2,272,149
35121,"York--Durham/York--Durham"," 127A","Scugog",Combined with No./Résultats combinés à ceux du n°124A,,,,,,,152
35121,"York--Durham/York--Durham"," 127B","Scugog",Combined with No./Résultats combinés à ceux du n°124B,,,,,,,151
35121,"York--Durham/York--Durham"," 128A","Scugog",Combined with No./Résultats combinés à ceux du n°126A,,,,,,,153
35121,"York--Durham/York--Durham"," 128B","Scugog",Combined with No./Résultats combinés à ceux du n°126B,,,,,,,143
35121,"York--Durham/York--Durham"," 128C","Scugog",Combined with No./Résultats combinés à ceux du n°126C,,,,,,,144
35121,"York--Durham/York--Durham"," 129A","Scugog",Combined with No./Résultats combinés à ceux du n°126A,,,,,,,96
35121,"York--Durham/York--Durham"," 129B","Scugog",Combined with No./Résultats combinés à ceux du n°126B,,,,,,,140
35121,"York--Durham/York--Durham"," 129C","Scugog",Combined with No./Résultats combinés à ceux du n°126C,,,,,,,97
35121,"York--Durham/York--Durham"," 130A","Scugog",Combined with No./Résultats combinés à ceux du n°126A,,,,,,,103
35121,"York--Durham/York--Durham"," 130B","Scugog",Combined with No./Résultats combinés à ceux du n°126B,,,,,,,143
35121,"York--Durham/York--Durham"," 130C","Scugog",Combined with No./Résultats combinés à ceux du n°126C,,,,,,,140
35121,"York--Durham/York--Durham"," 131A","Uxbridge",2,3,77,133,2,0,217,110
35121,"York--Durham/York--Durham"," 131B","Uxbridge",2,4,79,133,0,0,218,119
35121,"York--Durham/York--Durham"," 131C","Uxbridge",1,4,87,124,3,1,220,103
35121,"York--Durham/York--Durham"," 131D","Uxbridge",6,2,82,91,3,0,184,81
35121,"York--Durham/York--Durham"," 132","Uxbridge",5,6,56,113,4,1,185,458
35121,"York--Durham/York--Durham"," 133A","Uxbridge",Combined with No./Résultats combinés à ceux du n°131A,,,,,,,82
35121,"York--Durham/York--Durham"," 133B","Uxbridge",Combined with No./Résultats combinés à ceux du n°131B,,,,,,,114
35121,"York--Durham/York--Durham"," 133C","Uxbridge",Combined with No./Résultats combinés à ceux du n°131C,,,,,,,67
35121,"York--Durham/York--Durham"," 133D","Uxbridge",Combined with No./Résultats combinés à ceux du n°131D,,,,,,,63
35121,"York--Durham/York--Durham"," 134A","Uxbridge",Combined with No./Résultats combinés à ceux du n°131A,,,,,,,90
