Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,William Caton,Maria Rose Lewans,Alex McPhee,Jeremy Patzer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 612","Swift Current",139,8,69,741,4,961,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 613","Cabri",49,1,17,204,1,272,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 614","Coulee No. 136",191,6,98,1272,7,1574,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 615","Chaplin",43,2,14,260,1,320,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 616","Wood Mountain 160",Combined with No./Résultats combinés à ceux du n°617,,,,,,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 617","Ponteix",37,2,15,329,1,384,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 618","Shaunavon",92,5,35,779,7,918,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 619","Maple Creek",130,7,52,614,2,805,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 620","Nekaneet Cree Nation",Combined with No./Résultats combinés à ceux du n°619,,,,,,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley",,Group 1/Groupe 1, 79,8,25,230,33,375,84
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley",,Group 2/Groupe 2, 217,11,83,1217,28,1556,
