Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mario Beaulieu,Ghada Chaabi,Olivier Huard,Viviane Minko,Violetta Potapova,Geneviève Royer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,32
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,22
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,31
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 519","Mobile poll/Bureau itinérant",56,1,4,53,11,0,14,139,50
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,,19
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,,93
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,,54
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 523","Mobile poll/Bureau itinérant",36,0,2,38,2,3,3,84,29
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,,72
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,,56
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 526","Montréal",17,3,1,24,2,0,1,48,260
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 527","Montréal",Void/Supprimé,,,,,,,,
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 528","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,,19
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 529","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,,103
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 530","Montréal",22,1,2,31,5,0,1,62,201
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 531","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,,26
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 532","Montréal",24,2,3,31,7,0,5,72,255
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 533","Montréal",4,1,0,1,1,1,0,8,168
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 600","Montréal",475,39,5,382,108,1,7,1017,
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 601","Montréal",523,24,9,352,73,1,9,991,
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 602","Montréal",374,34,6,262,68,3,8,755,
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 603","Montréal",610,37,16,405,100,4,17,1189,
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 604","Montréal",519,19,8,342,99,2,16,1005,
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 605","Montréal",514,27,12,345,102,2,11,1013,
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 606","Montréal",542,22,14,302,90,2,18,990,
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 607","Montréal--Montréal-Est",190,16,5,141,41,3,6,402,
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 608","Montréal",419,32,7,599,156,2,15,1230,
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 609","Montréal",433,25,11,397,111,2,20,999,
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 610","Montréal",407,30,20,376,72,3,18,926,
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 611","Montréal",507,37,19,395,99,2,17,1076,
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 612","Montréal",434,47,24,349,63,1,8,926,
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 613","Montréal",495,47,18,529,85,1,19,1194,
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 614","Montréal",373,55,15,522,110,8,10,1093,
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 615","Montréal",345,23,5,325,86,2,7,793,
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île",,Group 1/Groupe 1, 182,51,15,246,54,5,41,594,135
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île",,Group 2/Groupe 2, 463,43,15,391,84,0,35,1031,
