Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Martin Charron,Bertha Fuchsman-Small,Martin Héroux,Stéphane Lauzon,Lindsey Therrien,Michel Welt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 182","Val-des-Monts",61,1,30,75,0,9,5,181,411
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 183","Val-des-Monts",63,1,40,68,6,4,0,182,497
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 184","Val-des-Monts",60,6,47,87,3,2,0,205,517
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 185","Val-des-Monts",45,3,19,41,1,4,3,116,292
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 186","Gatineau",56,4,32,60,0,5,1,158,442
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 187","Gatineau",64,0,27,67,1,5,0,164,443
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 188","Gatineau",35,1,34,81,1,3,0,155,421
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 189","Gatineau",44,0,45,58,0,4,0,151,416
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 190","Gatineau",63,4,42,74,1,5,2,191,537
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 191","Gatineau",44,2,30,60,1,3,4,144,418
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 192","Gatineau",51,0,28,49,0,2,1,131,352
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 193","Gatineau",39,3,29,61,0,7,1,140,374
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 194A","Gatineau",28,3,20,45,2,4,1,103,281
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 194B","Gatineau",48,2,25,57,0,2,1,135,318
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 195","Gatineau",36,0,39,69,3,5,1,153,367
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 196","Gatineau",51,1,26,72,3,7,1,161,414
