Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mathieu Dufort,Gregory Evdokias,Tommy Fournier,Raymond Frizzell,Matthew Rusniak,Francis Scarpaleggia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 113","Beaconsfield",1,2,4,2,52,135,2,198,435
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 114","Kirkland",3,2,1,2,40,69,0,117,405
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 115","Kirkland",0,9,1,4,47,79,0,140,409
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 116","Kirkland",2,7,2,3,40,65,0,119,354
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 117","Pointe-Claire",2,4,9,3,34,114,0,166,448
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 118","Pointe-Claire",1,9,10,2,43,85,6,156,432
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 119","Pointe-Claire",1,17,17,7,47,145,0,234,457
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 120","Kirkland",3,10,7,3,45,71,2,141,429
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 121","Kirkland",1,3,5,2,56,90,1,158,406
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 122","Kirkland",1,8,4,1,44,116,2,176,498
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 123","Kirkland",0,5,5,0,44,108,0,162,455
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 124","Kirkland",0,1,1,1,55,78,1,137,415
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 125","Beaconsfield",2,3,13,7,42,120,1,188,485
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 126","Beaconsfield",5,5,12,4,54,139,0,219,441
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 127","Beaconsfield",3,3,6,3,41,109,2,167,389
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 128","Beaconsfield",1,5,5,7,36,111,0,165,463
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 129","Beaconsfield",0,5,2,1,44,121,3,176,406
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 130","Beaconsfield",1,4,5,3,40,96,2,151,419
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 131","Beaconsfield",2,8,4,5,36,110,2,167,419
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 132","Beaconsfield",1,11,5,8,44,124,1,194,402
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 133","Beaconsfield",4,7,1,5,43,80,3,143,417
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 134","Kirkland",0,7,5,2,44,72,1,131,471
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 135","Kirkland",2,0,3,2,41,55,0,103,377
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 136","Kirkland",0,4,4,1,34,72,1,116,370
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 137","Kirkland",1,1,4,1,36,61,0,104,400
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 138","Kirkland",0,6,3,0,43,58,0,110,371
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 139","Beaconsfield",4,5,5,1,56,112,1,184,439
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 140","Kirkland",2,8,3,4,41,105,0,163,428
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 141","Kirkland",0,5,2,0,39,71,0,117,334
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 142","Beaconsfield",4,0,8,1,49,136,0,198,454
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 143","Beaconsfield",3,3,5,3,46,93,0,153,364
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 144","Beaconsfield",0,9,5,0,40,87,0,141,364
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 145","Beaconsfield",2,2,5,0,33,75,0,117,333
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 146","Beaconsfield",1,4,7,7,36,134,1,190,463
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 147","Beaconsfield",2,4,2,0,36,97,2,143,389
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 148","Pointe-Claire",1,5,15,5,27,107,1,161,372
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 149","Pointe-Claire",0,5,2,6,32,102,0,147,381
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 150","Pointe-Claire",2,3,6,1,22,102,0,136,368
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 151","Pointe-Claire",1,7,4,10,34,113,3,172,411
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 152","Pointe-Claire",2,8,11,6,42,112,0,181,533
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 153","Beaconsfield",1,8,11,0,42,98,2,162,502
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 154","Beaconsfield",0,4,4,2,37,93,0,140,443
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 155","Beaconsfield",2,3,9,1,60,98,3,176,503
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 156","Sainte-Anne-de-Bellevue",1,6,21,5,55,113,1,202,346
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 157","Sainte-Anne-de-Bellevue",1,5,5,5,46,133,0,195,394
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 158","Sainte-Anne-de-Bellevue",6,2,13,1,54,153,1,230,448
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 159","Sainte-Anne-de-Bellevue",0,4,11,0,75,154,1,245,518
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 160","Beaconsfield",0,2,2,1,38,87,0,130,381
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 161","Beaconsfield",0,7,5,3,40,112,0,167,526
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 162","Beaconsfield",1,8,3,1,53,111,0,177,482
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 163","Beaconsfield",2,2,15,1,44,130,1,195,517
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 164","Beaconsfield",1,11,5,5,47,123,2,194,519
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 165","Beaconsfield",1,5,7,3,58,102,1,177,500
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 166","Beaconsfield",0,7,8,4,42,127,2,190,494
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 167","Beaconsfield",0,6,10,4,45,138,2,205,493
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 168","Beaconsfield",2,3,12,6,27,87,0,137,422
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 169","Senneville",1,4,5,4,31,85,2,132,375
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 170","Sainte-Anne-de-Bellevue",3,7,12,7,37,124,5,195,460
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 171","Senneville",1,7,6,7,41,94,0,156,431
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 172","Sainte-Anne-de-Bellevue",3,13,14,5,39,99,1,174,393
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 173","Sainte-Anne-de-Bellevue",3,14,15,4,39,110,1,186,563
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 174","Baie-D'Urfé",0,7,12,4,68,109,1,201,543
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 175","Baie-D'Urfé",2,8,4,5,53,117,0,189,555
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 176","Baie-D'Urfé",0,5,8,5,22,92,1,133,385
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 177","Sainte-Anne-de-Bellevue",2,5,11,4,33,110,0,165,526
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 178","Baie-D'Urfé",1,3,2,4,52,124,0,186,510
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 179","Baie-D'Urfé",0,6,6,1,59,114,1,187,435
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 180","Baie-D'Urfé",1,5,2,4,56,133,0,201,457
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 400","Pointe-Claire",3,4,12,0,19,120,6,164,235
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 401","Pointe-Claire",1,0,0,0,4,90,1,96,131
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 402","Pointe-Claire",0,4,3,0,14,167,2,190,271
