Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Waseem Botros,Bardish Chagger,Santa Claus Chatham,Héline Chow,Simon Guthrie,Jamie Hari,Val Neekman,Hans Roach,Douglas Ross,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35114,"Waterloo/Waterloo"," 610","Waterloo",458,952,2,48,20,1,3,1,8,4,1497,
35114,"Waterloo/Waterloo"," 611","Waterloo",477,720,0,38,22,1,6,1,4,4,1273,
35114,"Waterloo/Waterloo"," 612","Waterloo",464,955,2,27,30,0,11,0,4,4,1497,
35114,"Waterloo/Waterloo"," 613","Waterloo",481,756,1,46,15,2,5,2,3,4,1315,
35114,"Waterloo/Waterloo"," 614","Waterloo",456,981,1,66,27,1,6,1,7,4,1550,
35114,"Waterloo/Waterloo"," 615","Waterloo",332,854,1,54,26,2,3,1,10,3,1286,
35114,"Waterloo/Waterloo"," 616","Waterloo",329,1143,2,55,42,2,1,1,2,4,1581,
35114,"Waterloo/Waterloo"," 617","Waterloo",320,868,2,34,21,2,5,0,2,1,1255,
35114,"Waterloo/Waterloo",,Group 1/Groupe 1, 235,788,1,71,28,0,2,6,7,46,1184,846
35114,"Waterloo/Waterloo",,Group 2/Groupe 2, 905,2595,3,145,71,4,7,5,11,60,3806,
