Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jerry Kroll,Taleeb Noormohamed,Marie Rogers,Sukhi Singh Sahota,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59038,"Vancouver Granville/Vancouver Granville"," 504","Mobile poll/Bureau itinérant",5,24,18,10,4,61,53
59038,"Vancouver Granville/Vancouver Granville"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,46
59038,"Vancouver Granville/Vancouver Granville"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,24
59038,"Vancouver Granville/Vancouver Granville"," 507","Mobile poll/Bureau itinérant",6,27,11,19,1,64,74
59038,"Vancouver Granville/Vancouver Granville"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,45
59038,"Vancouver Granville/Vancouver Granville"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,18
59038,"Vancouver Granville/Vancouver Granville"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,47
59038,"Vancouver Granville/Vancouver Granville"," 511","Mobile poll/Bureau itinérant",1,24,23,7,3,58,55
59038,"Vancouver Granville/Vancouver Granville"," 512","Mobile poll/Bureau itinérant",1,36,25,6,3,71,52
59038,"Vancouver Granville/Vancouver Granville"," 513","Mobile poll/Bureau itinérant",6,30,12,16,2,66,89
59038,"Vancouver Granville/Vancouver Granville"," 600","Vancouver",25,1097,321,101,5,1549,
59038,"Vancouver Granville/Vancouver Granville"," 601","Vancouver",19,934,244,94,3,1294,
59038,"Vancouver Granville/Vancouver Granville"," 602","Vancouver",24,1119,258,143,2,1546,
59038,"Vancouver Granville/Vancouver Granville"," 603","Vancouver",21,1117,265,93,2,1498,
59038,"Vancouver Granville/Vancouver Granville"," 604","Vancouver",32,1211,273,162,4,1682,
59038,"Vancouver Granville/Vancouver Granville"," 605","Vancouver",26,1540,339,183,4,2092,
59038,"Vancouver Granville/Vancouver Granville"," 606","Vancouver",17,1031,286,111,3,1448,
59038,"Vancouver Granville/Vancouver Granville"," 607","Vancouver",34,1126,322,126,2,1610,
59038,"Vancouver Granville/Vancouver Granville"," 608","Vancouver",4,598,398,42,3,1045,
59038,"Vancouver Granville/Vancouver Granville"," 609","Vancouver",25,1324,327,119,3,1798,
59038,"Vancouver Granville/Vancouver Granville"," 610","Vancouver",12,1180,441,111,4,1748,
59038,"Vancouver Granville/Vancouver Granville"," 611","Vancouver",13,753,301,74,2,1143,
59038,"Vancouver Granville/Vancouver Granville"," 612","Vancouver",11,543,381,41,1,977,
59038,"Vancouver Granville/Vancouver Granville"," 613","Vancouver",3,415,335,11,1,765,
59038,"Vancouver Granville/Vancouver Granville"," 614","Vancouver",6,285,172,14,2,479,
59038,"Vancouver Granville/Vancouver Granville"," 615","Vancouver",1,215,185,5,9,415,
59038,"Vancouver Granville/Vancouver Granville"," 616","Vancouver",17,597,389,59,5,1067,
59038,"Vancouver Granville/Vancouver Granville"," 617","Vancouver",11,816,619,66,8,1520,
59038,"Vancouver Granville/Vancouver Granville"," 618","Vancouver",7,771,439,78,11,1306,
59038,"Vancouver Granville/Vancouver Granville"," 619","Vancouver",8,724,404,61,4,1201,
59038,"Vancouver Granville/Vancouver Granville",,Group 1/Groupe 1, 41,1822,684,196,103,2846,1388
59038,"Vancouver Granville/Vancouver Granville",,Group 2/Groupe 2, 61,3180,936,293,108,4578,
