Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Britt Baumann,Chey Craik,Mike Gardiner,Tabitha Mukamusoni,Fraser Tolmie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 500","Leroy",Combined with No./Résultats combinés à ceux du n°14,,,,,,,1
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,0
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 502","Mobile poll/Bureau itinérant",12,1,2,12,28,0,55,47
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 503","Mobile poll/Bureau itinérant",9,2,0,5,11,0,27,32
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 504","Mobile poll/Bureau itinérant",3,1,1,2,6,0,13,15
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,18
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 506","Mobile poll/Bureau itinérant",3,1,0,5,21,0,30,30
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,15
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,38
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 509","Mobile poll/Bureau itinérant",2,3,2,3,20,0,30,24
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,19
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 511","Mobile poll/Bureau itinérant",2,2,0,6,4,4,18,35
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,11
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,69
