Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Albert Batten,Serge Dubord,Robert Fleming,Jean-Denis Garon,Mario Guay,Christian Montpetit,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24047,"Mirabel/Mirabel"," 142","Saint-Joseph-du-Lac",4,64,100,114,2,0,2,286,532
24047,"Mirabel/Mirabel"," 143","Saint-Joseph-du-Lac",11,64,73,176,3,2,7,336,530
24047,"Mirabel/Mirabel"," 144","Saint-Joseph-du-Lac",5,60,55,116,7,3,5,251,503
24047,"Mirabel/Mirabel"," 145","Saint-Joseph-du-Lac",6,42,57,78,4,4,4,195,374
24047,"Mirabel/Mirabel"," 146","Saint-Joseph-du-Lac",1,48,35,46,3,3,2,138,367
24047,"Mirabel/Mirabel"," 147","Saint-Joseph-du-Lac",4,43,35,56,4,1,2,145,370
24047,"Mirabel/Mirabel"," 148","Pointe-Calumet",4,45,34,74,3,2,2,164,418
24047,"Mirabel/Mirabel"," 149","Pointe-Calumet",8,53,37,63,3,3,5,172,416
24047,"Mirabel/Mirabel"," 150","Pointe-Calumet",4,49,31,78,3,0,5,170,443
24047,"Mirabel/Mirabel"," 151","Pointe-Calumet",9,48,48,60,4,0,5,174,401
24047,"Mirabel/Mirabel"," 152","Pointe-Calumet",6,50,34,4,88,1,6,189,535
24047,"Mirabel/Mirabel"," 153","Pointe-Calumet",7,42,34,51,3,3,4,144,363
24047,"Mirabel/Mirabel"," 154A","Sainte-Marthe-sur-le-Lac",5,42,33,25,1,2,0,108,322
24047,"Mirabel/Mirabel"," 154B","Sainte-Marthe-sur-le-Lac",2,30,32,36,0,2,0,102,323
24047,"Mirabel/Mirabel"," 155","Pointe-Calumet",4,33,47,91,5,0,3,183,339
24047,"Mirabel/Mirabel"," 156","Pointe-Calumet",6,40,38,75,2,1,1,163,326
24047,"Mirabel/Mirabel"," 157","Pointe-Calumet",13,47,29,88,3,2,8,190,453
24047,"Mirabel/Mirabel"," 158","Pointe-Calumet",1,48,48,66,1,3,2,169,363
24047,"Mirabel/Mirabel"," 159","Pointe-Calumet",4,32,32,61,2,3,4,138,366
24047,"Mirabel/Mirabel"," 160","Saint-Placide",8,53,41,80,7,2,1,192,379
24047,"Mirabel/Mirabel"," 161","Saint-Placide",3,48,46,98,5,3,7,210,432
24047,"Mirabel/Mirabel"," 162","Saint-Placide",1,21,32,104,7,1,4,170,416
24047,"Mirabel/Mirabel"," 163","Saint-Placide",7,29,38,77,5,2,2,160,348
24047,"Mirabel/Mirabel"," 164","Oka",6,60,48,74,6,3,1,198,423
24047,"Mirabel/Mirabel"," 165","Saint-Joseph-du-Lac",5,53,37,66,1,1,3,166,429
24047,"Mirabel/Mirabel"," 166","Saint-Joseph-du-Lac",1,44,37,65,0,0,3,150,453
24047,"Mirabel/Mirabel"," 167","Pointe-Calumet",6,34,27,31,0,2,2,102,355
24047,"Mirabel/Mirabel"," 168","Oka",6,34,84,71,3,2,1,201,392
24047,"Mirabel/Mirabel"," 169","Oka",6,45,64,90,2,2,5,214,411
24047,"Mirabel/Mirabel"," 170","Oka",5,44,54,81,1,1,1,187,405
24047,"Mirabel/Mirabel"," 171","Oka",6,29,40,50,4,2,0,131,330
24047,"Mirabel/Mirabel"," 172","Oka",5,20,43,56,10,1,0,135,385
24047,"Mirabel/Mirabel"," 173","Pointe-aux-Anglais--Oka",3,34,56,67,3,0,0,163,367
24047,"Mirabel/Mirabel"," 174","Oka",Combined with No./Résultats combinés à ceux du n°175,,,,,,,,144
24047,"Mirabel/Mirabel"," 174-1A","Kanesatake",2,9,16,1,0,1,1,30,350
24047,"Mirabel/Mirabel"," 174-1B","Kanesatake",3,18,22,10,1,0,0,54,336
24047,"Mirabel/Mirabel"," 175","Oka",4,20,45,47,4,3,0,123,275
24047,"Mirabel/Mirabel"," 176","Oka",4,20,41,62,4,2,6,139,465
24047,"Mirabel/Mirabel"," 400","Mirabel",2,20,56,77,1,1,2,159,209
24047,"Mirabel/Mirabel"," 500","Mobile poll/Bureau itinérant",0,6,19,11,0,2,1,39,35
24047,"Mirabel/Mirabel"," 501","Mirabel",Combined with No./Résultats combinés à ceux du n°28,,,,,,,,26
24047,"Mirabel/Mirabel"," 502","Mirabel",Combined with No./Résultats combinés à ceux du n°24,,,,,,,,12
24047,"Mirabel/Mirabel"," 503","Mobile poll/Bureau itinérant",0,8,29,24,3,0,2,66,95
24047,"Mirabel/Mirabel"," 504","Mirabel",Combined with No./Résultats combinés à ceux du n°42A,,,,,,,,129
24047,"Mirabel/Mirabel"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,25
24047,"Mirabel/Mirabel"," 506","Mobile poll/Bureau itinérant",1,17,40,36,0,2,4,100,127
24047,"Mirabel/Mirabel"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,55
