Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Darren Fisher,Michelle Lindsay,Keith Morrison,Isabelle Obeid,Joseph Shea,Rana Zaman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 605","Halifax",1200,13,61,327,4,14,3,1622,
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 606","Halifax",848,6,40,272,1,6,5,1178,
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 607","Halifax",864,12,62,220,3,8,8,1177,
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 608","Halifax",697,5,45,143,1,16,4,911,
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 609","Halifax",245,7,34,84,2,6,1,379,
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 610","Halifax",534,11,103,136,1,13,4,802,
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 611","Halifax",907,13,109,135,1,14,2,1181,
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 612","Halifax",957,8,149,162,3,20,6,1305,
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 613","Halifax",578,8,53,143,2,4,4,792,
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 614","Cole Harbour 30",Combined with No./Résultats combinés à ceux du n°605,,,,,,,,
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 615","Halifax",884,29,103,405,2,9,12,1444,
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 616","Halifax",997,24,88,507,8,9,9,1642,
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour",,Group 1/Groupe 1, 819,13,101,390,7,14,63,1407,338
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour",,Group 2/Groupe 2, 7636,44,408,1483,10,46,0,9627,
