Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jaime Battiste,Joanna Clark,Allan MacMaster,Ryan Smyth,Rebecca Wall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 184","Port Felix",41,5,31,0,2,0,79,202
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 185","St. Andrews",71,3,83,2,1,0,160,470
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 186","St. Andrews",93,5,82,0,2,1,183,472
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 187","Upper Springfield",34,6,40,0,0,1,81,223
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 188","Upper Springfield",20,4,20,0,0,1,45,133
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 189","St. Joseph",56,9,51,0,0,1,117,275
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 190","St. Joseph",73,10,83,4,2,0,172,351
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 191","Lochaber",41,7,45,2,0,0,95,203
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 192","Tor Bay",31,2,31,0,0,0,64,193
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 193","Tor Bay",20,5,44,1,0,0,70,191
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 194","Guysborough",88,8,56,1,0,0,153,396
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 195","Guysborough",39,3,35,0,0,1,78,232
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 196","Guysborough",18,7,43,0,0,0,68,126
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 197","Cross Roads Country Harbour",94,5,128,1,2,2,232,409
