Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ken Charko,Tom Digby,John Odan Ede,Alim Fakirani,Wade Grant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59040,"Vancouver Quadra/Vancouver Quadra"," 61","Metro Vancouver A",109,5,1,11,139,0,265,704
59040,"Vancouver Quadra/Vancouver Quadra"," 62","Vancouver",45,7,0,15,122,1,190,443
59040,"Vancouver Quadra/Vancouver Quadra"," 63","Vancouver",41,6,0,10,63,0,120,458
59040,"Vancouver Quadra/Vancouver Quadra"," 64","Vancouver",30,4,0,11,84,0,129,468
59040,"Vancouver Quadra/Vancouver Quadra"," 65","Vancouver",37,4,1,5,93,0,140,572
59040,"Vancouver Quadra/Vancouver Quadra"," 66","Vancouver",27,2,0,10,59,0,98,404
59040,"Vancouver Quadra/Vancouver Quadra"," 67","Vancouver",41,1,0,10,108,0,160,562
59040,"Vancouver Quadra/Vancouver Quadra"," 68","Vancouver",33,1,0,8,80,0,122,460
59040,"Vancouver Quadra/Vancouver Quadra"," 69","Vancouver",34,2,0,10,96,0,142,543
59040,"Vancouver Quadra/Vancouver Quadra"," 70","Vancouver",32,3,0,7,101,1,144,541
59040,"Vancouver Quadra/Vancouver Quadra"," 71","Vancouver",27,7,0,10,79,0,123,564
59040,"Vancouver Quadra/Vancouver Quadra"," 72","Vancouver",30,4,2,7,76,0,119,578
59040,"Vancouver Quadra/Vancouver Quadra"," 73","Vancouver",33,7,0,8,62,0,110,463
59040,"Vancouver Quadra/Vancouver Quadra"," 74","Vancouver",44,6,0,15,95,0,160,516
59040,"Vancouver Quadra/Vancouver Quadra"," 75","Vancouver",52,5,1,7,80,0,145,550
59040,"Vancouver Quadra/Vancouver Quadra"," 76","Vancouver",71,5,1,7,123,2,209,579
59040,"Vancouver Quadra/Vancouver Quadra"," 77","Vancouver",59,5,1,4,69,0,138,556
59040,"Vancouver Quadra/Vancouver Quadra"," 78","Vancouver",42,1,0,14,75,0,132,531
59040,"Vancouver Quadra/Vancouver Quadra"," 79","Vancouver",72,3,1,7,97,2,182,557
59040,"Vancouver Quadra/Vancouver Quadra"," 80","Vancouver",22,3,0,13,96,0,134,524
59040,"Vancouver Quadra/Vancouver Quadra"," 81","Vancouver",27,4,1,8,59,0,99,486
59040,"Vancouver Quadra/Vancouver Quadra"," 82","Vancouver",46,3,0,2,80,0,131,554
59040,"Vancouver Quadra/Vancouver Quadra"," 83","Vancouver",29,5,0,6,65,1,106,484
