Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Patrick Shea Boyd,Mark Embrett,Jessica Fancy-Landry,Hayden Henderson,Rick Perkins,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 612","Bridgewater - Lunenburg",3,3,346,3,194,3,552,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 613","Bridgewater",5,8,482,6,232,9,742,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 614","Bridgewater",5,8,486,3,189,3,694,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 615","Bridgewater",4,8,330,6,159,0,507,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 616","Dayspring",3,1,327,7,194,4,536,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 617","New Germany",4,14,500,10,332,6,866,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 618","Bakers Settlement",3,2,360,3,245,3,616,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 619","Queens",5,7,199,3,164,0,378,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 620","Wildcat 12--Ponhook Lake 10",Combined with No./Résultats combinés à ceux du n°619,,,,,,,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 621","Middlewood",12,7,368,1,241,5,634,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 622","Liverpool",9,10,569,9,254,7,858,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 623","Liverpool",7,9,434,8,279,7,744,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 624","Lockeport",4,4,196,1,198,4,407,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 625","Shelburne",7,12,384,3,401,11,818,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 626","Port Clyde",7,9,313,5,520,6,860,
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 627","Shag Harbour",2,6,218,3,638,6,873,
12010,"South Shore--St. Margarets/South Shore--St. Margarets",,Group 1/Groupe 1, 3,7,497,3,165,29,704,240
12010,"South Shore--St. Margarets/South Shore--St. Margarets",,Group 2/Groupe 2, 38,34,2615,22,1150,57,3916,
